VioletRed MediumSeaGreen Seashell Yellow Salmon LightSlateGray LightYellow PaleGoldenrod Linen DarkKhaki
Tan LightGreen LightSlateGray MintCream DimGray DarkSlateGray Khaki NavajoWhite Khaki LightSalmon
MediumVioletRed LightCoral Bisque LightSalmon Tan MintCream DarkGray Tomato LawnGreen Cyan
PeachPuff RoyalBlue Wheat SeaGreen MediumSlateBlue Indigo Indigo LightSkyBlue Bisque LightPink
AliceBlue Lime LightSalmon LightSkyBlue NavajoWhite Silver Olive PapayaWhip Honeydew Snow
SlateGray MidnightBlue MediumBlue Purple Lavender Chartreuse Aquamarine IndianRed DarkSeaGreen Firebrick
Maroon MediumSlateBlue MediumTurquoise Gainsboro Chartreuse DeepPink VioletRed CornflowerBlue DarkKhaki Cornsilk
LimeGreen Violet LightYellow Orange GreenYellow DarkOrange DarkBlue SaddleBrown NavajoWhite Lavender
SandyBrown LightYellow LightGoldenrodYellow Lavender Brown OrangeRed Khaki Silver DarkSlateBlue PaleGoldenrod
LightSteelBlue Lavender Peru Firebrick Teal VioletRed DarkOliveGreen DarkBlue FloralWhite PowderBlue
CornflowerBlue SlateBlue Crimson Wheat MediumBlue Indigo DarkGray NavajoWhite SaddleBrown MediumPurple
Mangosteen Breadfruit Redcurrant Lemon Sapodilla Pomelo Feijoa Mandarine Cherry Boysenberry
Quince Orange Jostaberry Ackee Melon Clementine Cantaloupe Gooseberry Feijoa Yuzu
Peach Kiwano Peach Plumcot Rambutan  Canistel Persimmon Ackee Cempedak Tayberry
Sapote Strawberry Date Gooseberry Banana Durian Lychee Abiu Melon Currant
Tamarind Watermelon Banana Elderberry Honeyberry Sapodilla Cempedak Prune Feijoa Rambutan 
Rambutan  Tangelo Satsuma Sapote Jackfruit Cherimoya Watermelon Gooseberry Mango Cherimoya
Mandarine Pomegranate Guava Raspberry Cloudberry Papaya Date Guava Tamarind Mangosteen
Orange Mango Honeydew Jujube Cempedak Cashew Salak Acerola Banana Lemon
Plumcot Orange Sapodilla Jostaberry Clementine Gooseberry Lulo Loganberry Satsuma Tayberry
Satsuma Plum Ackee Canistel Plum Tangelo Coconut Damson Cantaloupe Orange
Jackfruit Jujube Date Nance Loganberry Kiwano Mangosteen Prune Yuzu Cashew
