LightCyan MidnightBlue Coral Cyan LightSeaGreen BlanchedAlmond Burlywood LightGoldenrodYellow Lavender Olive
DeepSkyBlue DarkOrchid Tan SpringGreen MintCream BlueViolet LightCyan DarkOliveGreen PeachPuff Orange
HotPink LimeGreen GhostWhite Honeydew WhiteSmoke SlateGray DarkGray MediumAquamarine SkyBlue Wheat
White WhiteSmoke HotPink Indigo GreenYellow GhostWhite BlanchedAlmond Lavender Tomato DarkFuchsia
DarkBlue SandyBrown NavajoWhite Pink Fuchsia LightSalmon LightGreen SpringGreen Beige SaddleBrown
LightGray PeachPuff BlanchedAlmond Yellow LemonChiffon LemonChiffon MistyRose Indigo DarkBlue Turquoise
RoyalBlue Gainsboro Brown MediumVioletRed MediumPurple DarkSeaGreen DarkViolet MintCream Navy PaleTurquoise
Beige SpringGreen SeaGreen LimeGreen Blue Crimson LightGreen Fuchsia GreenYellow LightGreen
Plum Firebrick Black PaleGreen SlateGray DarkOrange MediumAquamarine MediumPurple DarkSalmon DarkGray
Salmon Firebrick Linen FloralWhite DeepPink Fuchsia MediumOrchid PowderBlue LightSalmon Lime
LightPink Moccasin Chocolate Tomato LightSteelBlue OrangeRed ForestGreen SeaGreen LightSalmon DeepSkyBlue
Cloudberry Coconut Jostaberry Orange Açaí Kiwifruit Coconut Mandarine Jackfruit Currant
Jujube Jambul Raisin Honeyberry Blackberry Mango Pomelo Coconut Pear Coconut
Damson Mangosteen Coconut Tamarind Ackee Melon Blackberry Satsuma Pomelo Lime
Soursop Satsuma Boysenberry Boysenberry Huckleberry Guava Salmonberry Kiwifruit Salak Honeyberry
Pineberry Jackfruit Satsuma Honeyberry Tangerine Jostaberry Jambul Soursop Guava Cempedak
Peach Akebi Loganberry Sapote Bilberry Lychee Pomelo Watermelon Durian Grapefruit
Cantaloupe Lulo Fig Ackee Persimmon Acerola Blueberry Breadfruit Passionfruit Watermelon
Fig Nectarine Orange Prune Peach Cashew Lulo Guava Raspberry Huckleberry
Huckleberry Durian Pawpaw Boysenberry Loquat Pineberry Melon Avocado Tangerine Passionfruit
