DarkCyan MediumVioletRed DeepSkyBlue Violet Aquamarine White CadetBlue Chocolate Burlywood PaleGreen
Purple Pink Wheat Salmon ForestGreen Coral VioletRed Teal LightSeaGreen LightBlue
Cyan LightSkyBlue Green IndianRed DeepPink DimGray FloralWhite Orchid Olive White
MidnightBlue Teal DarkCyan Silver DarkFuchsia LemonChiffon Coral RoyalBlue MediumVioletRed MediumOrchid
Violet Purple Turquoise Maroon Lavender NavajoWhite Lavender LightGoldenrodYellow DeepPink LightSalmon
PaleGreen IndianRed LightSlateBlue MediumAquamarine SlateBlue Azure DarkGray Indigo Crimson MediumPurple
PaleVioletRed DarkSalmon LightCoral LightBlue LimeGreen LightSlateGray Lavender RosyBrown Beige RosyBrown
Thistle Red BlanchedAlmond Gainsboro Olive RoyalBlue PeachPuff Orange Chartreuse Feldspar
LightPink Goldenrod LightGoldenrod Orchid Teal OliveDrab Orange Wheat PaleGoldenrod Feldspar
Black Orange SaddleBrown Lime Plum MediumVioletRed Fuchsia FloralWhite LightPink Chartreuse
LightGoldenrod MediumTurquoise FloralWhite MediumVioletRed Indigo Blue Fuchsia DarkOrange BlueViolet LightGreen
sushi nutrient fruit milk victuals meals pasta nutrition sushi chicken
plant cheese rice chicken cheese seafood meals milk sushi beef
nutrient edible nutrient meals restaurant nutrient chicken vegetable pasta soup
pasta drinks animal cheese soup cheese nourishment fruit plant soup
fruit fruits vegetables cereal cheese provender meals victuals meal victuals provender
vegetable animal nutrient drinks chicken victuals beef nutrient drinks seafood
cheese cereal milk drinks victuals milk plant pasta meals seafood
nutrient nutrient chicken animal cheese eat animal fruit cheese beef
animal cereal fruit meals rice cooking pasta meals pasta rice
animal meat meals provender meals animal eat seafood cereal meat
fruits vegetables provender vegetable cheese plant milk fruits vegetables nourishment rice eat
light annoyed spotless upset average grumpy shy angry grotesque prickly
embarrassed plain crazy crowded calm cheerful dull cute defiant black
brave fierce disturbed smoggy wild weary bored nasty vivacious tame
fragile black bloody alive energetic bloody poor nutty bloody fierce
perfect grotesque perfect rich careful mushy smoggy fragile elegant ill
obedient tender impossible uptight cute jittery drab outrageous sore alert
fantastic nasty tasty amused motionless excited clumsy plain selfish wrong
exuberant sleepy hilarious healthy modern stupid mushy different average aggressive
adventurous cautious horrible adorable arrogant crazy foolish prickly ugly zealous
prickly gifted faithful amused ugliest helpless alive kind weary frail
