DarkOliveGreen WhiteSmoke DarkTurquoise LightGray LightPink PaleGoldenrod DarkFuchsia DarkGoldenrod Ivory LightSkyBlue
PaleGoldenrod LightGreen Orange PaleVioletRed LightSalmon MediumAquamarine Wheat LightCoral Gainsboro Beige
Olive Tomato ForestGreen SandyBrown DodgerBlue LightCyan AliceBlue FloralWhite MediumSlateBlue Black
SpringGreen Gray MidnightBlue MediumAquamarine LemonChiffon MediumSpringGreen LightGoldenrodYellow NavajoWhite SpringGreen Tan
DarkSlateGray Aquamarine GhostWhite Brown SlateGray NavajoWhite Burlywood White MediumVioletRed Navy
Ivory Thistle CadetBlue LimeGreen MediumSpringGreen DimGray SlateBlue Cyan MediumSeaGreen Salmon
Chocolate MediumPurple LightSlateGray SandyBrown NavajoWhite Lavender DarkOrchid LightSlateBlue SlateGray Goldenrod
Khaki Turquoise Lime DarkViolet SpringGreen LightCyan Coral Aquamarine Feldspar DarkOrchid
Purple Black LemonChiffon SteelBlue DarkOrchid Fuchsia LimeGreen Ivory Teal Tan
VioletRed NavajoWhite Green PeachPuff Orange SlateBlue Blue DarkViolet GreenYellow DarkSalmon
Teal Maroon Orchid DarkFuchsia ForestGreen DarkSlateBlue DarkOliveGreen LightYellow PaleVioletRed Seashell
cases racism cybercrime misdemeanor statutory shoplift country missing snitching safety
gangster muggings thriller prostitution vandalism brutality prison illegal law evidence
cases tort trial drugs slay muggings criminals liberty threats mafia
drama felony unsolved threats mystery detective threats theft mafia offence
bloodshed murder assault offenses skyjack thriller accident drama safety mafia
legal war supernatural fraud prison poison abuse cybercrime lift forensic
offenders structuralism drug gangster homeless racism snitching legal detective jurisdiction
crisis law-breaking imprisonment criminal human assault evidence snitching arrest crisis
gangs drugs incarceration skyjack drug cybercrime guilty suspense robbery imprisonment
arrest offense shoplift blackmail assault noir serial murder noir spy
blackmail serial heist homeless death robbery highjack slay drugs law-breaking
collaboration tarnish covert deception deficit collaboration partial dictatorship revelation refute
fray parry authoritarian acolyte beleaguer lobby rebut persecution retaliation fray
scandal extortion malfeasance massive mercurial expose endorsement onerous career privilege
illicit fiasco career deception retaliation proxy proxy resignation regime scandalous
subterfuge blame accusation unethical covert defamation revelation reputation parry mendacity
bamboozle fray deception endorsement dictatorship massive partial partial rebut infringement
privilege blame conceal hypocrisy temptation benefit saga deflect mercurial authoritarian
malfeasance onerous illegal refute proxy sloth recrimination authoritarian coterie embezzlement
claim tainted fray temptation subterfuge coterie partial chicanery conceal feud
unsavory fray ignorant privilege unethical patronage corruption bamboozle malfeasance benefit
malfeasance unjust unsavory manipulate opportunist defamation engagement temptation sloth plagiarism
