DarkSlateGray DeepSkyBlue CornflowerBlue Chartreuse Purple Bisque Orchid PaleVioletRed Salmon MediumSeaGreen
Purple Blue GhostWhite Tomato Turquoise PowderBlue OliveDrab Goldenrod OldLace MidnightBlue
DarkGoldenrod PapayaWhip LightGreen DarkBlue Teal ForestGreen DarkBlue Khaki SeaGreen Peru
Honeydew DarkOrange RosyBrown Khaki PaleGoldenrod DarkSalmon DarkGray SeaGreen DarkTurquoise Aquamarine
DarkBlue Gold LightSteelBlue Pink MistyRose AntiqueWhite PaleGreen LightSalmon Tan MintCream
Lavender DarkCyan DarkSalmon MistyRose SteelBlue SpringGreen LightGoldenrod RoyalBlue Sienna PeachPuff
Teal CornflowerBlue DarkKhaki Crimson Peru Yellow SpringGreen Salmon LightSkyBlue DarkFuchsia
MediumTurquoise MintCream DeepSkyBlue DodgerBlue SteelBlue DodgerBlue Cyan Aquamarine DarkSalmon Ivory
Wheat PaleGoldenrod White Aquamarine DodgerBlue MediumVioletRed DarkSlateBlue IndianRed SlateBlue SandyBrown
Aquamarine IndianRed Firebrick Maroon DarkGray MediumSpringGreen LightCyan MediumTurquoise Brown Plum
DarkRed Lime OliveDrab LightGoldenrod Orange SlateGray FloralWhite Lime DodgerBlue Black
Teeth Mouth Ureter Analcanal Hypothalamus Eardrum Sensoryorgans Tonsils Lips Eye
Rectum Retina Cervix Outerear Bronchi Largeintestine Arteries Trachea Rectum Ganglia
Heart Eardrum Vagina Vulva Teeth Ureter Larynx Joints Analcanal Penis
Thalamus Penis Vagina Sensoryorgans Scrotum Scrotum Pancreas Lymphaticvessel Vulva Jejunum
Fallopiantubes Lens Ossicles Tonsils Cerebellum Mouth Ganglia Tendons Ileum Ganglia
Ear Cornea Tongue Tendons Teeth Pharynx Analcanal Larynx Ileum Arteries
Teeth Placenta Clitoris Cecum Trachea Muscle Gallbladder Vagina Tendons Bone 
Teeth Eardrum Gallbladder Jejunum Stomach Ear Cochlea Eye Thymus Jejunum
