MediumSpringGreen HotPink Bisque DimGray Tomato SkyBlue Maroon Indigo Plum Snow
Lime MediumAquamarine MistyRose Snow MediumSpringGreen VioletRed Salmon DarkOliveGreen BlueViolet Feldspar
WhiteSmoke Chartreuse MediumOrchid LightPink Beige Plum LightSlateGray CadetBlue LightSkyBlue LightGray
Orange IndianRed DarkViolet Maroon DarkOrchid LightSteelBlue Sienna LightSlateGray MediumBlue DarkTurquoise
MistyRose OliveDrab LawnGreen Salmon LavenderBlush MediumPurple PeachPuff Aquamarine Gray LightSeaGreen
MediumTurquoise DarkKhaki GreenYellow PaleGoldenrod IndianRed BlanchedAlmond LightSlateGray Gainsboro Goldenrod LightGoldenrod
Gainsboro Bisque AliceBlue DarkBlue DeepPink LightGoldenrod Violet SpringGreen Coral DarkOliveGreen
VioletRed DodgerBlue Tomato Gold RosyBrown Seashell Black OrangeRed VioletRed Indigo
White Yellow Silver DarkCyan RoyalBlue LightSlateGray SlateGray Peru LightSlateGray SeaGreen
LightPink GreenYellow DarkBlue DarkGreen DarkViolet Tomato OldLace Purple DarkOrange Gray
Lavender LightGoldenrod HotPink WhiteSmoke Fuchsia DarkSlateGray Plum Cornsilk VioletRed IndianRed
Hypothalamus Pons Cervix Esophagus Tongue Lymphaticvessel Vagina Spinalnerves Ligaments Spleen
Clitoris Thymus Ligaments Lymphaticvessel Lens Middleear Liver Mesentery Gallbladder Lungs
Cervix Spinalnerves Earlobe Cerebrum Jejunum Lymphaticvessel Tonsils Iris Teeth Cerebrum
Pharynx Teeth Eardrum Joints Nerves Nerves Thymus Teeth Ovaries Esophagus
Cochlea Trachea Middleear Cerebrum Ciliarybody Tongue Ganglia Bladder Liver Cochlea
Gallbladder Gallbladder Ganglia Muscle Brain Ossicles Outerear Liver Uterus skeleton
Pons Cerebellum Bone  Ovaries Esophagus Muscle Penis Ileum Cervix Arteries
Hypothalamus Bronchi Esophagus Capillaries Clitoris Lungs Bone  Larynx Teeth Ciliarybody
Tendons Innerear Middleear Lips Ureter Largeintestine Cornea Lungs Middleear Lips
Middleear Trachea Arteries Heart Cervix Penis Bone  Veins Pharynx Interstitium
Pons Veins Larynx Bladder Uterus Largeintestine Clitoris Bladder Bronchi Trachea
BinaryNumber_0010001 BinaryNumber_0000010 BinaryNumber_0101000 BinaryNumber_0110000 BinaryNumber_1011001 BinaryNumber_1010011 BinaryNumber_1011110 BinaryNumber_0011010 BinaryNumber_1000001 BinaryNumber_0001101
BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_0010001 BinaryNumber_1100001 BinaryNumber_1100011 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0000101 BinaryNumber_0010111 BinaryNumber_0110011
