IndianRed Gold Fuchsia CadetBlue Chocolate LavenderBlush Sienna LightSalmon MintCream Brown
LawnGreen Orchid LightCyan MediumBlue Fuchsia Honeydew DarkRed DarkViolet LightGoldenrod Peru
Navy CadetBlue Feldspar DarkOrchid Beige Pink Black RosyBrown GreenYellow LightYellow
HotPink Gray DarkCyan DeepSkyBlue Green Snow SteelBlue LightCyan Khaki Teal
Seashell Seashell DarkKhaki SlateBlue DarkKhaki DarkKhaki LimeGreen LightGreen SpringGreen Plum
MediumTurquoise Pink BlanchedAlmond LightSalmon SandyBrown Blue LightSteelBlue MediumSlateBlue Moccasin PaleGoldenrod
PaleGreen Gray LightYellow Cornsilk DarkRed LightSteelBlue Pink Orchid Burlywood Crimson
Blue Gray PaleGreen Turquoise MediumBlue Sienna DarkOliveGreen Beige Crimson FloralWhite
NavajoWhite Ivory AntiqueWhite Crimson IndianRed LightSalmon DarkViolet Aquamarine DarkRed LightGreen
DarkGreen DarkOrchid Green LightSeaGreen LemonChiffon MediumVioletRed LawnGreen OldLace Feldspar LightSeaGreen
MediumSeaGreen BlanchedAlmond Beige Gainsboro Feldspar DarkGray BlanchedAlmond Teal LightSkyBlue OrangeRed
Blueberry Fig Cashew Coconut Blackberry Jackfruit Açaí Ximenia Acerola Papaya
Mandarine Cherry Tamarillo Passionfruit Cherry Ximenia Araza Redcurrant Jambul Tangelo
Cempedak Tangerine Tamarind Date Boysenberry Soursop Mangosteen Elderberry Loganberry Loganberry
Yuzu Loganberry Blueberry Coconut Grapefruit Prune Mandarine Jackfruit Açaí Soursop
Sapodilla Gooseberry Coconut Orange Lime Honeyberry Nectarine Date Plum Cherry
Sapodilla Cantaloupe Plum Grapefruit Pineapple Peach Jostaberry Plumcot Clementine Cherry
Honeyberry Raspberry Cashew Nance Clementine Satsuma Cherimoya Raisin Breadfruit Grapefruit
Orange Pawpaw Tamarind Cashew Soursop Lulo Pomelo Blueberry Kiwano Currant
Ackee Durian Cempedak Plum Passionfruit Satsuma Pineberry Cherry Bilberry Papaya
Raisin Mango Orange Papaya Akebi Plantain Loganberry Tayberry Guava Clementine
Peach Ackee Blueberry Pomegranate Elderberry Guava Papaya Jujube Papaya Pawpaw
BinaryNumber_1011000 BinaryNumber_1011011 BinaryNumber_1010001 BinaryNumber_1100011 BinaryNumber_0110111 BinaryNumber_0011001 BinaryNumber_0010110 BinaryNumber_0011111 BinaryNumber_0101100 BinaryNumber_1000001
BinaryNumber_1011110 BinaryNumber_0101001 BinaryNumber_0110001 BinaryNumber_1011010 BinaryNumber_0001000 BinaryNumber_0111010 BinaryNumber_1011110 BinaryNumber_0010001 BinaryNumber_0010001 BinaryNumber_0100100
BinaryNumber_0010110 BinaryNumber_1001111 BinaryNumber_1001100 BinaryNumber_1011101 BinaryNumber_1010110 BinaryNumber_0100101 BinaryNumber_1000110 BinaryNumber_1100001 BinaryNumber_1011000 BinaryNumber_0111111
