LightSlateGray Pink Cornsilk Gainsboro GreenYellow AliceBlue Chartreuse DarkGoldenrod DarkOrchid LavenderBlush
DarkGray Ivory DarkSlateGray DarkOrange GhostWhite Seashell LightGoldenrodYellow DarkSlateGray Beige SlateBlue
BlueViolet Teal Olive DarkKhaki Brown Goldenrod Olive PeachPuff Aquamarine DarkViolet
Fuchsia MediumAquamarine SeaGreen LightGreen Fuchsia DeepSkyBlue Orange Beige LightBlue LightSalmon
Goldenrod Blue Crimson Indigo MediumSeaGreen LightYellow SlateBlue Ivory PaleGreen DarkOliveGreen
Beige HotPink Peru LavenderBlush LightGoldenrodYellow Pink LightCyan Blue LightBlue Peru
White DarkCyan CornflowerBlue Cornsilk LightGreen DarkSlateBlue Purple Gold SpringGreen CadetBlue
CornflowerBlue MediumTurquoise LightGreen Turquoise SeaGreen Firebrick BlueViolet FloralWhite FloralWhite LightBlue
Gray Thistle OliveDrab LightPink Plum OliveDrab Gold Firebrick DimGray Goldenrod
DarkSeaGreen LightYellow Burlywood Orange DarkTurquoise MediumSeaGreen Honeydew Crimson PaleGoldenrod Cornsilk
Gray LightSlateGray Moccasin SlateBlue Blue DeepPink Green Goldenrod LightSlateBlue LightYellow
rice soup animal animal nutrient animal fruits vegetables milk meat provender
victuals cereal plant cereal beef milk fruits vegetables nourishment edible milk
nutrition pasta pasta restaurant meat milk meat nourishment eat milk
milk soup nutrient drinks milk chicken restaurant nutrition cooking fruit
edible nourishment cereal fruits vegetables cooking fruit chicken nutrition chicken beef
victuals soup nourishment beef fruit cereal sushi cheese drinks cereal
sushi sushi nutrient rice cheese milk meals provender milk plant
vegetable seafood plant chicken meals fruit cooking provender cereal nutrition
eat beef beef victuals cooking fruits vegetables victuals seafood nutrient vegetable
victuals animal victuals meal cereal fruits vegetables cooking plant drinks meals
cooking pasta chicken cereal plant vegetable beef soup meal victuals
