Thistle VioletRed MidnightBlue Tan DarkFuchsia Sienna Olive Navy LightSlateBlue Blue
SpringGreen Gray Bisque AliceBlue SkyBlue Chartreuse Crimson LemonChiffon Teal SandyBrown
DarkSlateGray PaleTurquoise DarkFuchsia DarkGoldenrod Cyan SkyBlue LightSlateBlue SpringGreen LightSkyBlue Plum
MediumVioletRed MediumBlue LightSalmon AliceBlue LightGreen Gray LightYellow SlateGray Silver Thistle
AliceBlue PeachPuff DarkGray MintCream GhostWhite DarkSlateBlue LightCoral LightSalmon AliceBlue SkyBlue
SandyBrown DeepPink Cyan White DarkViolet MistyRose MediumSeaGreen Gold Ivory LightGreen
CornflowerBlue LightSalmon LightGreen DarkCyan AntiqueWhite IndianRed SeaGreen Goldenrod Linen Turquoise
Blue FloralWhite MediumSeaGreen Gainsboro Blue Olive SteelBlue Brown Orchid PaleGoldenrod
DarkGreen DarkKhaki VioletRed Red VioletRed LightSkyBlue LimeGreen DarkFuchsia Seashell RoyalBlue
NavajoWhite Red Silver Plum MediumSlateBlue Azure LightSteelBlue Coral LightGreen LightSkyBlue
LightCyan MediumAquamarine LightGoldenrod Silver LightGoldenrodYellow Orchid Gray RoyalBlue DeepPink SteelBlue
BinaryNumber_0100011 BinaryNumber_0011110 BinaryNumber_0000110 BinaryNumber_1100011 BinaryNumber_0010111 BinaryNumber_0101101 BinaryNumber_1001101 BinaryNumber_1100010 BinaryNumber_0000011 BinaryNumber_0100000
BinaryNumber_0011001 BinaryNumber_1010001 BinaryNumber_0111110 BinaryNumber_0110010 BinaryNumber_0101110 BinaryNumber_1000101 BinaryNumber_0111101 BinaryNumber_1001001 BinaryNumber_0001000 BinaryNumber_1001110
BinaryNumber_0000010 BinaryNumber_0100101 BinaryNumber_0111001 BinaryNumber_0001011 BinaryNumber_0110110 BinaryNumber_0100101 BinaryNumber_0001110 BinaryNumber_0100111 BinaryNumber_1000111 BinaryNumber_1100001
BinaryNumber_0101101 BinaryNumber_0100101 BinaryNumber_0111111 BinaryNumber_1011001 BinaryNumber_1010000 BinaryNumber_0010000 BinaryNumber_0111001 BinaryNumber_0111100 BinaryNumber_0101001 BinaryNumber_1010101
BinaryNumber_0010101 BinaryNumber_1100001 BinaryNumber_0011001 BinaryNumber_1011100 BinaryNumber_1100010 BinaryNumber_0001010 BinaryNumber_0100011 BinaryNumber_0110001 BinaryNumber_0011101 BinaryNumber_0010110
BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_1000101 BinaryNumber_1001001 BinaryNumber_1000010 BinaryNumber_0000101 BinaryNumber_1000101 BinaryNumber_0011101 BinaryNumber_0011011 BinaryNumber_1010001
BinaryNumber_1000001 BinaryNumber_0010100 BinaryNumber_1001010 BinaryNumber_0100101 BinaryNumber_0011101 BinaryNumber_0111011 BinaryNumber_0100000 BinaryNumber_1011000 BinaryNumber_0001010 BinaryNumber_0010100
BinaryNumber_0100000 BinaryNumber_0110101 BinaryNumber_0110111 BinaryNumber_1001011 BinaryNumber_1001101 BinaryNumber_0011110 BinaryNumber_0000011 BinaryNumber_1100010 BinaryNumber_1001111 BinaryNumber_0000000
BinaryNumber_1100011 BinaryNumber_0111011 BinaryNumber_0110011 BinaryNumber_1100000 BinaryNumber_1001111 BinaryNumber_1001110 BinaryNumber_0101101 BinaryNumber_0001001 BinaryNumber_1011100 BinaryNumber_0101111
BinaryNumber_1011011 BinaryNumber_0100001 BinaryNumber_1010001 BinaryNumber_0100101 BinaryNumber_0000100 BinaryNumber_0101001 BinaryNumber_0010010 BinaryNumber_0110000 BinaryNumber_0100010 BinaryNumber_1000100
BinaryNumber_0010100 BinaryNumber_0000101 BinaryNumber_0100001 BinaryNumber_0101010 BinaryNumber_0001010 BinaryNumber_0000111 BinaryNumber_0101000 BinaryNumber_1011110 BinaryNumber_1100011 BinaryNumber_0000100
graceful joyous cautious ugly important better fancy enthusiastic average foolish
odd blue-eyed ill poor clever panicky good obnoxious poised evil
fancy beautiful grieving inexpensive repulsive upset uptight concerned brainy comfortable
pleasant ashamed anxious muddy hilarious eager distinct tense dull bewildered
tough cloudy alive graceful jealous muddy determined lovely puzzled annoyed
tired comfortable motionless rich healthy talented distinct expensive encouraging ugliest
handsome wicked zealous agreeable dull homeless concerned frightened magnificent depressed
impossible glorious awful amused comfortable talented nice filthy ill prickly
outrageous clumsy colorful zealous scary blue disturbed hurt muddy precious
comfortable concerned beautiful wild important fine cautious bright naughty scary
crowded witty innocent doubtful concerned jealous unsightly strange defeated horrible
16:48 16:43 18:44 11:40 23:42 16:29 20:22 10:16 13:55 13:40
20:23 17:58 16:31 18:56 16:59 16:55 10:16 22:51 14:25 13:47
20:36 20:35 19:25 15:52 11:36 15:37 20:48 18:33 15:14 15:13
23:55 15:50 18:44 20:42 14:55 21:18 16:23 15:50 20:14 13:43
13:32 16:58 23:49 17:44 16:46 22:44 20:58 17:31 19:32 11:47
12:36 15:32 10:27 13:11 15:56 12:32 10:29 16:27 21:19 12:31
16:48 14:27 16:17 13:38 15:33 19:49 20:51 10:20 12:12 17:21
11:42 10:43 15:36 10:33 10:40 17:36 13:28 18:45 23:59 11:20
