Kidneys Largeintestine Veins Lens Spleen Cerebellum Pancreas Uterus Lips Middleear
Pons Gallbladder Pharynx Hypothalamus Thalamus Ureter Bronchi Ossicles Ureter Trachea
Bronchi Cerebrum Scrotum Retina Ciliarybody Eardrum Ganglia Spleen Arteries Sensoryorgans
Bronchi Outerear Vulva Innerear Jejunum Tongue Arteries Capillaries Duodenum Mouth
Pons Ossicles Bone  Trachea Analcanal Thalamus Spleen Ureter Cerebrum Hypothalamus
Heart Eardrum skeleton Pharynx Ossicles Pancreas Vulva Brain Outerear Tonsils
Capillaries Penis Middleear Eardrum Ossicles Uterus Ureter Spinalnerves Ileum skeleton
Mouth Fallopiantubes Lens Joints Ligaments Lymphaticvessel Midbrain Ovaries Cornea Rectum
Ear Trachea Vulva Duodenum Esophagus skeleton Thalamus Pancreas Brain Analcanal
Cranialnerves Tongue Penis Tongue Bronchi Ovaries Scrotum Larynx Heart Largeintestine
Thymus Scrotum Clitoris Lungs Ureter Brain Scrotum Tongue Ear Outerear
LightPink Lime Orchid Coral Orchid DarkKhaki SeaGreen MediumSeaGreen DarkBlue Indigo
Wheat DarkGray LightSkyBlue NavajoWhite DarkGreen DarkRed DarkFuchsia Fuchsia DodgerBlue DodgerBlue
DarkOliveGreen PaleGreen NavajoWhite Yellow Navy Chartreuse DarkGreen Beige RosyBrown DarkSeaGreen
DarkSalmon DarkOrchid MediumPurple BlueViolet PaleVioletRed GreenYellow DarkGray AntiqueWhite Plum LightGreen
LightPink Indigo NavajoWhite Purple PaleGoldenrod DarkRed PowderBlue LavenderBlush LimeGreen MediumOrchid
LightGoldenrodYellow Burlywood AntiqueWhite VioletRed SlateBlue Tomato Brown LemonChiffon MintCream SeaGreen
BlueViolet IndianRed Red Fuchsia MediumPurple DarkRed Feldspar DarkFuchsia Snow MediumSpringGreen
OldLace Orchid VioletRed PeachPuff MidnightBlue FloralWhite SteelBlue Firebrick Purple LightYellow
HotPink DarkGreen MediumTurquoise Sienna PaleVioletRed Olive MediumAquamarine Honeydew Blue Plum
VioletRed LightPink OldLace OliveDrab LawnGreen Silver DodgerBlue Gainsboro Gainsboro Ivory
Purple Brown LightGray MediumVioletRed Lime Bisque HotPink Moccasin Plum LightGoldenrod
homecomputer computerscience server sliderule programmer memory digitalcommunication game inputdevice pc
diskette machines proprietary computerhardware dataconverter watch console ibook computerprogram inputdevice
diskette android bit digitalaudioplayer machine antivirus spyware keyboard peripheral information
peripheral arithmetic sliderule mobile automation keyboard homecomputer algorithm computerprogramming microcomputer
incompatible computercide personalcomputer cybertechnology office social camera memory keyboard homecomputer
electrical mobile mobile desktopcomputer machinecode mechanicalcomputer browser processor floppydisk android
electronics floppydisk eniac proprietary proprietary peripheral chip von neumann machine laptop cybertechnology
electronics computation analogcomputer dataconverter computercircuit server programmer monitor data computing
eniac vacuumtube pornographicimages cell eniac server downloader desktop information office
cell bit pc mobile homecomputer calculator tablet camera computerhardware arithmetic
