LavenderBlush DarkOrchid Crimson LightCoral Moccasin DimGray MediumTurquoise Yellow Lime MediumBlue
Aquamarine CadetBlue MediumBlue Goldenrod RoyalBlue DarkRed LightGreen DarkSlateBlue Snow Red
PaleGreen MediumSlateBlue DarkKhaki Olive Pink SlateBlue Aquamarine LimeGreen Violet DeepSkyBlue
DarkSlateGray WhiteSmoke SaddleBrown Lime DarkSeaGreen Green Brown MediumBlue Chartreuse PaleGoldenrod
Khaki Yellow LightGreen SaddleBrown Crimson SaddleBrown Plum MediumPurple DarkViolet Linen
CornflowerBlue DarkKhaki Chocolate PaleGreen Cornsilk Fuchsia RosyBrown Beige Chartreuse Lavender
MediumPurple PapayaWhip SeaGreen Brown AliceBlue LightSlateGray LightGreen MediumSeaGreen Chocolate LightBlue
Blue Aquamarine DarkSalmon Olive Salmon Lavender PaleGreen VioletRed Black DarkSlateGray
MediumPurple DodgerBlue SeaGreen Moccasin LemonChiffon DarkRed VioletRed LightSlateGray Peru AliceBlue
Cornsilk Violet Salmon AliceBlue Navy Salmon Crimson SandyBrown ForestGreen LightSteelBlue
LightBlue Feldspar BlanchedAlmond Maroon GreenYellow MediumTurquoise Honeydew DarkSlateBlue Gold LightGray
SquareNumber_5041 SquareNumber_2704 SquareNumber_784 SquareNumber_5929 SquareNumber_4761 SquareNumber_625 SquareNumber_1764 SquareNumber_1444 SquareNumber_3481 SquareNumber_2704
SquareNumber_324 SquareNumber_441 SquareNumber_3844 SquareNumber_3364 SquareNumber_3136 SquareNumber_361 SquareNumber_1936 SquareNumber_2704 SquareNumber_3844 SquareNumber_49
SquareNumber_2704 SquareNumber_256 SquareNumber_6400 SquareNumber_576 SquareNumber_529 SquareNumber_2809 SquareNumber_9216 SquareNumber_1936 SquareNumber_5929 SquareNumber_9409
SquareNumber_5625 SquareNumber_2809 SquareNumber_2704 SquareNumber_169 SquareNumber_4096 SquareNumber_2025 SquareNumber_1764 SquareNumber_1444 SquareNumber_100 SquareNumber_625
SquareNumber_841 SquareNumber_16 SquareNumber_2304 SquareNumber_2704 SquareNumber_5184 SquareNumber_1936 SquareNumber_9 SquareNumber_784 SquareNumber_121 SquareNumber_3721
SquareNumber_1225 SquareNumber_676 SquareNumber_9216 SquareNumber_1849 SquareNumber_196 SquareNumber_6561 SquareNumber_4489 SquareNumber_196 SquareNumber_361 SquareNumber_2809
SquareNumber_6561 SquareNumber_4 SquareNumber_3844 SquareNumber_3600 SquareNumber_5625 SquareNumber_25 SquareNumber_1369 SquareNumber_169 SquareNumber_7056 SquareNumber_2025
SquareNumber_6724 SquareNumber_625 SquareNumber_2809 SquareNumber_9025 SquareNumber_3136 SquareNumber_2704 SquareNumber_3025 SquareNumber_3136 SquareNumber_729 SquareNumber_729
SquareNumber_676 SquareNumber_4761 SquareNumber_5929 SquareNumber_1225 SquareNumber_5329 SquareNumber_3969 SquareNumber_9025 SquareNumber_121 SquareNumber_900 SquareNumber_9801
SquareNumber_9025 SquareNumber_7921 SquareNumber_784 SquareNumber_289 SquareNumber_81 SquareNumber_9604 SquareNumber_3600 SquareNumber_1369 SquareNumber_8100 SquareNumber_841
SquareNumber_400 SquareNumber_2916 SquareNumber_196 SquareNumber_3721 SquareNumber_2304 SquareNumber_2601 SquareNumber_2401 SquareNumber_6084 SquareNumber_361 SquareNumber_2500
mysterious dark bewildered innocent clean gifted bright alert witty open
cloudy smoggy brave spotless vivacious delightful busy awful glorious excited
proud helpless adorable energetic sleepy adventurous weary open wandering bored
disgusted ugly enchanting outstanding fantastic elegant gorgeous black beautiful dizzy
crowded kind awful glamorous careful grumpy innocent average fine inquisitive
expensive scary fair sleepy doubtful cloudy outrageous kind anxious happy
filthy tough weary dull pleasant glamorous silly comfortable lonely hungry
motionless tender depressed ill clean easy aggressive unusual careful dizzy
precious fierce anxious vast jealous envious defeated thankful wild thankful
victorious bad funny unusual real average helpful easy enchanting motionless
cautious faithful fantastic weary modern rich powerful selfish homeless bored
BinaryNumber_0100100 BinaryNumber_1010110 BinaryNumber_0111101 BinaryNumber_1011001 BinaryNumber_0000011 BinaryNumber_1100000 BinaryNumber_0000110 BinaryNumber_1010111 BinaryNumber_0001100 BinaryNumber_0010010
BinaryNumber_1001111 BinaryNumber_0011100 BinaryNumber_0100110 BinaryNumber_0101010 BinaryNumber_1011110 BinaryNumber_1000110 BinaryNumber_0001100 BinaryNumber_0001010 BinaryNumber_0010001 BinaryNumber_0010101
BinaryNumber_1100011 BinaryNumber_1010100 BinaryNumber_0111000 BinaryNumber_0111100 BinaryNumber_0010111 BinaryNumber_0100001 BinaryNumber_1000000 BinaryNumber_0110111 BinaryNumber_0101000 BinaryNumber_0100000
BinaryNumber_0101001 BinaryNumber_0000000 BinaryNumber_1001011 BinaryNumber_1011001 BinaryNumber_0100001 BinaryNumber_1100010 BinaryNumber_0101101 BinaryNumber_0001111 BinaryNumber_0110110 BinaryNumber_0100101
BinaryNumber_0101011 BinaryNumber_1001101 BinaryNumber_0111110 BinaryNumber_0010000 BinaryNumber_0110110 BinaryNumber_0000100 BinaryNumber_0001111 BinaryNumber_0001011 BinaryNumber_0001001 BinaryNumber_0000101
BinaryNumber_1000010 BinaryNumber_0000101 BinaryNumber_0000001 BinaryNumber_1011001 BinaryNumber_0100111 BinaryNumber_0110101 BinaryNumber_1010101 BinaryNumber_0110110 BinaryNumber_0111001 BinaryNumber_0011111
BinaryNumber_1010010 BinaryNumber_1011000 BinaryNumber_1000001 BinaryNumber_0000001 BinaryNumber_1000000 BinaryNumber_1010100 BinaryNumber_0111001 BinaryNumber_0110010 BinaryNumber_0111101 BinaryNumber_0001111
BinaryNumber_0111011 BinaryNumber_0000011 BinaryNumber_0001010 BinaryNumber_1010010 BinaryNumber_0101111 BinaryNumber_1010101 BinaryNumber_0100100 BinaryNumber_0110100 BinaryNumber_1011101 BinaryNumber_0110010
BinaryNumber_0111100 BinaryNumber_0100010 BinaryNumber_0100110 BinaryNumber_0011011 BinaryNumber_0011011 BinaryNumber_0000110 BinaryNumber_1010010 BinaryNumber_0111101 BinaryNumber_1001011 BinaryNumber_1011010
BinaryNumber_0100111 BinaryNumber_0000011 BinaryNumber_0000010 BinaryNumber_1000111 BinaryNumber_0111000 BinaryNumber_0111000 BinaryNumber_0000100 BinaryNumber_0000011 BinaryNumber_0110100 BinaryNumber_0001001
BinaryNumber_0111010 BinaryNumber_0001000 BinaryNumber_0001111 BinaryNumber_0011001 BinaryNumber_1010001 BinaryNumber_1010010 BinaryNumber_1001101 BinaryNumber_0100010 BinaryNumber_0101000 BinaryNumber_0101100
temperature__129c temperature__47c temperature__91c temperature__140c temperature__130c temperature__92c temperature__31c temperature__71c temperature__78c temperature__64c
temperature__140c temperature__98c temperature__34c temperature__146c temperature__53c temperature__85c temperature__92c temperature__35c temperature__51c temperature__47c
temperature__88c temperature__78c temperature__91c temperature__26c temperature__69c temperature__138c temperature__58c temperature__137c temperature__82c temperature__17c
temperature__23c temperature__50c temperature__106c temperature__78c temperature__86c temperature__82c temperature__119c temperature__118c temperature__31c temperature__57c
temperature__44c temperature__141c temperature__44c temperature__112c temperature__34c temperature__77c temperature__57c temperature__82c temperature__0c temperature__147c
temperature__54c temperature__145c temperature__33c temperature__95c temperature__84c temperature__59c temperature__111c temperature__69c temperature__129c temperature__8c
temperature__47c temperature__8c temperature__59c temperature__5c temperature__58c temperature__91c temperature__5c temperature__131c temperature__85c temperature__100c
temperature__23c temperature__70c temperature__139c temperature__68c temperature__36c temperature__34c temperature__0c temperature__122c temperature__39c temperature__120c
