defeated grumpy awful cooperative blue-eyed expensive evil comfortable gentle grotesque
glamorous joyous graceful sore zealous frantic condemned kind prickly healthy
poised dangerous disgusted rich healthy ugliest wicked grumpy real delightful
victorious glamorous arrogant grotesque inquisitive lively poor busy sore wide-eyed
encouraging ashamed stupid lazy crowded distinct envious homeless agreeable shy
excited successful easy obnoxious homeless inexpensive depressed panicky distinct selfish
funny worrisome brave scary worrisome powerful stupid inquisitive bloody defiant
inexpensive blue-eyed shy lively amused breakable magnificent ill cute wild
drab attractive precious different wicked brainy mushy fair grumpy grumpy
obedient crowded alive courageous perfect proud fair lucky filthy charming
calm lonely arrogant stormy tired fantastic drab exuberant gleaming breakable
DarkRed LightYellow DarkCyan Orchid DarkGreen DarkSeaGreen Cyan LavenderBlush WhiteSmoke Cornsilk
SlateBlue Crimson MediumVioletRed Orange DeepSkyBlue LightSlateBlue Tan Pink SpringGreen OrangeRed
LightGreen DarkTurquoise MediumSlateBlue Turquoise Khaki DodgerBlue Tan Turquoise Gold DarkFuchsia
LightSlateGray NavajoWhite Seashell Purple CadetBlue DarkSlateBlue SlateBlue DarkOrange OldLace PaleTurquoise
FloralWhite MidnightBlue LimeGreen Gainsboro FloralWhite DeepPink Olive Seashell Firebrick Blue
IndianRed LightPink MediumSlateBlue LavenderBlush PaleTurquoise DarkOliveGreen DarkOrchid SandyBrown LightSlateGray Lavender
Wheat Maroon DarkBlue DeepSkyBlue AntiqueWhite Brown Black RosyBrown DodgerBlue Honeydew
Black SkyBlue DodgerBlue RosyBrown Red DodgerBlue Blue VioletRed LightGoldenrodYellow Chartreuse
Fuchsia Orchid RoyalBlue MediumSlateBlue Chocolate Seashell DarkGray DarkSeaGreen DarkOliveGreen LightGray
LemonChiffon PaleGreen Black Chocolate CornflowerBlue DarkOliveGreen Wheat SlateGray Fuchsia CornflowerBlue
DarkFuchsia Olive Silver PaleVioletRed OliveDrab AliceBlue AntiqueWhite Indigo MediumAquamarine DeepPink
14:56 19:49 12:30 22:16 18:28 21:54 22:37 22:11 22:58 18:39
12:10 12:29 16:40 18:39 15:30 16:53 17:16 18:12 10:21 14:32
13:35 17:31 12:12 12:44 16:21 19:52 18:29 21:40 12:46 10:17
19:50 12:20 20:12 21:52 11:51 17:23 15:17 19:56 21:51 23:33
16:33 12:59 22:32 17:33 21:11 18:54 11:32 11:10 21:21 17:46
11:23 17:27 12:57 20:39 12:41 18:58 10:17 14:52 19:47 13:47
16:41 21:51 17:30 20:24 22:33 11:13 13:27 12:20 14:18 11:31
12:49 13:47 15:28 14:18 20:51 10:36 22:40 20:28 12:50 19:27
16:25 21:31 14:37 22:35 18:45 14:22 22:41 14:46 16:41 13:47
21:22 17:17 14:27 23:26 12:25 16:33 19:59 15:51 22:48 19:37
14:37 19:33 16:44 22:13 19:50 23:37 10:20 21:38 21:36 11:12
heterotroph biped thoroughbred eukaryotic pig bear tame invertebrate multicellular primate
jellyfish frog rabbit pigs dogs farming exoticanimals bug tufted bobcat
fantasy protist animalia meat livestock cat mythical epizootic superdog clams
farming zoo puppy clams feline pig zoo marineanimal mythical iguana
reptile fleshly wild poikilotherm animalia dog beast chordate tame mammal
insects carnivore environmental cats raccoon embryo wild scavenger animalkingdom varmint
bug wildlife invertebrate animals jellyfish deer beast bird puppy tufted
