easy crazy mushy obnoxious precious blue-eyed silly sparkling concerned worried
nice aggressive weary comfortable easy lazy filthy expensive troubled cruel
brave encouraging sparkling glorious light sore blue-eyed amused aggressive inquisitive
cooperative tasty calm bored tense odd dark frightened odd troubled
cautious comfortable homely dizzy clear courageous puzzled clean troubled grotesque
fragile evil shy blue-eyed naughty old-fashioned smoggy thankful powerful fantastic
colorful funny tough inquisitive busy anxious hungry hungry doubtful tame
glamorous impossible condemned agreeable attractive fragile bloody eager nice adorable
bad frail shiny odd exuberant calm cruel tough wandering ugliest
brainy bewildered dangerous ill tame wandering scary dark depressed real
exuberant shiny weary stupid talented poised homely zealous embarrassed repulsive
temperature__106c temperature__116c temperature__137c temperature__59c temperature__11c temperature__109c temperature__54c temperature__22c temperature__6c temperature__5c
temperature__111c temperature__59c temperature__88c temperature__124c temperature__35c temperature__141c temperature__109c temperature__136c temperature__31c temperature__77c
temperature__56c temperature__35c temperature__69c temperature__124c temperature__42c temperature__86c temperature__14c temperature__57c temperature__116c temperature__58c
temperature__106c temperature__98c temperature__136c temperature__84c temperature__120c temperature__47c temperature__22c temperature__36c temperature__140c temperature__28c
temperature__10c temperature__140c temperature__65c temperature__33c temperature__10c temperature__52c temperature__10c temperature__52c temperature__139c temperature__0c
temperature__77c temperature__7c temperature__12c temperature__50c temperature__28c temperature__111c temperature__132c temperature__70c temperature__138c temperature__132c
temperature__140c temperature__47c temperature__59c temperature__41c temperature__90c temperature__73c temperature__42c temperature__52c temperature__64c temperature__139c
temperature__50c temperature__111c temperature__7c temperature__148c temperature__52c temperature__36c temperature__5c temperature__137c temperature__59c temperature__70c
temperature__84c temperature__145c temperature__88c temperature__7c temperature__41c temperature__142c temperature__111c temperature__27c temperature__36c temperature__148c
temperature__61c temperature__8c temperature__53c temperature__8c temperature__70c temperature__87c temperature__106c temperature__109c temperature__91c temperature__14c
temperature__63c temperature__93c temperature__106c temperature__70c temperature__108c temperature__17c temperature__14c temperature__68c temperature__108c temperature__144c
Açaí Peach Cherry Tamarillo Feijoa Watermelon Tamarind Cempedak Kiwifruit Cashew
Pineapple Tangelo Nance Coconut Raisin Loganberry Strawberry Orange Cashew Tayberry
Rambutan  Mangosteen Sapote Mandarine Kiwifruit Tayberry Bilberry Pomegranate Guava Lychee
