MintCream SandyBrown Brown LimeGreen DarkTurquoise Pink MediumVioletRed Green Tan DarkGoldenrod
GreenYellow MediumSpringGreen MediumTurquoise AntiqueWhite Indigo ForestGreen Plum FloralWhite DarkKhaki Silver
ForestGreen DarkOrchid MistyRose Tan Peru FloralWhite LightGreen LightCoral RosyBrown Snow
Purple Chartreuse DarkBlue Gold LightSlateGray PaleTurquoise LightCyan Burlywood Bisque DarkSeaGreen
LimeGreen OldLace Sienna LightGoldenrodYellow LightGreen DarkOrchid GreenYellow WhiteSmoke SteelBlue RosyBrown
Yellow DarkGreen DarkSlateBlue SteelBlue Red Lime Beige Beige Silver DarkSlateBlue
Lime LightSlateBlue Goldenrod LightGreen HotPink SandyBrown Coral PaleTurquoise Orange Honeydew
Cornsilk SkyBlue DarkKhaki White Violet Turquoise Chartreuse Olive Chartreuse Crimson
PaleGoldenrod AliceBlue Peru DarkOliveGreen AliceBlue LemonChiffon Moccasin Violet Peru DarkSeaGreen
PaleTurquoise HotPink SeaGreen LavenderBlush Thistle OrangeRed Sienna Salmon BlanchedAlmond CornflowerBlue
SlateBlue Firebrick LightSteelBlue Cornsilk LightSlateBlue SpringGreen NavajoWhite MediumSpringGreen MintCream Lime
BinaryNumber_0111010 BinaryNumber_0100001 BinaryNumber_0011000 BinaryNumber_1100001 BinaryNumber_1000000 BinaryNumber_0011001 BinaryNumber_0010110 BinaryNumber_0101101 BinaryNumber_0101011 BinaryNumber_0100110
BinaryNumber_1100000 BinaryNumber_1000000 BinaryNumber_1100010 BinaryNumber_0110000 BinaryNumber_0110001 BinaryNumber_0011010 BinaryNumber_1001110 BinaryNumber_0011111 BinaryNumber_0000001 BinaryNumber_0000010
BinaryNumber_1100011 BinaryNumber_1010100 BinaryNumber_0011110 BinaryNumber_0100111 BinaryNumber_0111001 BinaryNumber_0101111 BinaryNumber_0000001 BinaryNumber_1000010 BinaryNumber_1010100 BinaryNumber_0010011
