RosyBrown Linen LightBlue Firebrick Seashell GreenYellow VioletRed MediumPurple LightSteelBlue DarkBlue
MediumSlateBlue SeaGreen MediumTurquoise MediumAquamarine Tan SlateBlue Khaki PowderBlue LightGreen MediumPurple
NavajoWhite PaleVioletRed Crimson MediumSeaGreen Green SeaGreen DeepPink Crimson Red Pink
SeaGreen DarkSeaGreen PeachPuff DarkBlue Firebrick Turquoise LimeGreen NavajoWhite RosyBrown Black
LightSalmon LightSlateBlue Goldenrod DarkBlue Aquamarine MintCream AliceBlue Khaki Green NavajoWhite
DarkCyan Seashell Orange DarkSlateBlue GhostWhite LightSlateGray MediumSeaGreen Coral Coral SeaGreen
Turquoise Purple Peru Violet Gray OrangeRed Black SpringGreen DeepPink Bisque
Brown Olive Green SeaGreen DarkGoldenrod CadetBlue DarkOliveGreen Green Honeydew Indigo
Feldspar DarkGoldenrod CornflowerBlue Lavender DarkOrange LightCyan LightSlateBlue DarkGreen DodgerBlue IndianRed
DarkSlateGray MintCream Salmon DarkTurquoise Burlywood CornflowerBlue DodgerBlue SlateGray GhostWhite DodgerBlue
PaleGoldenrod CadetBlue PeachPuff GhostWhite LightCyan White MediumOrchid Gray MediumPurple LavenderBlush
BinaryNumber_0011110 BinaryNumber_1100000 BinaryNumber_1100011 BinaryNumber_0100100 BinaryNumber_1000110 BinaryNumber_0110110 BinaryNumber_1000001 BinaryNumber_1011111 BinaryNumber_1001001 BinaryNumber_0110110
BinaryNumber_0000000 BinaryNumber_0011110 BinaryNumber_0001110 BinaryNumber_0101101 BinaryNumber_0100101 BinaryNumber_1001111 BinaryNumber_0101100 BinaryNumber_0110000 BinaryNumber_0011000 BinaryNumber_1011111
BinaryNumber_0101110 BinaryNumber_0100010 BinaryNumber_0110001 BinaryNumber_1010010 BinaryNumber_0000010 BinaryNumber_0000110 BinaryNumber_0010111 BinaryNumber_1100000 BinaryNumber_1011101 BinaryNumber_0001000
BinaryNumber_1100011 BinaryNumber_0010001 BinaryNumber_0101111 BinaryNumber_1011001 BinaryNumber_0101101 BinaryNumber_1011111 BinaryNumber_0010010 BinaryNumber_0110101 BinaryNumber_1011110 BinaryNumber_0100111
