Peru LawnGreen Chocolate AntiqueWhite FloralWhite IndianRed Sienna LightCoral Bisque SaddleBrown
LemonChiffon Cyan Thistle DarkGray Moccasin Maroon OldLace Violet Gold Khaki
SteelBlue DarkOrchid DarkBlue DodgerBlue DarkSlateGray FloralWhite Olive LightGoldenrodYellow Teal LightSlateBlue
Gray DarkSalmon HotPink MediumTurquoise DarkOrange Red LavenderBlush Aquamarine OldLace Maroon
DeepSkyBlue Black Lavender PaleGreen Turquoise DodgerBlue IndianRed SlateGray HotPink LightCoral
Coral SlateBlue Maroon Peru LightGoldenrodYellow Yellow Burlywood Green VioletRed Firebrick
Yellow DarkBlue PapayaWhip DeepPink Black AntiqueWhite LawnGreen PowderBlue BlanchedAlmond LightGoldenrodYellow
Azure MistyRose Chartreuse BlanchedAlmond AliceBlue Turquoise Feldspar PapayaWhip DarkKhaki Goldenrod
LightGreen MistyRose DodgerBlue AliceBlue DarkOrchid WhiteSmoke HotPink Violet LightSeaGreen LightBlue
Indigo Snow Gainsboro DarkFuchsia Purple LimeGreen Aquamarine Moccasin HotPink Tomato
Firebrick Navy LightGoldenrod Khaki Tan Brown BlanchedAlmond SlateBlue Orange BlanchedAlmond
CubeNumber_10648 CubeNumber_8 CubeNumber_4096 CubeNumber_729 CubeNumber_592704 CubeNumber_42875 CubeNumber_343000 CubeNumber_125000 CubeNumber_357911 CubeNumber_1000
CubeNumber_166375 CubeNumber_328509 CubeNumber_4096 CubeNumber_531441 CubeNumber_17576 CubeNumber_456533 CubeNumber_103823 CubeNumber_729000 CubeNumber_571787 CubeNumber_15625
CubeNumber_85184 CubeNumber_250047 CubeNumber_1331 CubeNumber_29791 CubeNumber_5832 CubeNumber_68921 CubeNumber_551368 CubeNumber_85184 CubeNumber_551368 CubeNumber_729000
CubeNumber_300763 CubeNumber_4913 CubeNumber_373248 CubeNumber_287496 CubeNumber_166375 CubeNumber_729000 CubeNumber_15625 CubeNumber_185193 CubeNumber_8000 CubeNumber_474552
CubeNumber_343000 CubeNumber_15625 CubeNumber_8 CubeNumber_2197 CubeNumber_1728 CubeNumber_46656 CubeNumber_39304 CubeNumber_729 CubeNumber_74088 CubeNumber_110592
CubeNumber_512 CubeNumber_42875 CubeNumber_8 CubeNumber_185193 CubeNumber_531441 CubeNumber_59319 CubeNumber_8 CubeNumber_1000 CubeNumber_830584 CubeNumber_729000
CubeNumber_373248 CubeNumber_405224 CubeNumber_64000 CubeNumber_59319 CubeNumber_42875 CubeNumber_39304 CubeNumber_300763 CubeNumber_287496 CubeNumber_32768 CubeNumber_592704
