CornflowerBlue Gray Khaki DarkOrchid SlateGray Fuchsia DarkSeaGreen MediumVioletRed OldLace AliceBlue
DarkKhaki Violet MediumSpringGreen LightSlateBlue SlateBlue LightCoral PowderBlue WhiteSmoke Bisque DodgerBlue
PaleVioletRed Gold Indigo Seashell LightSkyBlue Aquamarine Moccasin Teal Feldspar ForestGreen
Coral Gainsboro LightCoral Plum Coral RoyalBlue Feldspar DarkCyan MistyRose PaleGoldenrod
NavajoWhite NavajoWhite OldLace Burlywood NavajoWhite Beige DarkSlateGray PaleGreen LightSeaGreen Pink
Khaki MistyRose LightSlateGray RoyalBlue LightSalmon DeepSkyBlue PaleGoldenrod DarkSeaGreen MediumAquamarine DarkSalmon
LightGoldenrodYellow LightPink ForestGreen Bisque DeepPink DarkGreen Orchid DeepPink Sienna NavajoWhite
Plum SeaGreen Cornsilk SaddleBrown Chartreuse Coral Ivory CornflowerBlue Green LightGoldenrod
GhostWhite SkyBlue SlateBlue LightSteelBlue LightSeaGreen Lime Sienna MidnightBlue MediumTurquoise Black
LightCoral Burlywood DarkRed Fuchsia GhostWhite MediumVioletRed Feldspar DarkTurquoise Beige Orange
HotPink BlueViolet DarkKhaki DarkBlue SeaGreen SaddleBrown Azure Chartreuse DarkGoldenrod SeaGreen
Larynx Bladder Duodenum Vulva Thalamus Duodenum skeleton Spleen Cerebellum Urethra
Analcanal Ureter Placenta Pons Ossicles Middleear Brain Rectum Eardrum Joints
Lens Clitoris Lens Brain Esophagus Rectum Cervix Ovaries Penis Pharynx
Interstitium Clitoris Retina Retina Mouth Penis Mesentery Vagina Pharynx Largeintestine
Cerebrum Largeintestine Nerves Lips Vagina Cochlea Capillaries Spinalnerves Vulva Capillaries
Tongue Largeintestine Cochlea Retina Cornea Ileum Tongue Arteries Bone  Mouth
Pancreas Cecum Eye Sensoryorgans Ganglia Cochlea Ossicles Retina Stomach Ciliarybody
Smallintestine Veins Spleen Thalamus Lips Penis Jejunum Uterus Tendons Tongue
Retina Largeintestine Eye Tendons Largeintestine Midbrain Uterus Liver Stomach Eardrum
