Abiu Blackberry Akebi Yuzu Pomegranate Kiwifruit Longan Açaí Redcurrant Apricot
Loquat Coconut Papaya Lemon Sapote Plumcot Strawberry Kumquat Passionfruit Peach
Yuzu Durian Kiwano Mango Blackcurrant Yuzu Breadfruit Cempedak Kiwifruit Raspberry
Plantain Plumcot Persimmon Kiwano Ximenia Currant Tamarind Cashew Nance Orange
Sapodilla Pear Jujube Currant Jambul Lulo Nectarine Date Canistel Longan
Kumquat Kiwifruit Satsuma Pineapple Blueberry Clementine Apple Pomegranate Guava Nectarine
Mulberry Lychee Tangerine Cempedak Kiwano Pear Blackcurrant Cherry Bilberry Cloudberry
Blackcurrant Sapodilla Cashew Elderberry Blackberry Huckleberry Abiu Tamarillo Pineberry Kumquat
Acerola Tayberry Satsuma Orange Mango Breadfruit Lime Apple Bilberry Date
Cempedak Tangelo Pineberry Quince Soursop Banana Passionfruit Cloudberry Tamarillo Jackfruit
Cherimoya Cempedak Pineberry Lime Quince Orange Blackberry Banana Loquat Raspberry
BinaryNumber_0101000 BinaryNumber_0100111 BinaryNumber_0110000 BinaryNumber_0000010 BinaryNumber_0000111 BinaryNumber_1000011 BinaryNumber_1000011 BinaryNumber_1001001 BinaryNumber_0110111 BinaryNumber_1000111
BinaryNumber_0100011 BinaryNumber_0110010 BinaryNumber_0010111 BinaryNumber_0001100 BinaryNumber_0000101 BinaryNumber_0011100 BinaryNumber_0011100 BinaryNumber_1001000 BinaryNumber_1010101 BinaryNumber_0110011
BinaryNumber_0110010 BinaryNumber_0100011 BinaryNumber_1010010 BinaryNumber_0101100 BinaryNumber_0001000 BinaryNumber_0000001 BinaryNumber_1001110 BinaryNumber_1001101 BinaryNumber_1011101 BinaryNumber_0001011
BinaryNumber_0100111 BinaryNumber_1011000 BinaryNumber_1001000 BinaryNumber_0010110 BinaryNumber_0100100 BinaryNumber_0001001 BinaryNumber_0101100 BinaryNumber_1000100 BinaryNumber_0011100 BinaryNumber_1001110
BinaryNumber_0110100 BinaryNumber_0010010 BinaryNumber_0111000 BinaryNumber_0011111 BinaryNumber_1000010 BinaryNumber_0011010 BinaryNumber_0010000 BinaryNumber_1000110 BinaryNumber_0100101 BinaryNumber_0000010
BinaryNumber_1001011 BinaryNumber_1000000 BinaryNumber_0011101 BinaryNumber_1001000 BinaryNumber_1011010 BinaryNumber_0100001 BinaryNumber_0100110 BinaryNumber_0001111 BinaryNumber_0000010 BinaryNumber_1010001
BinaryNumber_1001111 BinaryNumber_0100010 BinaryNumber_1011101 BinaryNumber_1011000 BinaryNumber_0101000 BinaryNumber_0100100 BinaryNumber_1000111 BinaryNumber_0000110 BinaryNumber_1000110 BinaryNumber_1000111
BinaryNumber_0010100 BinaryNumber_0100110 BinaryNumber_0011110 BinaryNumber_0000001 BinaryNumber_0111101 BinaryNumber_1010100 BinaryNumber_0011000 BinaryNumber_0101100 BinaryNumber_1001011 BinaryNumber_0101110
BinaryNumber_0001001 BinaryNumber_1001001 BinaryNumber_0010011 BinaryNumber_0101000 BinaryNumber_1011000 BinaryNumber_0011100 BinaryNumber_1100001 BinaryNumber_1001010 BinaryNumber_1001001 BinaryNumber_1010101
BinaryNumber_0011010 BinaryNumber_0100110 BinaryNumber_1010011 BinaryNumber_0000110 BinaryNumber_1000111 BinaryNumber_0111101 BinaryNumber_1010111 BinaryNumber_1000011 BinaryNumber_0001011 BinaryNumber_1100011
BinaryNumber_0111000 BinaryNumber_0110010 BinaryNumber_0010011 BinaryNumber_1010110 BinaryNumber_0110101 BinaryNumber_0010000 BinaryNumber_0010110 BinaryNumber_0010110 BinaryNumber_0110101 BinaryNumber_1011100
SquareNumber_7225 SquareNumber_9409 SquareNumber_121 SquareNumber_25 SquareNumber_196 SquareNumber_25 SquareNumber_2025 SquareNumber_196 SquareNumber_529 SquareNumber_3600
SquareNumber_6561 SquareNumber_7396 SquareNumber_10000 SquareNumber_64 SquareNumber_5184 SquareNumber_2809 SquareNumber_1849 SquareNumber_3249 SquareNumber_5776 SquareNumber_1600
SquareNumber_576 SquareNumber_6400 SquareNumber_1681 SquareNumber_2401 SquareNumber_1600 SquareNumber_400 SquareNumber_6561 SquareNumber_5476 SquareNumber_3600 SquareNumber_8100
SquareNumber_2500 SquareNumber_196 SquareNumber_2401 SquareNumber_961 SquareNumber_4624 SquareNumber_900 SquareNumber_289 SquareNumber_64 SquareNumber_441 SquareNumber_7056
SquareNumber_4356 SquareNumber_8281 SquareNumber_7056 SquareNumber_49 SquareNumber_6724 SquareNumber_2025 SquareNumber_6561 SquareNumber_3249 SquareNumber_1444 SquareNumber_784
