Goldenrod DarkFuchsia MediumPurple Khaki MediumVioletRed LightSalmon Pink Gold DodgerBlue DarkOliveGreen
DimGray Yellow White Sienna OliveDrab DarkOrchid Cornsilk Tan Feldspar Beige
SlateBlue Teal SeaGreen MediumAquamarine LavenderBlush LightSlateGray FloralWhite LightSlateGray Firebrick MintCream
NavajoWhite Tomato LawnGreen MidnightBlue MediumAquamarine Orange DarkRed PapayaWhip Brown MediumOrchid
PowderBlue LightGreen Tan Goldenrod LightSkyBlue Purple HotPink PeachPuff LavenderBlush Maroon
Chocolate CadetBlue DarkSlateBlue MediumAquamarine RosyBrown DarkKhaki LightSteelBlue Orange Beige CadetBlue
PowderBlue Coral Sienna Crimson AntiqueWhite MidnightBlue LightGreen Salmon AntiqueWhite LightSalmon
Black LightGreen OliveDrab LightSlateGray LawnGreen LightGray MediumVioletRed DimGray Lavender Firebrick
Tan Firebrick DarkOrange Goldenrod NavajoWhite Turquoise DeepPink Chocolate Moccasin Lavender
Orange PowderBlue PowderBlue Wheat BlueViolet Maroon Peru VioletRed Peru White
LightSlateBlue Tan Sienna Black DarkSlateGray DeepSkyBlue MediumSlateBlue Seashell LightBlue DeepSkyBlue
troubled curious concerned depressed bright defeated lucky elegant successful bewildered
nervous depressed stupid alive naughty misty disturbed cruel long important
scary frightened helpful creepy smiling terrible victorious courageous stormy dull
unsightly dull alive hilarious panicky wild sparkling nice unsightly good
poor frantic comfortable gorgeous prickly rich beautiful hilarious elated handsome
gifted jealous frantic fierce dark calm crazy upset excited shy
jolly relieved blue victorious muddy calm uptight odd vivacious depressed
lucky tasty drab cruel fine tense witty super pleasant combative
strange obedient creepy cruel elated long cooperative wicked relieved embarrassed
lucky pleasant creepy nice better friendly ugly zealous open muddy
terrible aggressive zany crazy dull vivacious condemned dangerous dull wrong
Nance Kiwifruit Orange Huckleberry Currant Currant Guava Açaí Tangerine Durian
Boysenberry Tangelo Yuzu Cranberry Plumcot Blackberry Quince Apple Tamarind Soursop
Ackee Loquat Tayberry Huckleberry Plum Blackcurrant Cashew Raisin Ackee Mandarine
Coconut Raspberry Pear Jujube Jackfruit Soursop Soursop Cantaloupe Papaya Blackberry
