funny panicky aggressive difficult putrid courageous enthusiastic alert mysterious dangerous
lively hungry repulsive exuberant good depressed funny lazy confused encouraging
tough lovely bewildered aggressive enthusiastic odd grumpy concerned alive old-fashioned
aggressive bloody helpful successful kind combative bewildered witty clear dull
evil long lonely prickly eager breakable plain ugly unusual defiant
brainy worrisome nervous lazy blue-eyed old-fashioned putrid alive annoying wandering
enthusiastic bright gorgeous worrisome alive different black perfect defeated glamorous
cute alert curious troubled careful vivacious spotless innocent drab homeless
rich glorious tasty elegant wild easy fierce inexpensive wicked gentle
grumpy calm tasty poor nasty crowded important fierce envious old-fashioned
cruel adorable gifted kind faithful foolish clever ashamed crowded zealous
Blue MediumPurple LightCoral LightSeaGreen Lavender Seashell MidnightBlue Black DarkSeaGreen LightGreen
IndianRed WhiteSmoke MediumPurple MediumSeaGreen DarkSlateBlue LawnGreen MidnightBlue SkyBlue OliveDrab GreenYellow
SteelBlue LightSteelBlue Plum Lime MediumPurple LightBlue DarkKhaki SteelBlue PaleGreen VioletRed
MediumOrchid Aquamarine Thistle DarkRed Firebrick LightYellow SpringGreen DeepSkyBlue DodgerBlue Honeydew
Azure LightGoldenrodYellow CornflowerBlue LightSlateGray AntiqueWhite LawnGreen LightGray AntiqueWhite VioletRed DarkOliveGreen
Honeydew NavajoWhite Chocolate DodgerBlue PaleVioletRed SteelBlue Salmon LemonChiffon LightGreen OrangeRed
Navy Tomato MediumBlue Honeydew Ivory LightSalmon LightSkyBlue Yellow PaleGoldenrod DarkGray
DarkViolet Wheat DarkViolet LawnGreen CadetBlue Teal Maroon ForestGreen OldLace DarkKhaki
RosyBrown Ivory DarkSeaGreen RosyBrown Azure Tomato AliceBlue Tomato IndianRed DarkSalmon
MediumTurquoise Indigo Thistle Gainsboro LightSeaGreen Sienna LightGoldenrodYellow LimeGreen GreenYellow Green
LightCoral CornflowerBlue DarkFuchsia DarkBlue FloralWhite GhostWhite DarkSlateGray Aquamarine SkyBlue LimeGreen
Redcurrant Soursop Jostaberry Soursop Yuzu Satsuma Feijoa Apple Elderberry Persimmon
Passionfruit Jujube Nance Loganberry Akebi Abiu Boysenberry Apricot Melon Grape
Pineapple Grapefruit Papaya Plumcot Strawberry Boysenberry Cashew Pineapple Soursop Mangosteen
Mandarine Grape Sapodilla Lulo Passionfruit Mulberry Banana Mandarine Satsuma Rambutan 
Lemon Bilberry Tamarind Apricot Tangerine Cloudberry Pawpaw Açaí Elderberry Tamarind
Mango Tamarind Elderberry Cashew Pineapple Jambul Grape Quince Blueberry Tamarind
