Purple Plum Chartreuse LightSlateBlue DeepPink Moccasin Black LightGray DarkGoldenrod Green
OliveDrab DeepPink Maroon Azure LightSlateGray OliveDrab Cornsilk Aquamarine Salmon OrangeRed
LightCyan MediumSpringGreen RosyBrown MediumAquamarine MintCream DarkOliveGreen RosyBrown SlateGray DarkBlue LightGoldenrod
Peru VioletRed MediumTurquoise Aquamarine Goldenrod Aquamarine PapayaWhip RosyBrown Brown Orange
Crimson DimGray Gold DarkSalmon Peru LightCyan SteelBlue PowderBlue Gainsboro Thistle
Snow SlateGray HotPink Honeydew Linen Blue Sienna DarkRed Ivory Red
DarkTurquoise Silver LightYellow PowderBlue Seashell Crimson MistyRose PeachPuff HotPink Linen
DodgerBlue MediumSeaGreen PapayaWhip Orchid MediumVioletRed BlueViolet Indigo MediumSpringGreen MidnightBlue FloralWhite
Firebrick PaleGoldenrod GhostWhite MediumPurple SlateBlue DarkSeaGreen Blue Ivory DarkOrange BlanchedAlmond
LemonChiffon Feldspar Violet Gold Chocolate DarkOrange SandyBrown LimeGreen MediumVioletRed MediumSlateBlue
PaleGreen LemonChiffon DarkOrchid PaleTurquoise Snow Blue DarkSeaGreen LimeGreen MediumOrchid AntiqueWhite
BinaryNumber_0010000 BinaryNumber_0101010 BinaryNumber_1001111 BinaryNumber_0111000 BinaryNumber_1100001 BinaryNumber_0000001 BinaryNumber_0001001 BinaryNumber_0010011 BinaryNumber_0100101 BinaryNumber_0111101
BinaryNumber_1100010 BinaryNumber_1001000 BinaryNumber_0001100 BinaryNumber_0101011 BinaryNumber_0011010 BinaryNumber_0010011 BinaryNumber_1100000 BinaryNumber_1010111 BinaryNumber_0010010 BinaryNumber_0101111
BinaryNumber_1000011 BinaryNumber_1000100 BinaryNumber_0110001 BinaryNumber_0010000 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_0011100 BinaryNumber_1100011 BinaryNumber_1000110 BinaryNumber_0011111
BinaryNumber_0100100 BinaryNumber_0000011 BinaryNumber_0111110 BinaryNumber_0100100 BinaryNumber_0100010 BinaryNumber_0011001 BinaryNumber_0100011 BinaryNumber_0001001 BinaryNumber_0010111 BinaryNumber_0011111
BinaryNumber_0101110 BinaryNumber_0101011 BinaryNumber_0001101 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_0110010 BinaryNumber_1001110 BinaryNumber_0011111 BinaryNumber_0111011 BinaryNumber_0011110
BinaryNumber_1001111 BinaryNumber_1010010 BinaryNumber_0111100 BinaryNumber_1001110 BinaryNumber_0111100 BinaryNumber_1001010 BinaryNumber_0111010 BinaryNumber_0010111 BinaryNumber_1011110 BinaryNumber_0011100
BinaryNumber_0001101 BinaryNumber_0111101 BinaryNumber_0100001 BinaryNumber_0010111 BinaryNumber_0100011 BinaryNumber_1001101 BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_0100110
BinaryNumber_0011000 BinaryNumber_0000101 BinaryNumber_0011111 BinaryNumber_0011110 BinaryNumber_1001100 BinaryNumber_0101111 BinaryNumber_1000100 BinaryNumber_1011011 BinaryNumber_0111010 BinaryNumber_1000001
BinaryNumber_0110011 BinaryNumber_0010011 BinaryNumber_0001011 BinaryNumber_0000010 BinaryNumber_0100010 BinaryNumber_0011000 BinaryNumber_0000101 BinaryNumber_0011010 BinaryNumber_0001000 BinaryNumber_0111100
BinaryNumber_0001100 BinaryNumber_0110100 BinaryNumber_1000001 BinaryNumber_0010000 BinaryNumber_0000110 BinaryNumber_1000100 BinaryNumber_0011001 BinaryNumber_0010101 BinaryNumber_0111010 BinaryNumber_1001100
BinaryNumber_0010010 BinaryNumber_0000100 BinaryNumber_0110101 BinaryNumber_1001110 BinaryNumber_1001100 BinaryNumber_1100010 BinaryNumber_1010011 BinaryNumber_1010100 BinaryNumber_0010001 BinaryNumber_1100011
rice milk fruits vegetables meat nourishment drinks eat cooking victuals victuals
provender plant cereal edible provender meal fruits vegetables cereal provender drinks
beef cereal eat nutrient cheese cooking nourishment meals meal chicken
soup fruits vegetables nutrition meal edible chicken animal seafood beef chicken
fruit nutrient soup chicken cheese nourishment victuals victuals nutrient edible
cereal nourishment milk cereal eat restaurant restaurant provender eat vegetable
