Orange Feldspar FloralWhite PeachPuff DarkOrange DarkFuchsia Lavender Chocolate NavajoWhite Brown
Lavender BlueViolet LightGreen ForestGreen Pink CadetBlue Thistle BlanchedAlmond Black OrangeRed
White Black RosyBrown Tomato SaddleBrown Feldspar Seashell LightSlateBlue DarkSalmon SaddleBrown
LimeGreen Orange MintCream MediumSeaGreen LightPink ForestGreen RosyBrown SpringGreen MediumBlue PaleGoldenrod
LightBlue LawnGreen Salmon Khaki Chocolate Maroon Red White MediumVioletRed Moccasin
Gray MediumBlue SlateBlue Sienna Gold RosyBrown LightYellow MediumTurquoise LightSteelBlue LightGoldenrodYellow
DarkBlue Orange BlueViolet Yellow OldLace LemonChiffon Gainsboro Wheat DarkKhaki Tomato
DarkGray HotPink AntiqueWhite MistyRose MediumOrchid MediumAquamarine Bisque White Red MediumSpringGreen
DimGray DarkBlue DarkCyan Orchid DarkKhaki Chartreuse Turquoise LightSteelBlue DarkOrchid DarkOrchid
LightGreen DarkCyan White Aquamarine OrangeRed Goldenrod Plum MediumOrchid DodgerBlue DarkGreen
OrangeRed OldLace Linen Tan Moccasin SteelBlue Seashell DarkOrchid Teal Linen
BinaryNumber_1000100 BinaryNumber_1000111 BinaryNumber_1010011 BinaryNumber_1011001 BinaryNumber_0000100 BinaryNumber_1010100 BinaryNumber_1010100 BinaryNumber_0001011 BinaryNumber_1011011 BinaryNumber_1000101
BinaryNumber_1011110 BinaryNumber_0111110 BinaryNumber_1011000 BinaryNumber_0101100 BinaryNumber_1001000 BinaryNumber_1011101 BinaryNumber_0011001 BinaryNumber_1010101 BinaryNumber_0110100 BinaryNumber_1000100
BinaryNumber_0111001 BinaryNumber_1010100 BinaryNumber_1011001 BinaryNumber_1001011 BinaryNumber_0110010 BinaryNumber_0100010 BinaryNumber_1000110 BinaryNumber_0111111 BinaryNumber_0111110 BinaryNumber_0100100
BinaryNumber_0000101 BinaryNumber_0100001 BinaryNumber_1011000 BinaryNumber_0010101 BinaryNumber_1011111 BinaryNumber_0001001 BinaryNumber_1100010 BinaryNumber_0011001 BinaryNumber_1011010 BinaryNumber_1001010
BinaryNumber_0111001 BinaryNumber_0000001 BinaryNumber_1010011 BinaryNumber_1000011 BinaryNumber_0000011 BinaryNumber_0101001 BinaryNumber_0010100 BinaryNumber_1000101 BinaryNumber_0110000 BinaryNumber_0000100
BinaryNumber_1000101 BinaryNumber_1001110 BinaryNumber_0010000 BinaryNumber_1100010 BinaryNumber_0110111 BinaryNumber_0001101 BinaryNumber_0000000 BinaryNumber_1001100 BinaryNumber_0101100 BinaryNumber_0011011
BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_1000010 BinaryNumber_1011010 BinaryNumber_0100011 BinaryNumber_1001111 BinaryNumber_0110010 BinaryNumber_0100111 BinaryNumber_0000100 BinaryNumber_1001111
