Peach Bilberry Nectarine Honeyberry Pawpaw Pomelo Honeydew Marionberry Cherry Rambutan 
Guava Melon Tamarind Loganberry Kiwano Akebi Pawpaw Breadfruit Pomelo Apple
Currant Feijoa Lychee Papaya Redcurrant Mango Araza Cempedak Damson Cashew
Tangelo Cantaloupe Acerola Breadfruit Watermelon Ximenia Canistel Kumquat Pineberry Damson
Pomelo Pomegranate Mangosteen Blackcurrant Longan Açaí Guava Clementine Tayberry Plumcot
Jostaberry Kiwano Papaya Salak Mandarine Gooseberry Loganberry Abiu Tayberry Loquat
Satsuma Banana Grape Papaya Guava Prune Plumcot Passionfruit Currant Quince
Marionberry Tamarind Ackee Nance Loquat Jambul Raspberry Longan Boysenberry Soursop
Jostaberry Satsuma Loquat Nance Cherimoya Grapefruit Watermelon Cantaloupe Prune Jostaberry
Jackfruit Plum Soursop Durian Grapefruit Mulberry Kiwifruit Peach Tangerine Canistel
Nance Damson Acerola Cempedak Elderberry Sapote Plum Peach Tangerine Yuzu
BinaryNumber_1010011 BinaryNumber_1001001 BinaryNumber_0110110 BinaryNumber_0101011 BinaryNumber_0111000 BinaryNumber_0000110 BinaryNumber_0010001 BinaryNumber_0000111 BinaryNumber_0011110 BinaryNumber_0110110
BinaryNumber_1000010 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_1010110 BinaryNumber_0010101 BinaryNumber_1001000 BinaryNumber_0010001 BinaryNumber_1001000 BinaryNumber_1001000 BinaryNumber_1010110
BinaryNumber_0010100 BinaryNumber_0111011 BinaryNumber_0001010 BinaryNumber_1001100 BinaryNumber_0100001 BinaryNumber_1010010 BinaryNumber_0000110 BinaryNumber_1010100 BinaryNumber_0010100 BinaryNumber_0101000
BinaryNumber_0010011 BinaryNumber_0110100 BinaryNumber_0100100 BinaryNumber_1001111 BinaryNumber_0111111 BinaryNumber_1010001 BinaryNumber_0101011 BinaryNumber_0010000 BinaryNumber_1011111 BinaryNumber_1011110
BinaryNumber_0000000 BinaryNumber_1001111 BinaryNumber_0101101 BinaryNumber_0100100 BinaryNumber_1001101 BinaryNumber_0011110 BinaryNumber_0001101 BinaryNumber_0000001 BinaryNumber_1001110 BinaryNumber_1011011
BinaryNumber_1000000 BinaryNumber_0001111 BinaryNumber_0110001 BinaryNumber_0111101 BinaryNumber_1000111 BinaryNumber_0110011 BinaryNumber_1000000 BinaryNumber_1011100 BinaryNumber_0000010 BinaryNumber_0010101
BinaryNumber_0101000 BinaryNumber_0000010 BinaryNumber_0011000 BinaryNumber_0010110 BinaryNumber_0110111 BinaryNumber_1010100 BinaryNumber_0101101 BinaryNumber_0001111 BinaryNumber_1010101 BinaryNumber_0011001
BinaryNumber_0100101 BinaryNumber_0100011 BinaryNumber_0000010 BinaryNumber_1100011 BinaryNumber_1001101 BinaryNumber_1000100 BinaryNumber_0110011 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_1000110
BinaryNumber_1000001 BinaryNumber_1001011 BinaryNumber_0010111 BinaryNumber_0001001 BinaryNumber_0011010 BinaryNumber_1000111 BinaryNumber_0000111 BinaryNumber_1011100 BinaryNumber_0010011 BinaryNumber_1100001
BinaryNumber_1001011 BinaryNumber_1000101 BinaryNumber_0010110 BinaryNumber_1010100 BinaryNumber_0011010 BinaryNumber_0011011 BinaryNumber_0000101 BinaryNumber_1010110 BinaryNumber_1100011 BinaryNumber_1010101
