SandyBrown Navy Linen PapayaWhip LightCyan MediumBlue PeachPuff PowderBlue Snow Tan
DarkCyan VioletRed Thistle CadetBlue LightCoral PaleGreen Violet HotPink MintCream DodgerBlue
White PapayaWhip Moccasin MidnightBlue Lime LimeGreen Black Salmon Fuchsia Gainsboro
LawnGreen SaddleBrown DarkKhaki Coral Gainsboro AliceBlue RosyBrown Khaki Tan Khaki
Thistle PowderBlue LimeGreen Chartreuse Seashell LightGreen Salmon Yellow FloralWhite MediumOrchid
Azure AliceBlue Bisque DarkViolet DarkSeaGreen DarkGreen LightGray RoyalBlue NavajoWhite White
Brown Burlywood MediumAquamarine NavajoWhite Crimson MistyRose LightPink GhostWhite WhiteSmoke SlateGray
PeachPuff Teal Violet Pink Ivory Turquoise Coral Crimson AntiqueWhite IndianRed
Peru LightBlue LightSeaGreen DeepSkyBlue DarkGray SlateBlue Firebrick White LimeGreen DarkFuchsia
Crimson LightSkyBlue MediumOrchid RoyalBlue LightSlateGray Black Sienna DodgerBlue LightGreen DarkFuchsia
Feldspar DarkKhaki White AliceBlue Tomato MediumVioletRed Lime LightCoral Sienna WhiteSmoke
BinaryNumber_0111111 BinaryNumber_1011010 BinaryNumber_1011110 BinaryNumber_1001110 BinaryNumber_1000110 BinaryNumber_0000011 BinaryNumber_0110111 BinaryNumber_1001010 BinaryNumber_1000111 BinaryNumber_1001101
BinaryNumber_0001000 BinaryNumber_1001110 BinaryNumber_1000010 BinaryNumber_1000000 BinaryNumber_0000010 BinaryNumber_1100011 BinaryNumber_0101111 BinaryNumber_0110111 BinaryNumber_0100110 BinaryNumber_1001100
BinaryNumber_0011010 BinaryNumber_0010111 BinaryNumber_1100000 BinaryNumber_1010101 BinaryNumber_1010001 BinaryNumber_1001110 BinaryNumber_1011001 BinaryNumber_1000010 BinaryNumber_0101010 BinaryNumber_0110011
BinaryNumber_0100010 BinaryNumber_0000100 BinaryNumber_0101010 BinaryNumber_0101001 BinaryNumber_1001011 BinaryNumber_0101110 BinaryNumber_0111010 BinaryNumber_0000000 BinaryNumber_0101100 BinaryNumber_0100110
BinaryNumber_1000100 BinaryNumber_0000110 BinaryNumber_0101011 BinaryNumber_0010001 BinaryNumber_0100100 BinaryNumber_1010111 BinaryNumber_1010011 BinaryNumber_0001000 BinaryNumber_0101010 BinaryNumber_0110000
BinaryNumber_0010111 BinaryNumber_0101101 BinaryNumber_0000011 BinaryNumber_0101110 BinaryNumber_0111101 BinaryNumber_0100101 BinaryNumber_1001100 BinaryNumber_0000111 BinaryNumber_0110101 BinaryNumber_1011011
BinaryNumber_0000110 BinaryNumber_1000100 BinaryNumber_1000100 BinaryNumber_0100101 BinaryNumber_1000100 BinaryNumber_1011111 BinaryNumber_1001110 BinaryNumber_1011101 BinaryNumber_0001101 BinaryNumber_0101111
BinaryNumber_0011100 BinaryNumber_1100000 BinaryNumber_0111010 BinaryNumber_1000101 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_1100011 BinaryNumber_0001101 BinaryNumber_0000000 BinaryNumber_1100000
BinaryNumber_1000001 BinaryNumber_0100010 BinaryNumber_0001010 BinaryNumber_0010101 BinaryNumber_0000111 BinaryNumber_0100110 BinaryNumber_0101001 BinaryNumber_0110010 BinaryNumber_0100111 BinaryNumber_0100001
