MidnightBlue LavenderBlush LightGoldenrodYellow Silver OldLace Snow VioletRed DeepPink LightYellow MediumOrchid
DarkOrchid Brown MediumTurquoise MediumSpringGreen Navy Gold MediumSeaGreen MediumSpringGreen LavenderBlush Maroon
BlueViolet LightSlateBlue Firebrick MediumTurquoise Gold DarkGray HotPink Orchid PaleGreen DarkGreen
PaleGoldenrod Thistle DeepSkyBlue Lavender OliveDrab SlateGray MediumSlateBlue Gainsboro DarkOrchid DarkOliveGreen
Peru Pink PaleGreen Pink Silver PaleTurquoise SlateGray Goldenrod MediumPurple DarkViolet
CornflowerBlue DarkTurquoise LightSeaGreen Green Red SkyBlue DarkRed CadetBlue AliceBlue FloralWhite
BlueViolet DarkGray LightSlateGray GreenYellow MediumTurquoise Azure DodgerBlue LightBlue LightSkyBlue LightGray
Blue LightGoldenrodYellow AntiqueWhite Black DarkSalmon PeachPuff SlateGray LightSlateBlue HotPink Bisque
Sienna DarkBlue Burlywood Violet Silver Peru DarkSlateGray Pink Coral Goldenrod
SeaGreen Crimson Chocolate Firebrick LawnGreen Moccasin PeachPuff PowderBlue LightCyan PaleGoldenrod
Snow Pink DarkOrchid Orchid Thistle SkyBlue Goldenrod Moccasin BlueViolet Cornsilk
Brain Pharynx Veins Tendons Ganglia Rectum Pancreas Tastebuds Lips Vulva
Ureter Duodenum Rectum Interstitium Mesentery Mouth Ear skeleton Stomach Fallopiantubes
Ovaries Bladder Rectum Uterus Spleen Scrotum Brain Cerebrum Teeth Pons
Tonsils Arteries Mesentery Mouth Mesentery Gallbladder Ureter Middleear Lens Eardrum
Eye Middleear Teeth Spinalnerves Larynx Ciliarybody Thalamus Mouth Joints Ileum
Ovaries Cornea Placenta Uterus Placenta Cervix Innerear Muscle Spleen Larynx
Jejunum Heart Fallopiantubes Duodenum Cerebrum Muscle Thalamus Trachea Smallintestine Larynx
Lymphaticvessel Jejunum Capillaries Interstitium Bladder Lips Nerves Earlobe Middleear Sensoryorgans
Tastebuds Cerebrum Tongue Veins skeleton Uterus Tongue Middleear Ossicles Cochlea
Tastebuds Ganglia Largeintestine Smallintestine Ossicles Analcanal Tastebuds Kidneys Arteries Nerves
Mesentery Spleen Eardrum Ossicles Duodenum Gallbladder Gallbladder Tastebuds Earlobe Stomach
weary relieved proud energetic nervous alert cautious exuberant impossible open
dead impossible kind shy unsightly confused worrisome dead hilarious brave
outrageous inexpensive nutty busy amused colorful colorful inexpensive famous long
gifted grumpy obnoxious clean nervous tame tough healthy combative uninterested
