LawnGreen Yellow PowderBlue Coral SteelBlue SpringGreen LightPink Linen DarkRed DeepPink
IndianRed Aquamarine DeepSkyBlue LightGoldenrodYellow DarkGoldenrod Lime LightSlateGray MediumSeaGreen SeaGreen LightSeaGreen
Wheat ForestGreen Coral Bisque Crimson LightGoldenrod LightBlue SeaGreen LavenderBlush MintCream
DarkFuchsia Chartreuse Cornsilk LightSlateGray OrangeRed PeachPuff OrangeRed LightSalmon MediumOrchid DarkGoldenrod
CornflowerBlue LightGray Snow LemonChiffon DarkBlue Crimson Chocolate Beige Green LightSkyBlue
FloralWhite Salmon Peru DeepSkyBlue DarkSlateBlue Salmon Tomato DarkSalmon Ivory DarkOliveGreen
CadetBlue LightYellow Moccasin Olive MediumSeaGreen Maroon DeepPink Purple MediumTurquoise Azure
Peru Aquamarine Snow Navy Red DarkViolet LightSkyBlue MediumTurquoise Cyan LightCoral
BlueViolet LimeGreen DarkCyan Chocolate Seashell DodgerBlue Seashell LightSalmon MintCream Cyan
Silver DarkGreen FloralWhite Aquamarine MediumAquamarine Honeydew AliceBlue LightSalmon GhostWhite PowderBlue
PowderBlue Crimson Chartreuse MistyRose Brown MintCream LightBlue DarkFuchsia DarkOrchid OliveDrab
20:17 15:42 10:44 11:35 20:46 16:55 11:57 14:31 20:42 19:52
12:27 14:12 23:48 22:36 13:55 15:38 19:41 10:10 21:33 11:42
11:44 10:55 11:29 23:34 14:57 17:57 17:27 13:44 10:45 20:55
22:29 10:21 19:26 16:39 16:55 11:32 16:20 17:46 19:18 20:17
11:25 23:16 19:33 15:58 20:57 21:59 23:10 10:21 21:15 20:37
18:12 17:47 22:10 22:54 16:30 22:23 16:21 12:56 22:28 16:58
14:18 20:17 20:44 10:51 22:35 15:11 18:44 16:44 14:49 18:41
11:10 21:22 13:30 13:21 17:37 22:46 19:39 19:46 23:10 12:10
11:21 19:17 16:35 10:12 12:14 16:26 15:41 10:57 23:47 14:27
19:16 19:50 13:20 19:27 21:41 20:21 11:15 22:26 18:58 14:18
19:20 16:10 22:53 11:26 10:38 10:42 19:43 20:42 13:49 12:46
Cecum Urethra Midbrain Lips Cornea Rectum Tonsils Cervix Rectum Cerebrum
Ileum Ear Nerves Analcanal Muscle Kidneys Tongue Heart Trachea Cecum
Tongue Liver Gallbladder Uterus Hypothalamus Bone  Bronchi Lungs Bladder Lens
