DarkGoldenrod LightGoldenrod DodgerBlue Lime MediumSlateBlue RosyBrown BlueViolet MintCream Chartreuse PeachPuff
Gold Moccasin LightGoldenrodYellow DarkRed DarkTurquoise Goldenrod SlateBlue DarkCyan Firebrick DarkSalmon
DarkSalmon Plum Coral Black LightGoldenrod Navy Violet LemonChiffon Thistle Violet
MediumOrchid DarkOliveGreen MidnightBlue DarkGoldenrod Indigo DarkCyan DarkKhaki DarkTurquoise MediumSeaGreen LightSkyBlue
Feldspar SkyBlue DarkSlateBlue MediumOrchid MediumSpringGreen LightSkyBlue PaleTurquoise SkyBlue LightSkyBlue LightCyan
Orchid Indigo Turquoise Violet Fuchsia Yellow FloralWhite Green Olive LightCoral
DarkSeaGreen LightGray LightGoldenrod Red MediumPurple Pink Yellow GhostWhite DarkBlue LavenderBlush
MistyRose Orange Sienna LightGoldenrodYellow Silver Gold MediumVioletRed LimeGreen DeepPink DarkOrchid
DarkSlateBlue Cyan PapayaWhip AliceBlue DarkTurquoise DarkGreen MediumBlue LightCyan IndianRed Tomato
Turquoise Ivory MintCream Maroon Peru SaddleBrown DarkSlateGray Salmon MintCream Aquamarine
LightGray RosyBrown DimGray SlateGray BlanchedAlmond Gainsboro RoyalBlue SlateGray MediumPurple PaleVioletRed
CubeNumber_54872 CubeNumber_5832 CubeNumber_1331 CubeNumber_35937 CubeNumber_54872 CubeNumber_32768 CubeNumber_166375 CubeNumber_3375 CubeNumber_1331 CubeNumber_804357
CubeNumber_24389 CubeNumber_830584 CubeNumber_46656 CubeNumber_21952 CubeNumber_15625 CubeNumber_205379 CubeNumber_13824 CubeNumber_8 CubeNumber_27000 CubeNumber_35937
CubeNumber_250047 CubeNumber_857375 CubeNumber_4913 CubeNumber_373248 CubeNumber_328509 CubeNumber_24389 CubeNumber_15625 CubeNumber_5832 CubeNumber_343 CubeNumber_328509
CubeNumber_551368 CubeNumber_157464 CubeNumber_140608 CubeNumber_343000 CubeNumber_592704 CubeNumber_405224 CubeNumber_328509 CubeNumber_15625 CubeNumber_39304 CubeNumber_287496
CubeNumber_15625 CubeNumber_216000 CubeNumber_1331 CubeNumber_474552 CubeNumber_804357 CubeNumber_46656 CubeNumber_226981 CubeNumber_804357 CubeNumber_54872 CubeNumber_21952
CubeNumber_373248 CubeNumber_39304 CubeNumber_35937 CubeNumber_405224 CubeNumber_274625 CubeNumber_125 CubeNumber_531441 CubeNumber_6859 CubeNumber_35937 CubeNumber_4913
CubeNumber_59319 CubeNumber_64000 CubeNumber_46656 CubeNumber_64 CubeNumber_85184 CubeNumber_10648 CubeNumber_9261 CubeNumber_10648 CubeNumber_6859 CubeNumber_8
CubeNumber_35937 CubeNumber_274625 CubeNumber_27000 CubeNumber_85184 CubeNumber_74088 CubeNumber_658503 CubeNumber_216 CubeNumber_91125 CubeNumber_314432 CubeNumber_238328
CubeNumber_343 CubeNumber_46656 CubeNumber_704969 CubeNumber_157464 CubeNumber_19683 CubeNumber_166375 CubeNumber_125000 CubeNumber_512 CubeNumber_753571 CubeNumber_3375
CubeNumber_24389 CubeNumber_438976 CubeNumber_59319 CubeNumber_250047 CubeNumber_1000 CubeNumber_103823 CubeNumber_512000 CubeNumber_658503 CubeNumber_614125 CubeNumber_551368
CubeNumber_24389 CubeNumber_636056 CubeNumber_941192 CubeNumber_531441 CubeNumber_531441 CubeNumber_857375 CubeNumber_39304 CubeNumber_50653 CubeNumber_512 CubeNumber_64000
temperature__23c temperature__8c temperature__69c temperature__137c temperature__78c temperature__78c temperature__79c temperature__74c temperature__54c temperature__105c
temperature__27c temperature__137c temperature__42c temperature__140c temperature__100c temperature__64c temperature__71c temperature__47c temperature__119c temperature__140c
temperature__56c temperature__84c temperature__23c temperature__12c temperature__8c temperature__31c temperature__87c temperature__77c temperature__42c temperature__147c
temperature__78c temperature__84c temperature__7c temperature__33c temperature__100c temperature__122c temperature__105c temperature__27c temperature__116c temperature__6c
temperature__106c temperature__85c temperature__2c temperature__105c temperature__111c temperature__44c temperature__47c temperature__82c temperature__92c temperature__123c
temperature__12c temperature__71c temperature__98c temperature__108c temperature__142c temperature__51c temperature__31c temperature__35c temperature__7c temperature__65c
temperature__53c temperature__68c temperature__27c temperature__56c temperature__78c temperature__147c temperature__130c temperature__74c temperature__78c temperature__35c
