Marionberry Soursop Blueberry Honeydew Kumquat Ximenia Nance Cranberry Grapefruit Mangosteen
Salmonberry Mango Honeydew Yuzu Kiwifruit Gooseberry Ximenia Grape Cloudberry Pineapple
Plantain Pineapple Orange Cantaloupe Loganberry Marionberry Tangerine Cloudberry Mulberry Papaya
Lychee Passionfruit Gooseberry Satsuma Pineapple Tangerine Coconut Jostaberry Sapodilla Lulo
Raisin Yuzu Açaí Orange Blackberry Papaya Pear Blueberry Satsuma Cempedak
Date Kumquat Acerola Loganberry Watermelon Acerola Strawberry Apple Cloudberry Banana
Lychee Yuzu Breadfruit Blackcurrant Prune Acerola Passionfruit Soursop Pomelo Papaya
Persimmon Loquat Blackcurrant Nance Durian Redcurrant Pomelo Lime Jujube Blackberry
Longan Currant Peach Tangerine Date Soursop Araza Tangerine Mulberry Redcurrant
Ackee Mandarine Damson Mango Persimmon Guava Blackberry Plum Canistel Tangelo
Avocado Feijoa Plumcot Fig Blackcurrant Loganberry Date Pawpaw Tayberry Rambutan 
BinaryNumber_0010110 BinaryNumber_0010111 BinaryNumber_0111011 BinaryNumber_0010011 BinaryNumber_0101100 BinaryNumber_0101010 BinaryNumber_0001010 BinaryNumber_0110100 BinaryNumber_1011111 BinaryNumber_0010101
BinaryNumber_1011011 BinaryNumber_0111111 BinaryNumber_0100101 BinaryNumber_1011101 BinaryNumber_1010100 BinaryNumber_1010101 BinaryNumber_0101011 BinaryNumber_0011100 BinaryNumber_0101111 BinaryNumber_0111000
BinaryNumber_1010100 BinaryNumber_1001001 BinaryNumber_0011110 BinaryNumber_0101011 BinaryNumber_1011001 BinaryNumber_1011101 BinaryNumber_1001010 BinaryNumber_0011011 BinaryNumber_0110110 BinaryNumber_1011000
BinaryNumber_0111000 BinaryNumber_0110001 BinaryNumber_0110100 BinaryNumber_1000111 BinaryNumber_0000001 BinaryNumber_0011000 BinaryNumber_0101100 BinaryNumber_0010101 BinaryNumber_0010110 BinaryNumber_0000110
BinaryNumber_0011011 BinaryNumber_1010011 BinaryNumber_0001010 BinaryNumber_0001110 BinaryNumber_0101110 BinaryNumber_0000100 BinaryNumber_0101110 BinaryNumber_1100000 BinaryNumber_0100000 BinaryNumber_1001101
