SteelBlue DarkSlateBlue PaleGreen Brown SlateBlue Plum MidnightBlue MediumAquamarine Ivory Salmon
Purple DarkGoldenrod Violet FloralWhite IndianRed MediumTurquoise Lavender Lime NavajoWhite Bisque
Maroon PowderBlue DarkViolet Firebrick LightSkyBlue Gray OrangeRed BlanchedAlmond Goldenrod BlueViolet
Aquamarine IndianRed BlueViolet RoyalBlue DarkOliveGreen LavenderBlush DarkSalmon Beige DarkSeaGreen White
Peru PaleVioletRed DodgerBlue Gray WhiteSmoke DarkSalmon IndianRed LavenderBlush LightCyan Sienna
LightGreen LemonChiffon LightSlateBlue Sienna Black PaleVioletRed Navy DarkCyan Tomato LightSlateGray
MediumOrchid LightGray DarkSeaGreen DarkOliveGreen Plum DarkSlateBlue LightSalmon RosyBrown IndianRed BlanchedAlmond
Snow Indigo MediumVioletRed DarkTurquoise Ivory AliceBlue DarkSlateBlue LightSteelBlue Brown Plum
MediumPurple Burlywood WhiteSmoke DeepSkyBlue AliceBlue LightSlateGray Turquoise HotPink Turquoise DarkGoldenrod
SpringGreen DarkKhaki DarkCyan OliveDrab GreenYellow LightCoral PaleGreen DarkRed Gold Goldenrod
LavenderBlush OrangeRed DarkOrange SpringGreen CornflowerBlue LightPink LightGray Green MediumSlateBlue Plum
sushi seafood cheese seafood restaurant meal nutrition nutrient cereal cooking
cheese plant edible provender eat meat cheese plant drinks beef
cereal milk meal vegetable plant cereal restaurant rice pasta rice
meals meat seafood beef vegetable meal rice provender fruits vegetables provender
nutrition chicken nourishment eat edible nutrient fruit nutrition beef nourishment
nutrition nutrition plant beef animal milk nutrient vegetable soup pasta
edible nutrition seafood milk meal pasta meat animal chicken fruits vegetables
animal victuals meat cheese edible sushi animal meals soup sushi
milk victuals fruits vegetables plant cooking nutrient meat edible vegetable animal
provender restaurant cooking fruits vegetables beef pasta fruit pasta restaurant cereal
restaurant soup drinks plant milk plant meals cereal seafood meat
structuralism prison dark mystery felony robbery threats murders statutory noir
arrest racism hijack pirate structuralism felony crisis muggings homeless homelessness
corruption political imprisonment mutilation bloodshed fraud dark thriller misdemeanor skyjack
mob corruption serial spy gangs cases offence punitive prostitution murder
arrest highjack murders corrupt trafficking threats justice assault heist gangs
barratry genocide slayings heist shoplift theft conspiracy arrest criminals homicides
cybercrime crisis story homelessness shootings forensic arrest death mob law-breaking
prostitution conspiracy misdemeanour guilty statutory mystery corrupt criminal guilt barratry
poison jurisdiction investigation prostitution government corruption legal sin corruption drug
serial tort punishment massacre arrest prison barratry prostitution liberty justice
criminality mystery incarceration tort homicides arsons homeless thrillers gangsterism slay
BinaryNumber_0010100 BinaryNumber_1000010 BinaryNumber_0010110 BinaryNumber_1100001 BinaryNumber_0010001 BinaryNumber_1000111 BinaryNumber_1011111 BinaryNumber_1010100 BinaryNumber_1011100 BinaryNumber_1011001
BinaryNumber_0010000 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_1001100 BinaryNumber_0111011 BinaryNumber_1000001 BinaryNumber_0000000 BinaryNumber_0011100 BinaryNumber_0101110 BinaryNumber_1100001
BinaryNumber_1010101 BinaryNumber_0001011 BinaryNumber_0011111 BinaryNumber_1000101 BinaryNumber_1011000 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0001011 BinaryNumber_0100110 BinaryNumber_0010001
BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_0100110 BinaryNumber_0001110 BinaryNumber_1001111 BinaryNumber_1010001 BinaryNumber_0000000 BinaryNumber_0010110 BinaryNumber_0101010 BinaryNumber_0100100
BinaryNumber_0011011 BinaryNumber_1010110 BinaryNumber_0110010 BinaryNumber_1001111 BinaryNumber_1011100 BinaryNumber_1010011 BinaryNumber_1011101 BinaryNumber_0111001 BinaryNumber_1001100 BinaryNumber_1010101
BinaryNumber_1011010 BinaryNumber_0110000 BinaryNumber_1011111 BinaryNumber_1000101 BinaryNumber_0111100 BinaryNumber_1000011 BinaryNumber_1001110 BinaryNumber_1010001 BinaryNumber_1011000 BinaryNumber_0111001
BinaryNumber_1100010 BinaryNumber_1011000 BinaryNumber_0000101 BinaryNumber_1011010 BinaryNumber_0100010 BinaryNumber_0011010 BinaryNumber_0001010 BinaryNumber_1001001 BinaryNumber_1100011 BinaryNumber_0011101
BinaryNumber_0011011 BinaryNumber_1100001 BinaryNumber_0000110 BinaryNumber_0001001 BinaryNumber_1010100 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0110001 BinaryNumber_1000111 BinaryNumber_1000000
BinaryNumber_1001110 BinaryNumber_1011010 BinaryNumber_0100110 BinaryNumber_0100111 BinaryNumber_0100101 BinaryNumber_1000011 BinaryNumber_0011000 BinaryNumber_0110010 BinaryNumber_0100100 BinaryNumber_0101110
BinaryNumber_0111000 BinaryNumber_0000010 BinaryNumber_0101001 BinaryNumber_0110110 BinaryNumber_0010010 BinaryNumber_1010111 BinaryNumber_0110001 BinaryNumber_1001010 BinaryNumber_0111110 BinaryNumber_1011100
BinaryNumber_0010010 BinaryNumber_0001100 BinaryNumber_0010111 BinaryNumber_0010011 BinaryNumber_1001110 BinaryNumber_1001110 BinaryNumber_0001001 BinaryNumber_0101101 BinaryNumber_1000110 BinaryNumber_1011001
temperature__122c temperature__30c temperature__106c temperature__78c temperature__52c temperature__61c temperature__123c temperature__56c temperature__24c temperature__35c
temperature__50c temperature__17c temperature__100c temperature__118c temperature__44c temperature__144c temperature__109c temperature__65c temperature__70c temperature__136c
