IndianRed MediumBlue Violet LightGoldenrodYellow SlateGray DarkRed LavenderBlush PaleGreen Wheat SlateBlue
Goldenrod Snow LawnGreen SlateBlue Green RosyBrown Teal PaleVioletRed DimGray Sienna
SteelBlue Teal SteelBlue White MediumOrchid DarkGoldenrod SlateGray MidnightBlue Salmon Chartreuse
RosyBrown AliceBlue Thistle White Wheat DarkSalmon Plum LightSeaGreen DarkFuchsia Goldenrod
MediumBlue PapayaWhip MediumVioletRed LightCoral RosyBrown Beige ForestGreen Chartreuse LightSalmon NavajoWhite
MintCream DodgerBlue DarkGreen Salmon PaleGoldenrod RosyBrown Tan Red MediumTurquoise DarkCyan
SandyBrown FloralWhite Burlywood Yellow Moccasin MediumAquamarine NavajoWhite Cyan Lime LightSlateGray
PapayaWhip MediumSeaGreen SeaGreen DarkOliveGreen Aquamarine SkyBlue Green LightGreen DarkGreen MintCream
MistyRose MistyRose DarkOrchid SaddleBrown DarkViolet SandyBrown Cornsilk LavenderBlush DarkFuchsia RoyalBlue
LightBlue LavenderBlush MediumAquamarine Khaki Wheat Thistle DarkGray LightPink NavajoWhite Seashell
DarkBlue Brown Cyan Gainsboro MediumPurple Coral HotPink IndianRed LimeGreen LimeGreen
temperature__98c temperature__108c temperature__87c temperature__148c temperature__14c temperature__116c temperature__85c temperature__34c temperature__136c temperature__122c
temperature__46c temperature__120c temperature__2c temperature__116c temperature__14c temperature__36c temperature__106c temperature__122c temperature__65c temperature__57c
temperature__87c temperature__126c temperature__56c temperature__122c temperature__21c temperature__49c temperature__73c temperature__88c temperature__129c temperature__140c
temperature__3c temperature__132c temperature__88c temperature__26c temperature__28c temperature__65c temperature__33c temperature__139c temperature__17c temperature__31c
temperature__24c temperature__70c temperature__4c temperature__132c temperature__112c temperature__57c temperature__71c temperature__34c temperature__100c temperature__93c
temperature__14c temperature__108c temperature__0c temperature__124c temperature__120c temperature__119c temperature__2c temperature__142c temperature__8c temperature__58c
