Satsuma Plum Canistel Mangosteen Honeydew Apple Acerola Ackee Tangelo Rambutan 
Mulberry Melon Banana Plantain Grapefruit Boysenberry Mulberry Melon Lime Acerola
Persimmon Cloudberry Salmonberry Avocado Elderberry Prune Prune Tamarillo Loganberry Bilberry
Durian Sapote Cherimoya Soursop Cashew Mulberry Jujube Pineberry Salak Pomegranate
Pear Damson Peach Nectarine Plum Date Cempedak Apricot Nectarine Breadfruit
Honeydew Cranberry Banana Guava Grapefruit Quince Honeyberry Ximenia Kiwifruit Jostaberry
Marionberry Salak Honeydew Salak Rambutan  Boysenberry Rambutan  Loquat Prune Orange
Loganberry Elderberry Quince Plum Redcurrant Damson Pomelo Passionfruit Blackberry Cherry
Durian Tamarillo Marionberry Kumquat Jackfruit Nance Cranberry Pomegranate Tamarind Tangelo
Huckleberry Feijoa Longan Huckleberry Fig Mandarine Lychee Honeyberry Huckleberry Sapote
Tangerine Salak Acerola Kumquat Mangosteen Yuzu Honeydew Grape Tamarillo Açaí
temperature__16c temperature__54c temperature__85c temperature__5c temperature__28c temperature__61c temperature__59c temperature__145c temperature__144c temperature__74c
temperature__12c temperature__31c temperature__77c temperature__112c temperature__63c temperature__146c temperature__56c temperature__109c temperature__57c temperature__144c
temperature__124c temperature__33c temperature__138c temperature__14c temperature__93c temperature__52c temperature__46c temperature__105c temperature__46c temperature__131c
temperature__46c temperature__26c temperature__129c temperature__16c temperature__12c temperature__10c temperature__112c temperature__120c temperature__120c temperature__56c
temperature__73c temperature__36c temperature__46c temperature__22c temperature__137c temperature__119c temperature__138c temperature__139c temperature__140c temperature__148c
temperature__54c temperature__142c temperature__132c temperature__126c temperature__17c temperature__33c temperature__8c temperature__44c temperature__120c temperature__50c
temperature__124c temperature__10c temperature__56c temperature__64c temperature__56c temperature__33c temperature__46c temperature__28c temperature__146c temperature__28c
temperature__123c temperature__26c temperature__6c temperature__33c temperature__63c temperature__2c temperature__92c temperature__105c temperature__11c temperature__73c
temperature__119c temperature__147c temperature__145c temperature__5c temperature__59c temperature__16c temperature__139c temperature__139c temperature__116c temperature__44c
temperature__46c temperature__27c temperature__68c temperature__130c temperature__24c temperature__8c temperature__16c temperature__77c temperature__124c temperature__141c
temperature__147c temperature__106c temperature__124c temperature__138c temperature__82c temperature__87c temperature__137c temperature__84c temperature__21c temperature__145c
13:13 16:12 17:52 13:25 10:14 19:34 22:57 18:54 13:10 18:26
14:12 21:45 20:12 22:35 14:29 16:20 18:27 18:48 23:24 19:20
20:17 16:52 14:28 18:50 20:16 22:15 15:17 23:15 16:28 14:43
23:41 16:36 11:37 15:12 22:25 18:35 13:21 21:30 13:29 20:32
14:26 18:23 23:42 15:48 21:48 23:43 20:28 20:34 14:41 16:17
12:44 12:50 23:20 17:21 23:47 17:51 21:18 18:40 10:19 17:44
22:43 16:25 12:41 19:34 11:55 17:30 20:33 15:31 20:10 15:23
13:43 16:45 15:13 23:44 10:54 13:44 17:30 19:11 20:28 17:31
23:46 18:21 20:24 16:48 16:42 14:43 14:57 17:48 17:34 14:46
21:21 11:17 22:34 14:25 15:15 12:56 14:44 17:22 22:23 11:26
21:58 14:43 18:58 12:41 17:26 10:13 14:15 21:23 20:19 23:33
digitalaudioplayer office cell keyboard phone daw machinecode vacuumtube cell electronics
