DarkKhaki Cornsilk DeepSkyBlue Indigo AntiqueWhite DarkViolet DarkGoldenrod SteelBlue Red Violet
OliveDrab Gray SteelBlue PaleGreen Black AntiqueWhite DeepSkyBlue Tomato Moccasin MediumSeaGreen
SteelBlue MediumAquamarine Wheat MediumTurquoise LightGoldenrodYellow LightGreen LightSlateBlue DarkBlue Beige Turquoise
LawnGreen VioletRed Chartreuse SlateBlue MediumPurple Orchid CornflowerBlue Navy LightYellow LightSeaGreen
Yellow Feldspar SpringGreen DarkBlue BlanchedAlmond DodgerBlue Tan MediumAquamarine LightSeaGreen LightSlateBlue
DodgerBlue Brown LightGray PaleGreen Gold DarkGray VioletRed PaleTurquoise NavajoWhite PowderBlue
Olive Indigo Gainsboro OrangeRed PowderBlue LightSeaGreen VioletRed Maroon LightGray LightSlateBlue
PaleTurquoise Navy Khaki DarkOliveGreen Thistle NavajoWhite Orange LightGoldenrod DarkViolet Azure
Black Lime MediumSpringGreen RosyBrown BlanchedAlmond Chartreuse Red SeaGreen Azure DarkRed
Turquoise Gainsboro LightSalmon LightCyan DarkOrange Ivory RoyalBlue PaleGreen MediumSeaGreen Brown
MediumPurple WhiteSmoke Blue DarkSeaGreen WhiteSmoke Bisque GreenYellow LightSlateBlue RoyalBlue Peru
zoo zoology bug mammals frog dinosaur eukaryotic puppy animalkingdom mythical
feline carnivore demon zooplankton clams amphibians exoticanimals dogs darter pet
shelter amphibians epizootic pigs environmental tiger tiger invertebrate fantasy chordate
zoology beast mythical chordate multicellular biped wild pups carnal pig
carnivore bobcat dinosaur insectivore fantasy amphibians raccoon exoticanimals varmint meat
amphibians invertebrate varmint insectivore superdog embryo multicellular eukaryotic predatoryanimal heterotroph
creature mammal multicellular dinosaur varmint fleshly insect environmental demon meat
animalia carnal heterotroph wildlife animal welfare plant bobcat bird epizootic monster
insects dinosaur chickens fantasy thoroughbred jellyfish bug animal welfare frog raccoon
animalia zooplankton pitbull jellyfish ladybug deer llamas octopuses fantasy bobcat
