Quince Pomelo Marionberry Honeydew Feijoa Cherimoya Ximenia Kiwifruit Currant Redcurrant
Jackfruit Boysenberry Coconut Grapefruit Cherimoya Jostaberry Melon Mango Loganberry Salak
Lulo Cherry Soursop Satsuma Soursop Fig Pomegranate Strawberry Apple Fig
Jambul Mandarine Pineapple Banana Kiwifruit Coconut Longan Clementine Canistel Jackfruit
Cantaloupe Coconut Tamarind Gooseberry Date Boysenberry Abiu Araza Coconut Orange
Ackee Cashew Mango Feijoa Honeydew Acerola Salak Damson Bilberry Tangelo
Papaya Sapodilla Canistel Watermelon Kiwano Tangerine Apricot Kiwano Longan Pear
Gooseberry Kiwifruit Plum Kiwano Mangosteen Raspberry Avocado Plum Apricot Breadfruit
Lime Redcurrant Lime Apricot Nectarine Orange Breadfruit Cherry Cloudberry Peach
Jambul Lemon Pomelo Rambutan  Cherry Apple Redcurrant Guava Tamarind Watermelon
Watermelon Yuzu Pineapple Tangelo Cherry Araza Orange Grapefruit Fig Cherimoya
BinaryNumber_0011111 BinaryNumber_0110101 BinaryNumber_0101100 BinaryNumber_1001001 BinaryNumber_0110100 BinaryNumber_1011001 BinaryNumber_0101111 BinaryNumber_0110110 BinaryNumber_0100100 BinaryNumber_0100010
BinaryNumber_1010111 BinaryNumber_0101001 BinaryNumber_0001101 BinaryNumber_0100101 BinaryNumber_0010101 BinaryNumber_1010111 BinaryNumber_0111011 BinaryNumber_1000110 BinaryNumber_0010111 BinaryNumber_0001011
BinaryNumber_1011010 BinaryNumber_0101010 BinaryNumber_0000100 BinaryNumber_1011011 BinaryNumber_1011100 BinaryNumber_0001010 BinaryNumber_0101101 BinaryNumber_0100101 BinaryNumber_0001111 BinaryNumber_1010010
BinaryNumber_0000111 BinaryNumber_1010100 BinaryNumber_0110110 BinaryNumber_1010100 BinaryNumber_0010001 BinaryNumber_1000010 BinaryNumber_0001010 BinaryNumber_0111011 BinaryNumber_1001000 BinaryNumber_1000011
BinaryNumber_0110110 BinaryNumber_0011010 BinaryNumber_0101001 BinaryNumber_0101111 BinaryNumber_0000011 BinaryNumber_1000101 BinaryNumber_0110011 BinaryNumber_1000101 BinaryNumber_1001011 BinaryNumber_0100010
BinaryNumber_0100111 BinaryNumber_0110010 BinaryNumber_0110110 BinaryNumber_0001011 BinaryNumber_0110100 BinaryNumber_1010100 BinaryNumber_0011111 BinaryNumber_0001111 BinaryNumber_0101010 BinaryNumber_0111001
BinaryNumber_0101001 BinaryNumber_0110010 BinaryNumber_0001001 BinaryNumber_0101110 BinaryNumber_1001101 BinaryNumber_0001111 BinaryNumber_0100001 BinaryNumber_0001111 BinaryNumber_0110101 BinaryNumber_1010101
BinaryNumber_0111001 BinaryNumber_0111110 BinaryNumber_1011001 BinaryNumber_0000111 BinaryNumber_1011100 BinaryNumber_0110000 BinaryNumber_0000101 BinaryNumber_0100011 BinaryNumber_0011011 BinaryNumber_1000110
