temperature__145c temperature__98c temperature__28c temperature__106c temperature__144c temperature__68c temperature__111c temperature__22c temperature__119c temperature__120c
temperature__30c temperature__2c temperature__122c temperature__2c temperature__78c temperature__95c temperature__16c temperature__122c temperature__56c temperature__57c
temperature__3c temperature__126c temperature__71c temperature__46c temperature__131c temperature__28c temperature__22c temperature__148c temperature__11c temperature__8c
temperature__124c temperature__145c temperature__86c temperature__49c temperature__53c temperature__65c temperature__148c temperature__85c temperature__49c temperature__33c
temperature__14c temperature__34c temperature__136c temperature__71c temperature__3c temperature__85c temperature__27c temperature__116c temperature__11c temperature__79c
temperature__91c temperature__69c temperature__2c temperature__7c temperature__122c temperature__69c temperature__12c temperature__87c temperature__41c temperature__142c
temperature__74c temperature__4c temperature__88c temperature__74c temperature__4c temperature__112c temperature__41c temperature__8c temperature__47c temperature__136c
temperature__30c temperature__56c temperature__87c temperature__33c temperature__108c temperature__23c temperature__90c temperature__141c temperature__109c temperature__6c
temperature__92c temperature__111c temperature__59c temperature__40c temperature__53c temperature__87c temperature__61c temperature__52c temperature__71c temperature__136c
temperature__42c temperature__56c temperature__2c temperature__137c temperature__58c temperature__145c temperature__65c temperature__33c temperature__144c temperature__95c
temperature__140c temperature__92c temperature__137c temperature__40c temperature__44c temperature__23c temperature__122c temperature__3c temperature__41c temperature__86c
fierce helpless blue-eyed defiant funny dead glorious thankful spotless ugliest
drab blue-eyed doubtful careful fantastic evil curious handsome charming clumsy
tough bewildered cautious clumsy spotless agreeable innocent selfish old-fashioned disgusted
filthy bright super annoying jolly lazy proud nervous jealous distinct
fantastic frantic thoughtless arrogant inexpensive dull grieving stupid gleaming weary
filthy careful annoying black arrogant victorious frail powerful gentle stupid
funny light hilarious lonely adventurous perfect jolly wide-eyed friendly defeated
long handsome fancy enchanting tasty defiant lively nasty determined elegant
stupid annoyed powerful frail fine ill light cheerful annoying joyous
precious modern stormy obnoxious upset worried powerful defiant blue charming
bright arrogant agreeable bored lucky adorable victorious fair difficult scary
BinaryNumber_0000100 BinaryNumber_0000101 BinaryNumber_0001111 BinaryNumber_0001111 BinaryNumber_0001010 BinaryNumber_0110010 BinaryNumber_0001011 BinaryNumber_1011100 BinaryNumber_0100001 BinaryNumber_0001110
BinaryNumber_1100011 BinaryNumber_0101010 BinaryNumber_1001111 BinaryNumber_0011000 BinaryNumber_1001011 BinaryNumber_0010001 BinaryNumber_0111011 BinaryNumber_0110001 BinaryNumber_1001001 BinaryNumber_0011001
BinaryNumber_0010111 BinaryNumber_1011001 BinaryNumber_0100010 BinaryNumber_1010110 BinaryNumber_0111010 BinaryNumber_0001000 BinaryNumber_1100000 BinaryNumber_0100101 BinaryNumber_1011001 BinaryNumber_1000011
BinaryNumber_1010101 BinaryNumber_0000111 BinaryNumber_0001111 BinaryNumber_0101000 BinaryNumber_1011110 BinaryNumber_0011110 BinaryNumber_0100110 BinaryNumber_1011101 BinaryNumber_1011001 BinaryNumber_1011110
BinaryNumber_1000100 BinaryNumber_1011011 BinaryNumber_1001000 BinaryNumber_1000110 BinaryNumber_0000110 BinaryNumber_0010010 BinaryNumber_1001011 BinaryNumber_0010011 BinaryNumber_1011000 BinaryNumber_0000110
BinaryNumber_1011111 BinaryNumber_0110000 BinaryNumber_0001101 BinaryNumber_0110010 BinaryNumber_0000100 BinaryNumber_0101110 BinaryNumber_0010101 BinaryNumber_0000000 BinaryNumber_0011000 BinaryNumber_1010101
BinaryNumber_1011100 BinaryNumber_0010000 BinaryNumber_0101001 BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_1010010 BinaryNumber_0111001 BinaryNumber_0100010 BinaryNumber_0101101 BinaryNumber_0111101
