Red LemonChiffon DarkFuchsia BlueViolet MistyRose Cyan SteelBlue Cornsilk DarkGoldenrod DarkOrange
Pink DarkGoldenrod LightSeaGreen DarkKhaki Purple Wheat HotPink DarkTurquoise DarkOliveGreen Plum
Cyan Gray RoyalBlue Fuchsia MediumSeaGreen MediumOrchid Tan Lavender Green LemonChiffon
LightSkyBlue Bisque LightBlue Maroon SandyBrown Navy Coral LightGoldenrodYellow White Fuchsia
AntiqueWhite RosyBrown LightYellow GhostWhite DarkSlateGray Salmon DarkTurquoise MediumTurquoise RoyalBlue PaleTurquoise
LightGreen MediumSpringGreen Coral FloralWhite Sienna Cornsilk PowderBlue CornflowerBlue Purple Maroon
DarkFuchsia NavajoWhite Violet Orange MediumSlateBlue Peru MediumAquamarine MediumAquamarine LightSalmon CadetBlue
Olive Peru DarkSalmon LightGreen MediumBlue Navy Chocolate Gainsboro SeaGreen GhostWhite
CadetBlue DarkViolet DarkTurquoise PowderBlue WhiteSmoke Tan LavenderBlush SandyBrown DarkRed PaleVioletRed
DarkSlateGray SpringGreen OrangeRed Burlywood DarkSeaGreen DodgerBlue Chartreuse MediumOrchid WhiteSmoke LemonChiffon
Pink DeepPink SandyBrown BlanchedAlmond MediumSeaGreen Cornsilk VioletRed SlateGray Coral LightSteelBlue
BinaryNumber_0101110 BinaryNumber_0000001 BinaryNumber_0010010 BinaryNumber_1001100 BinaryNumber_0011111 BinaryNumber_0000110 BinaryNumber_1001100 BinaryNumber_0101000 BinaryNumber_0100101 BinaryNumber_1011100
BinaryNumber_0000101 BinaryNumber_0001010 BinaryNumber_1000110 BinaryNumber_1001111 BinaryNumber_1011010 BinaryNumber_0001111 BinaryNumber_0011000 BinaryNumber_0001011 BinaryNumber_0011011 BinaryNumber_0101111
BinaryNumber_1001001 BinaryNumber_0110101 BinaryNumber_0000000 BinaryNumber_1000000 BinaryNumber_1011000 BinaryNumber_0000111 BinaryNumber_0010011 BinaryNumber_0001000 BinaryNumber_0011110 BinaryNumber_0010100
BinaryNumber_1100011 BinaryNumber_0001110 BinaryNumber_0010011 BinaryNumber_0101001 BinaryNumber_0101100 BinaryNumber_0111110 BinaryNumber_1000100 BinaryNumber_1011000 BinaryNumber_1010100 BinaryNumber_0111111
BinaryNumber_1000011 BinaryNumber_1011011 BinaryNumber_0000101 BinaryNumber_1010100 BinaryNumber_0100110 BinaryNumber_0111101 BinaryNumber_1000011 BinaryNumber_0000010 BinaryNumber_0110011 BinaryNumber_1011110
BinaryNumber_0011000 BinaryNumber_0110101 BinaryNumber_0111111 BinaryNumber_1000101 BinaryNumber_0100111 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_1010001 BinaryNumber_1010110 BinaryNumber_0011011
BinaryNumber_1000001 BinaryNumber_0101001 BinaryNumber_0000100 BinaryNumber_0100111 BinaryNumber_0111010 BinaryNumber_0100001 BinaryNumber_1000110 BinaryNumber_0101000 BinaryNumber_0111011 BinaryNumber_1011000
BinaryNumber_0011100 BinaryNumber_0110011 BinaryNumber_0010101 BinaryNumber_0001011 BinaryNumber_0010010 BinaryNumber_0000101 BinaryNumber_0000110 BinaryNumber_1000110 BinaryNumber_0101011 BinaryNumber_1001000
BinaryNumber_1011100 BinaryNumber_0001001 BinaryNumber_0011101 BinaryNumber_0010110 BinaryNumber_1001001 BinaryNumber_0101010 BinaryNumber_1010010 BinaryNumber_0011011 BinaryNumber_0101101 BinaryNumber_1001110
BinaryNumber_1010000 BinaryNumber_0010000 BinaryNumber_0000100 BinaryNumber_1001000 BinaryNumber_0001000 BinaryNumber_0001000 BinaryNumber_0001010 BinaryNumber_0111001 BinaryNumber_1010100 BinaryNumber_0001000
BinaryNumber_0101000 BinaryNumber_0010000 BinaryNumber_0001000 BinaryNumber_1001001 BinaryNumber_0111001 BinaryNumber_1000010 BinaryNumber_0000001 BinaryNumber_1100000 BinaryNumber_0010010 BinaryNumber_0011110
