Tamarind Abiu Lemon Loganberry Araza Blackcurrant Pineapple Pomelo Passionfruit Loquat
Kiwifruit Canistel Quince Abiu Loganberry Açaí Bilberry Apricot Persimmon Sapodilla
Mangosteen Loquat Cashew Raisin Avocado Mulberry Nectarine Currant Kiwifruit Blueberry
Boysenberry Cherimoya Pomelo Lemon Guava Date Persimmon Blackberry Boysenberry Blackberry
Guava Rambutan  Tangelo Lychee Yuzu Jackfruit Banana Banana Tayberry Akebi
Kiwifruit Tangerine Canistel Kumquat Papaya Rambutan  Pear Elderberry Raspberry Nectarine
Soursop Ackee Quince Blackberry Abiu Tangelo Tangerine Pear Papaya Loganberry
Elderberry Cherry Bilberry Nectarine Satsuma Lime Damson Guava Marionberry Cloudberry
Gooseberry Melon Cherimoya Salak Peach Mandarine Blackberry Elderberry Tangelo Mango
Jambul Quince Apple Cherimoya Nance Cranberry Longan Satsuma Pawpaw Breadfruit
Pineberry Honeyberry Akebi Tamarind Longan Soursop Watermelon Clementine Watermelon Akebi
BinaryNumber_0011101 BinaryNumber_1000101 BinaryNumber_0101100 BinaryNumber_0100111 BinaryNumber_0110111 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_0111110 BinaryNumber_1001010 BinaryNumber_1001011
BinaryNumber_1010001 BinaryNumber_1010111 BinaryNumber_0001001 BinaryNumber_1000100 BinaryNumber_0111101 BinaryNumber_1100011 BinaryNumber_0111000 BinaryNumber_1011000 BinaryNumber_0001001 BinaryNumber_1010111
BinaryNumber_0000111 BinaryNumber_0010100 BinaryNumber_1010001 BinaryNumber_0011011 BinaryNumber_1000001 BinaryNumber_0000100 BinaryNumber_1001010 BinaryNumber_0101010 BinaryNumber_0100111 BinaryNumber_1010000
BinaryNumber_0100001 BinaryNumber_0100010 BinaryNumber_0110010 BinaryNumber_1100001 BinaryNumber_0001001 BinaryNumber_1011001 BinaryNumber_1001110 BinaryNumber_0101011 BinaryNumber_0101100 BinaryNumber_1100011
BinaryNumber_1000011 BinaryNumber_1100001 BinaryNumber_0111101 BinaryNumber_1011010 BinaryNumber_0001001 BinaryNumber_1010000 BinaryNumber_0111001 BinaryNumber_0000100 BinaryNumber_0100110 BinaryNumber_0101111
