comfortable delightful spotless nice exuberant splendid encouraging pleasant grotesque mushy
brave friendly puzzled bloody graceful open vast cheerful dizzy grotesque
uptight handsome nutty combative homeless fair anxious worrisome anxious uninterested
vivacious breakable determined putrid fragile thoughtful determined odd sparkling different
careful adorable gifted homeless rich defiant worrisome tired eager curious
odd poor troubled distinct light lively smoggy jittery funny envious
frightened inexpensive gorgeous sparkling enchanting better blushing envious annoying sleepy
worried graceful vivacious splendid real lovely alert easy gentle tough
inexpensive arrogant frightened determined strange kind glamorous quaint motionless cooperative
putrid grotesque misty tender difficult lively odd jealous friendly hungry
nervous busy distinct worried perfect average doubtful uninterested sleepy defiant
BinaryNumber_1010011 BinaryNumber_1000011 BinaryNumber_0101000 BinaryNumber_0011110 BinaryNumber_0001000 BinaryNumber_1010011 BinaryNumber_1010010 BinaryNumber_0101100 BinaryNumber_0011001 BinaryNumber_0100000
BinaryNumber_0001111 BinaryNumber_0000010 BinaryNumber_1011010 BinaryNumber_0010110 BinaryNumber_0100010 BinaryNumber_1010011 BinaryNumber_0101010 BinaryNumber_0011000 BinaryNumber_0010011 BinaryNumber_0011010
BinaryNumber_0100000 BinaryNumber_1100010 BinaryNumber_0011011 BinaryNumber_0100000 BinaryNumber_0100001 BinaryNumber_1000111 BinaryNumber_0100010 BinaryNumber_1100011 BinaryNumber_1011101 BinaryNumber_0011110
BinaryNumber_0100000 BinaryNumber_0010100 BinaryNumber_0101110 BinaryNumber_1011101 BinaryNumber_0110001 BinaryNumber_0001110 BinaryNumber_1010011 BinaryNumber_0011010 BinaryNumber_1000101 BinaryNumber_0010111
BinaryNumber_1010110 BinaryNumber_0111001 BinaryNumber_0110010 BinaryNumber_0001011 BinaryNumber_0110101 BinaryNumber_0110101 BinaryNumber_0110111 BinaryNumber_0001110 BinaryNumber_0110101 BinaryNumber_1010110
BinaryNumber_0101001 BinaryNumber_0011111 BinaryNumber_1011111 BinaryNumber_0111100 BinaryNumber_0010100 BinaryNumber_0110011 BinaryNumber_0100110 BinaryNumber_0000110 BinaryNumber_1011100 BinaryNumber_1010110
BinaryNumber_1011110 BinaryNumber_1000101 BinaryNumber_1000000 BinaryNumber_0001000 BinaryNumber_0011011 BinaryNumber_1001110 BinaryNumber_0001111 BinaryNumber_0001110 BinaryNumber_1010101 BinaryNumber_0100001
BinaryNumber_0101001 BinaryNumber_0011000 BinaryNumber_1010011 BinaryNumber_0101000 BinaryNumber_0101100 BinaryNumber_1000010 BinaryNumber_0111101 BinaryNumber_0000111 BinaryNumber_0101000 BinaryNumber_0000010
BinaryNumber_0101010 BinaryNumber_0010101 BinaryNumber_0111111 BinaryNumber_1011001 BinaryNumber_0010101 BinaryNumber_0100011 BinaryNumber_0011001 BinaryNumber_1000111 BinaryNumber_0111000 BinaryNumber_0010111
BinaryNumber_1010000 BinaryNumber_0000000 BinaryNumber_0101010 BinaryNumber_1010100 BinaryNumber_0001111 BinaryNumber_0001100 BinaryNumber_1001110 BinaryNumber_0010100 BinaryNumber_0101100 BinaryNumber_1000111
BinaryNumber_0110001 BinaryNumber_1010110 BinaryNumber_0100110 BinaryNumber_1010110 BinaryNumber_1011110 BinaryNumber_0111001 BinaryNumber_0110100 BinaryNumber_1011001 BinaryNumber_1001000 BinaryNumber_1100000
temperature__108c temperature__44c temperature__109c temperature__92c temperature__120c temperature__70c temperature__40c temperature__82c temperature__100c temperature__88c
temperature__41c temperature__132c temperature__6c temperature__85c temperature__11c temperature__40c temperature__137c temperature__50c temperature__120c temperature__51c
temperature__6c temperature__17c temperature__148c temperature__100c temperature__73c temperature__144c temperature__4c temperature__111c temperature__35c temperature__44c
temperature__8c temperature__49c temperature__27c temperature__54c temperature__148c temperature__73c temperature__42c temperature__56c temperature__139c temperature__146c
temperature__79c temperature__84c temperature__109c temperature__0c temperature__8c temperature__92c temperature__130c temperature__90c temperature__71c temperature__69c
temperature__77c temperature__10c temperature__56c temperature__82c temperature__98c temperature__138c temperature__90c temperature__54c temperature__111c temperature__40c
temperature__41c temperature__46c temperature__122c temperature__50c temperature__90c temperature__120c temperature__41c temperature__78c temperature__14c temperature__130c
temperature__146c temperature__144c temperature__142c temperature__132c temperature__59c temperature__100c temperature__30c temperature__105c temperature__90c temperature__51c
temperature__31c temperature__34c temperature__106c temperature__4c temperature__68c temperature__17c temperature__95c temperature__140c temperature__17c temperature__141c
