LawnGreen MintCream Seashell Crimson DarkSalmon Tan DarkCyan OliveDrab LightCoral Gainsboro
LightGray AntiqueWhite Peru DarkRed MidnightBlue LightSalmon Bisque Azure Gold LightSlateBlue
CornflowerBlue LightGoldenrodYellow Cyan Snow MistyRose Ivory Fuchsia DimGray Azure Chartreuse
RosyBrown Wheat Gainsboro Chartreuse DarkKhaki LightGray Khaki ForestGreen DarkKhaki MediumAquamarine
HotPink Lavender DarkCyan Orange Navy DarkRed MidnightBlue Goldenrod DarkGoldenrod Brown
Burlywood PeachPuff MintCream DarkKhaki Teal Fuchsia Goldenrod PaleGreen DarkKhaki Tomato
BlanchedAlmond DarkSlateGray MediumSeaGreen LightGreen RoyalBlue SlateGray CornflowerBlue MediumSeaGreen Turquoise Tan
LightBlue Gray Beige SlateGray Tomato Orchid Crimson LightSteelBlue Goldenrod DarkBlue
BlanchedAlmond FloralWhite DarkKhaki PeachPuff BlanchedAlmond SaddleBrown SkyBlue Moccasin OldLace SeaGreen
LightGoldenrod Crimson SkyBlue DarkOrchid SpringGreen LawnGreen Chartreuse LightGoldenrodYellow Moccasin Lime
HotPink DarkGreen LightYellow Lavender Blue AntiqueWhite LemonChiffon Salmon DarkViolet SlateGray
prestidigitation privilege collaboration privilege deception beleaguer chicanery tainted deflect demagogue
claim assail feud laconic plutocracy illicit scandal covert mercurial sloth
resignation rebut collaboration claim unsavory coterie beleaguer authoritarian tainted incident
lobby claim mercurial integrity extortion ignorant privilege demagogue blame reckless
deficit reputation scapegoat lobby defamation retaliation covert expose manipulate scandal
subterfuge deception denigrate illicit manipulate lobby authoritarian benefit dictatorship blame
saga subterfuge empire persecution bribe authoritarian sloth illegal persecution prestidigitation
coercion chicanery manipulate authoritarian mendacity saga scandalous coterie infringement fiasco
patriarchy persecution reckless obscure acolyte reckless coercion lobby corruption covert
covert unethical temptation integrity unethical chicanery illegal deficit fray allegation
endorsement persecution coterie deflect authoritarian saga temptation unethical scandalous refute
temperature__77c temperature__53c temperature__30c temperature__144c temperature__137c temperature__87c temperature__12c temperature__63c temperature__69c temperature__56c
temperature__35c temperature__5c temperature__144c temperature__91c temperature__92c temperature__26c temperature__46c temperature__88c temperature__132c temperature__47c
temperature__27c temperature__8c temperature__31c temperature__51c temperature__138c temperature__16c temperature__27c temperature__106c temperature__46c temperature__84c
temperature__42c temperature__51c temperature__70c temperature__36c temperature__90c temperature__105c temperature__137c temperature__61c temperature__4c temperature__26c
temperature__139c temperature__69c temperature__138c temperature__58c temperature__54c temperature__59c temperature__10c temperature__112c temperature__11c temperature__0c
