Soursop Honeyberry Ackee Kumquat Tamarillo Nectarine Lychee Nance Loganberry Araza
Grape Marionberry Coconut Cloudberry Lime Raisin Pomegranate Rambutan  Rambutan  Jambul
Prune Damson Prune Mandarine Nance Loquat Tamarind Cranberry Apricot Plum
Strawberry Sapote Nance Redcurrant Passionfruit Feijoa Jackfruit Rambutan  Lychee Raspberry
Pineberry Fig Kiwano Quince Nance Canistel Cloudberry Canistel Nectarine Redcurrant
Mango Loquat Loganberry Elderberry Jujube Tamarind Orange Kiwano Mangosteen Jackfruit
Lime Raspberry Sapodilla Bilberry Pear Nance Kiwifruit Jambul Grape Jostaberry
Breadfruit Sapote Cashew Quince Canistel Pomegranate Mandarine Prune Clementine Date
Satsuma Plantain Cempedak Mandarine Jackfruit Tayberry Plumcot Plumcot Apricot Watermelon
Gooseberry Mulberry Cranberry Pomegranate Pomegranate Sapote Tayberry Plum Acerola Mangosteen
Plantain Pawpaw Loganberry Orange Date Lulo Bilberry Salmonberry Kiwifruit Cranberry
BinaryNumber_0000111 BinaryNumber_1010011 BinaryNumber_1100011 BinaryNumber_0111110 BinaryNumber_1010100 BinaryNumber_0101100 BinaryNumber_0110001 BinaryNumber_0100010 BinaryNumber_0010001 BinaryNumber_0010010
BinaryNumber_1001000 BinaryNumber_0111101 BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_1001000 BinaryNumber_0010111 BinaryNumber_1000011 BinaryNumber_0101110 BinaryNumber_1010000 BinaryNumber_0101010
BinaryNumber_0110110 BinaryNumber_0101101 BinaryNumber_0100011 BinaryNumber_0011100 BinaryNumber_1001000 BinaryNumber_0000010 BinaryNumber_1010101 BinaryNumber_1010111 BinaryNumber_1000111 BinaryNumber_1000100
BinaryNumber_0111110 BinaryNumber_0101010 BinaryNumber_0010101 BinaryNumber_1000001 BinaryNumber_1001110 BinaryNumber_1000101 BinaryNumber_0111011 BinaryNumber_0100111 BinaryNumber_0011100 BinaryNumber_0110100
BinaryNumber_0011100 BinaryNumber_0100000 BinaryNumber_1100000 BinaryNumber_0011111 BinaryNumber_0101010 BinaryNumber_1100010 BinaryNumber_0011011 BinaryNumber_1100010 BinaryNumber_1011010 BinaryNumber_0101111
BinaryNumber_1011100 BinaryNumber_0111100 BinaryNumber_0110100 BinaryNumber_1001100 BinaryNumber_1010010 BinaryNumber_0110101 BinaryNumber_1100010 BinaryNumber_1000100 BinaryNumber_0100011 BinaryNumber_0111001
BinaryNumber_0011101 BinaryNumber_0011000 BinaryNumber_1000011 BinaryNumber_1000001 BinaryNumber_0101111 BinaryNumber_0100000 BinaryNumber_0001010 BinaryNumber_1001000 BinaryNumber_0100111 BinaryNumber_0111000
BinaryNumber_0110110 BinaryNumber_1011110 BinaryNumber_1010010 BinaryNumber_0011100 BinaryNumber_0001000 BinaryNumber_0111111 BinaryNumber_1001000 BinaryNumber_1000101 BinaryNumber_0101100 BinaryNumber_1011011
BinaryNumber_0011110 BinaryNumber_1100001 BinaryNumber_0010010 BinaryNumber_0111101 BinaryNumber_0110001 BinaryNumber_0000001 BinaryNumber_0110100 BinaryNumber_0101110 BinaryNumber_0111110 BinaryNumber_0000101
