LavenderBlush Teal LightSalmon CornflowerBlue DeepPink Wheat LightPink Gainsboro Red MidnightBlue
BlueViolet MediumSeaGreen DarkOrchid PaleGreen Blue PeachPuff Gold FloralWhite MistyRose LightCyan
RoyalBlue Black Feldspar DarkGoldenrod Coral Cornsilk Orange DarkSlateBlue DarkKhaki SkyBlue
SteelBlue LightGray LightYellow Bisque LightSlateBlue DarkFuchsia DarkKhaki MediumOrchid BlueViolet Azure
Green BlueViolet Salmon SkyBlue PaleGreen LightCyan LightSlateBlue HotPink Sienna Tan
Lime Aquamarine Silver Fuchsia MediumSpringGreen DarkTurquoise OldLace Chocolate Firebrick Khaki
Ivory LightPink SlateGray DeepSkyBlue SkyBlue PaleVioletRed Feldspar MediumSlateBlue LightPink Gainsboro
LightGray LightYellow LightYellow OrangeRed Azure Khaki Black GreenYellow Teal AliceBlue
DarkGreen Snow AliceBlue DarkOliveGreen Gray Beige LightGoldenrodYellow Indigo RoyalBlue DarkGreen
Fuchsia MediumOrchid Lavender Moccasin ForestGreen Peru DarkBlue Moccasin Gainsboro DarkSeaGreen
OliveDrab VioletRed Lavender Turquoise LightGoldenrod Tomato NavajoWhite ForestGreen Chartreuse Sienna
darter invertebrate vegan predatoryanimal pig invertebrate pups monster fauna animals
clams livestock cat deer chordate biped monster pitbull amphibians insectivore
tiger elephants animalkingdom vegan zooplankton wild predatoryanimal reptiles clams zoology
marineanimal predatoryanimal sheep scavenger porifera fish clams insects insect demon
poikilotherm marineanimal dogs vertebrate invertebrate environmental chickens chickens thoroughbred invertebrate
beast carnivore insects llamas cat domesticate exoticanimals workanimal chordate elephants
pet animals animalia metazoan superdog octopuses creature farming rabbit beast
workanimal feline cats jellyfish fleshly eukaryotic domesticate mammal multicellular ladybug
biped poikilotherm wildlife insect creature mammals llamas animatebeing scavenger jellyfish
creature protist wildlife embryo clams animalia rabbit darter thoroughbred tame
invertebrate domesticate environmental porifera pet pet livestock zooplankton workanimal biped
temperature__111c temperature__16c temperature__8c temperature__42c temperature__53c temperature__136c temperature__50c temperature__16c temperature__71c temperature__28c
temperature__16c temperature__148c temperature__91c temperature__74c temperature__144c temperature__31c temperature__23c temperature__17c temperature__41c temperature__51c
temperature__144c temperature__8c temperature__137c temperature__130c temperature__112c temperature__64c temperature__144c temperature__108c temperature__27c temperature__59c
temperature__69c temperature__2c temperature__47c temperature__129c temperature__54c temperature__21c temperature__14c temperature__24c temperature__56c temperature__131c
temperature__69c temperature__58c temperature__47c temperature__36c temperature__140c temperature__57c temperature__124c temperature__139c temperature__98c temperature__8c
