Gold LightYellow DarkSalmon DarkOrchid DarkSeaGreen DarkCyan Gainsboro MediumSpringGreen LemonChiffon SteelBlue
MediumSpringGreen Brown MidnightBlue PaleGreen MistyRose SpringGreen MediumAquamarine OliveDrab MediumBlue Azure
MediumSpringGreen Gainsboro Chocolate AliceBlue SpringGreen MintCream DarkSlateBlue Khaki BlanchedAlmond LightCyan
Purple Chocolate Orchid Purple LightSeaGreen Maroon LightBlue Orange Brown DarkOrchid
DeepPink BlueViolet Navy Goldenrod Red DarkGoldenrod OrangeRed MediumOrchid LightGreen MediumOrchid
DarkSalmon LimeGreen WhiteSmoke GhostWhite DarkFuchsia NavajoWhite PapayaWhip LightGreen MediumOrchid Green
WhiteSmoke PaleGoldenrod Bisque ForestGreen LightGreen MediumBlue LightGoldenrod PaleGreen SpringGreen SkyBlue
RosyBrown DeepPink LimeGreen Tomato DarkFuchsia LimeGreen OldLace DarkOliveGreen GhostWhite Teal
MintCream Feldspar VioletRed Yellow Turquoise OldLace DeepSkyBlue Teal DarkGreen DarkOrchid
Tan DeepPink LightGoldenrod PeachPuff Yellow LightSteelBlue Chartreuse Olive Bisque VioletRed
CornflowerBlue MediumTurquoise Lime PaleVioletRed GhostWhite MediumVioletRed LightPink FloralWhite Red DarkBlue
BinaryNumber_0011111 BinaryNumber_1011111 BinaryNumber_0000001 BinaryNumber_1000010 BinaryNumber_0101000 BinaryNumber_1100000 BinaryNumber_1011001 BinaryNumber_0101011 BinaryNumber_0110100 BinaryNumber_0110101
BinaryNumber_0100011 BinaryNumber_1010000 BinaryNumber_0110101 BinaryNumber_1000111 BinaryNumber_0110110 BinaryNumber_0101001 BinaryNumber_0101001 BinaryNumber_1000010 BinaryNumber_0111000 BinaryNumber_1011000
BinaryNumber_1000110 BinaryNumber_0011001 BinaryNumber_0100110 BinaryNumber_0110000 BinaryNumber_0111011 BinaryNumber_0001101 BinaryNumber_1010000 BinaryNumber_0111110 BinaryNumber_0000001 BinaryNumber_0011111
BinaryNumber_1010101 BinaryNumber_0100010 BinaryNumber_0111100 BinaryNumber_0101001 BinaryNumber_0110011 BinaryNumber_0000111 BinaryNumber_0010100 BinaryNumber_0100011 BinaryNumber_1010101 BinaryNumber_1011001
BinaryNumber_0100110 BinaryNumber_0011110 BinaryNumber_1010110 BinaryNumber_0111111 BinaryNumber_0010111 BinaryNumber_0001000 BinaryNumber_0101110 BinaryNumber_1010100 BinaryNumber_0000010 BinaryNumber_0001101
BinaryNumber_1011010 BinaryNumber_0000100 BinaryNumber_0011000 BinaryNumber_0011110 BinaryNumber_0110000 BinaryNumber_1010111 BinaryNumber_0010001 BinaryNumber_0101000 BinaryNumber_0011111 BinaryNumber_0101010
BinaryNumber_0001010 BinaryNumber_0011111 BinaryNumber_0101100 BinaryNumber_1100011 BinaryNumber_1010011 BinaryNumber_0110100 BinaryNumber_0110010 BinaryNumber_0100110 BinaryNumber_0110110 BinaryNumber_0101000
BinaryNumber_1001000 BinaryNumber_0101111 BinaryNumber_1001111 BinaryNumber_1000101 BinaryNumber_1011000 BinaryNumber_0100010 BinaryNumber_0100000 BinaryNumber_0000110 BinaryNumber_0000110 BinaryNumber_1001101
