LightSeaGreen PaleVioletRed Linen LightCyan MediumSpringGreen LawnGreen MediumTurquoise MediumAquamarine SandyBrown LightSteelBlue
PeachPuff SpringGreen CadetBlue PaleVioletRed SlateGray LightSlateBlue MediumBlue Goldenrod MediumSpringGreen LightSalmon
SeaGreen Indigo BlanchedAlmond DarkKhaki GhostWhite CadetBlue DarkCyan AliceBlue Khaki Fuchsia
Khaki Pink SlateGray BlueViolet Wheat DarkGoldenrod LimeGreen SaddleBrown Seashell Silver
Ivory MediumTurquoise SkyBlue SpringGreen Azure MidnightBlue Sienna RosyBrown LightSteelBlue Bisque
SaddleBrown PapayaWhip Honeydew Purple LightGoldenrod AntiqueWhite SpringGreen DarkBlue Lime Gainsboro
DarkOrchid Peru Purple Linen LightSlateBlue MediumSlateBlue SandyBrown LavenderBlush CadetBlue Moccasin
CornflowerBlue Crimson DarkGreen OrangeRed Gold DimGray MintCream LightSeaGreen MediumTurquoise MediumVioletRed
Lime Yellow Burlywood PaleGoldenrod Firebrick CadetBlue Silver DarkOrchid Snow MediumPurple
LightSlateGray PapayaWhip LightSkyBlue Orchid LavenderBlush MediumPurple Feldspar DeepSkyBlue LightSkyBlue DarkGray
LightSlateBlue LightGoldenrodYellow Tomato MistyRose DarkFuchsia Coral Orange Khaki Sienna PapayaWhip
homeless criminals supernatural transgression arsons legislature transgression victim sin trafficking
liberty corrupt kill lift corruption homelessness forensic story brutality story
structuralism cop offenders shootings statutory massacre missing corruption suspense homelessness
lift threats genocide crisis suspense homicides spy arsons drama abuse
suspense illegal pirate dark smuggle shootings legislature assault hijack gangster
human kill evidence corrupt corrupt mob lift incarceration punitive misdemeanour
drugs guilt corruption offenses gang fraud punitive arrest trafficking story
prostitution mafia conspiracy trafficking prison skyjack structuralism offence slay gangs
mafia illegal muggings prostitution brutality imprisonment homeless terrorism drug police
poverty hijack law-breaking evidence safety incarceration abuse snitching homelessness bloodshed
mob offence criminality incarceration revenge homeless cases drama missing spy
temperature__124c temperature__130c temperature__46c temperature__5c temperature__54c temperature__26c temperature__130c temperature__28c temperature__33c temperature__30c
temperature__132c temperature__46c temperature__46c temperature__132c temperature__41c temperature__53c temperature__14c temperature__34c temperature__109c temperature__145c
temperature__6c temperature__59c temperature__78c temperature__34c temperature__57c temperature__6c temperature__50c temperature__33c temperature__111c temperature__26c
temperature__28c temperature__77c temperature__51c temperature__91c temperature__139c temperature__71c temperature__93c temperature__63c temperature__88c temperature__129c
temperature__77c temperature__111c temperature__17c temperature__42c temperature__87c temperature__116c temperature__132c temperature__33c temperature__78c temperature__122c
temperature__3c temperature__88c temperature__21c temperature__126c temperature__98c temperature__35c temperature__65c temperature__69c temperature__28c temperature__131c
