MediumSlateBlue LightSalmon MediumSeaGreen DarkGoldenrod Navy RosyBrown Turquoise Olive DimGray ForestGreen
Coral Pink RoyalBlue PapayaWhip DarkFuchsia DarkCyan MediumPurple Pink DarkBlue DarkKhaki
Pink Thistle DarkViolet WhiteSmoke Burlywood Crimson Pink Pink Moccasin PaleVioletRed
LawnGreen MediumSeaGreen LightSalmon PaleTurquoise DarkGoldenrod PapayaWhip RosyBrown White LightBlue MediumSpringGreen
LightSteelBlue LavenderBlush Moccasin MintCream RosyBrown Burlywood DarkKhaki Moccasin DarkKhaki LemonChiffon
LightSeaGreen Coral Peru LavenderBlush Feldspar OrangeRed Moccasin MidnightBlue Salmon SpringGreen
DarkSeaGreen Orange CadetBlue LightCoral Violet MediumSlateBlue DarkGreen SeaGreen DarkCyan DeepPink
MidnightBlue DarkSlateGray MediumSpringGreen GhostWhite DarkTurquoise BlueViolet Snow LimeGreen Bisque Red
RosyBrown DarkFuchsia Cyan Purple White Beige CornflowerBlue CornflowerBlue Purple Ivory
Maroon Moccasin DodgerBlue Feldspar MediumTurquoise LightSlateGray SlateGray FloralWhite DarkSalmon LightCyan
SteelBlue MidnightBlue PaleGreen MediumSpringGreen SandyBrown Yellow DarkTurquoise DarkFuchsia Maroon MediumPurple
CubeNumber_729000 CubeNumber_704969 CubeNumber_658503 CubeNumber_343 CubeNumber_421875 CubeNumber_729 CubeNumber_64000 CubeNumber_804357 CubeNumber_729 CubeNumber_19683
CubeNumber_438976 CubeNumber_125 CubeNumber_148877 CubeNumber_328509 CubeNumber_110592 CubeNumber_357911 CubeNumber_8000 CubeNumber_343 CubeNumber_27000 CubeNumber_512
CubeNumber_21952 CubeNumber_27000 CubeNumber_314432 CubeNumber_125000 CubeNumber_42875 CubeNumber_912673 CubeNumber_148877 CubeNumber_50653 CubeNumber_314432 CubeNumber_438976
CubeNumber_4913 CubeNumber_274625 CubeNumber_778688 CubeNumber_857375 CubeNumber_12167 CubeNumber_125000 CubeNumber_405224 CubeNumber_250047 CubeNumber_456533 CubeNumber_157464
CubeNumber_314432 CubeNumber_571787 CubeNumber_636056 CubeNumber_103823 CubeNumber_250047 CubeNumber_175616 CubeNumber_24389 CubeNumber_4096 CubeNumber_216000 CubeNumber_328509
CubeNumber_438976 CubeNumber_373248 CubeNumber_729000 CubeNumber_216 CubeNumber_59319 CubeNumber_274625 CubeNumber_32768 CubeNumber_74088 CubeNumber_262144 CubeNumber_1000
CubeNumber_884736 CubeNumber_512 CubeNumber_125000 CubeNumber_15625 CubeNumber_157464 CubeNumber_117649 CubeNumber_29791 CubeNumber_27 CubeNumber_5832 CubeNumber_125
