MediumAquamarine White DarkGoldenrod Indigo SaddleBrown Navy IndianRed MediumPurple Thistle LightGoldenrodYellow
Gainsboro DeepSkyBlue LightSteelBlue DimGray Chocolate PaleTurquoise Gainsboro OliveDrab Azure Lime
PaleTurquoise DarkOliveGreen Indigo Lavender LightBlue PaleVioletRed DarkOrchid PeachPuff Burlywood Coral
GhostWhite BlueViolet LightCoral Bisque SpringGreen LavenderBlush SteelBlue MediumOrchid DarkOliveGreen MistyRose
Orange Tomato DeepPink DarkKhaki Goldenrod DimGray VioletRed SpringGreen Salmon PaleVioletRed
Lavender Firebrick Sienna DarkSeaGreen DimGray Feldspar AliceBlue DarkGoldenrod OldLace Khaki
Navy SpringGreen Crimson Turquoise LemonChiffon SpringGreen SpringGreen Maroon MediumTurquoise MediumSpringGreen
GreenYellow DarkSalmon Black RosyBrown PaleTurquoise LightGoldenrodYellow LawnGreen PapayaWhip OliveDrab MediumSpringGreen
DarkOrange LightGray LightSteelBlue Khaki Gainsboro DarkFuchsia Moccasin OrangeRed MediumVioletRed DeepSkyBlue
BlueViolet Plum Honeydew Bisque DarkFuchsia Green SaddleBrown SandyBrown Gold Pink
LightBlue OldLace DodgerBlue Brown ForestGreen CadetBlue DarkTurquoise DarkKhaki IndianRed LightCyan
puzzled busy tired exuberant healthy witty plain unsightly smoggy terrible
successful enthusiastic inexpensive grumpy nice elegant elated muddy dark spotless
black glorious wandering dull awful helpless average smoggy impossible alive
wandering blue-eyed famous naughty filthy nutty filthy frightened ugliest clean
drab courageous modern prickly good faithful energetic crazy calm exuberant
better motionless brave envious terrible inquisitive beautiful splendid victorious helpful
sleepy angry worried difficult dull anxious impossible ill nasty agreeable
gifted annoyed charming unusual spotless easy ashamed fierce wicked nervous
gifted tasty wide-eyed obnoxious gentle grumpy annoyed cloudy blue tired
sleepy nice inexpensive hurt naughty inexpensive delightful dizzy worried silly
friendly impossible distinct clean unusual enchanting cautious beautiful disturbed wicked
