Yellow GhostWhite BlueViolet MediumTurquoise Orange Salmon LightGoldenrod PowderBlue Sienna Silver
Green NavajoWhite Pink Feldspar LavenderBlush Linen DarkTurquoise Goldenrod Orchid DarkOrchid
Bisque Goldenrod Feldspar OrangeRed LimeGreen Brown Chocolate DarkSlateBlue Purple MediumTurquoise
LightGray AntiqueWhite LightSlateBlue DimGray DarkGoldenrod SkyBlue Pink LightBlue ForestGreen Wheat
IndianRed Chocolate OrangeRed Coral Olive PapayaWhip OrangeRed FloralWhite DarkFuchsia DarkSeaGreen
Goldenrod Wheat Tomato NavajoWhite Black Chartreuse OliveDrab DarkOliveGreen DarkFuchsia SandyBrown
LightSteelBlue DarkGray OliveDrab LightSalmon Tan LightSlateBlue LightSkyBlue Tomato Navy LightCoral
Seashell Fuchsia Gold Tomato DodgerBlue OldLace Indigo MediumBlue PaleVioletRed ForestGreen
LightSlateGray Purple Blue Silver White DarkFuchsia OliveDrab DeepPink Moccasin Maroon
SteelBlue Pink Peru DarkOrange LightYellow SlateBlue Bisque Beige Gold MintCream
Burlywood Violet Orange LightSkyBlue LawnGreen DarkGray SkyBlue DarkTurquoise LightGoldenrod Crimson
BinaryNumber_1001111 BinaryNumber_0001000 BinaryNumber_1010101 BinaryNumber_0110100 BinaryNumber_1001011 BinaryNumber_1001001 BinaryNumber_0101101 BinaryNumber_1010111 BinaryNumber_0101001 BinaryNumber_0111011
BinaryNumber_0010100 BinaryNumber_0010100 BinaryNumber_0011010 BinaryNumber_0001111 BinaryNumber_0101000 BinaryNumber_0010110 BinaryNumber_0001011 BinaryNumber_0101101 BinaryNumber_1001100 BinaryNumber_0100010
BinaryNumber_0001111 BinaryNumber_0100001 BinaryNumber_1001011 BinaryNumber_0001101 BinaryNumber_1000101 BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_0100001 BinaryNumber_1001110 BinaryNumber_0110101
BinaryNumber_0001001 BinaryNumber_0011010 BinaryNumber_1000110 BinaryNumber_0100101 BinaryNumber_1011011 BinaryNumber_0110010 BinaryNumber_0101110 BinaryNumber_0011100 BinaryNumber_1010001 BinaryNumber_1001011
BinaryNumber_0010011 BinaryNumber_0100101 BinaryNumber_1010101 BinaryNumber_1010011 BinaryNumber_1001000 BinaryNumber_0111100 BinaryNumber_0010001 BinaryNumber_1000110 BinaryNumber_0011101 BinaryNumber_0010110
BinaryNumber_0100101 BinaryNumber_0100100 BinaryNumber_1100010 BinaryNumber_0110001 BinaryNumber_0100000 BinaryNumber_1011101 BinaryNumber_0010110 BinaryNumber_0101000 BinaryNumber_0101101 BinaryNumber_1010001
BinaryNumber_0110010 BinaryNumber_1010000 BinaryNumber_0111000 BinaryNumber_1001011 BinaryNumber_1010001 BinaryNumber_1010000 BinaryNumber_0010110 BinaryNumber_0111001 BinaryNumber_0010001 BinaryNumber_1000111
BinaryNumber_0011001 BinaryNumber_0111001 BinaryNumber_0100101 BinaryNumber_0010001 BinaryNumber_0100111 BinaryNumber_0111110 BinaryNumber_0101100 BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_0111110
