Iris Cerebrum Liver Midbrain Placenta Pons Bladder Ureter Innerear Bronchi
Eye Thalamus Tastebuds Veins Vagina Duodenum Interstitium Thymus Tonsils Ileum
Vagina Eardrum Larynx Ileum Gallbladder Liver Outerear Capillaries Kidneys Mesentery
Bone  Vagina Bronchi Earlobe Mesentery Pharynx Cecum Tastebuds Jejunum Tastebuds
Ossicles Brain Ciliarybody Tastebuds Ciliarybody Bladder Lens Ciliarybody Urethra Pharynx
Lips Bladder Esophagus Heart Eye Arteries Tongue Vagina Spleen Lungs
Cervix Ligaments Joints Clitoris Lungs Tongue Clitoris Ear Thalamus Mouth
Esophagus Vulva Eardrum Lymphaticvessel Lymphaticvessel Ossicles Brain Scrotum Earlobe Pancreas
Tastebuds Placenta Placenta Cranialnerves Lungs Arteries Pharynx Uterus Ureter Tongue
Trachea Lens Innerear Interstitium Smallintestine Iris Ciliarybody Eye Lymphaticvessel Vulva
Tastebuds Tongue Hypothalamus Rectum Cecum Duodenum Cervix Spinalnerves Fallopiantubes Smallintestine
11:59 17:37 12:28 23:46 14:24 14:54 14:47 22:37 14:29 14:34
22:42 21:17 21:27 23:55 12:37 15:57 15:54 11:22 15:53 15:36
17:25 19:46 17:17 21:43 16:41 21:35 14:40 11:26 16:31 19:19
19:42 23:29 13:47 15:35 17:44 10:50 22:49 19:54 17:53 21:48
17:20 18:45 18:50 18:42 18:37 10:10 14:43 10:59 23:44 20:34
13:44 15:17 17:13 22:44 14:55 17:14 15:11 21:36 13:43 11:47
21:42 23:55 19:41 18:22 16:27 10:10 21:41 11:23 23:44 18:18
13:35 10:59 21:21 22:44 12:34 23:32 13:30 14:47 12:50 18:19
17:46 15:41 14:30 17:40 21:49 15:54 10:20 19:26 17:48 21:20
13:24 13:36 20:34 18:33 15:13 10:55 23:59 16:13 19:31 14:22
14:52 20:46 17:49 20:58 17:28 22:32 14:18 21:13 13:46 16:25
BinaryNumber_0000111 BinaryNumber_0010010 BinaryNumber_1000010 BinaryNumber_1001111 BinaryNumber_0001110 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_1010001 BinaryNumber_0111110 BinaryNumber_0010100
BinaryNumber_1000011 BinaryNumber_1011001 BinaryNumber_0111001 BinaryNumber_1100010 BinaryNumber_0001001 BinaryNumber_0010001 BinaryNumber_1001110 BinaryNumber_0110010 BinaryNumber_1000000 BinaryNumber_1100000
BinaryNumber_0001011 BinaryNumber_0110100 BinaryNumber_0001111 BinaryNumber_1011111 BinaryNumber_0001101 BinaryNumber_0001111 BinaryNumber_0110001 BinaryNumber_1001110 BinaryNumber_1001000 BinaryNumber_0111110
BinaryNumber_0101101 BinaryNumber_0011011 BinaryNumber_0100100 BinaryNumber_0001010 BinaryNumber_0111010 BinaryNumber_0010100 BinaryNumber_0011110 BinaryNumber_0000111 BinaryNumber_0101011 BinaryNumber_0101011
BinaryNumber_0001011 BinaryNumber_0101010 BinaryNumber_0000011 BinaryNumber_1000001 BinaryNumber_1000110 BinaryNumber_0011101 BinaryNumber_1010000 BinaryNumber_0101100 BinaryNumber_0000100 BinaryNumber_0101001
