Lavender LightSeaGreen CornflowerBlue PaleVioletRed OrangeRed GhostWhite Cyan MediumAquamarine Orange Green
Honeydew LightCoral Silver GhostWhite Turquoise Pink DarkViolet DarkOrange LimeGreen Wheat
LightGreen SteelBlue PapayaWhip Seashell PapayaWhip DarkOrchid DarkOliveGreen CadetBlue PaleGreen PaleTurquoise
MediumVioletRed Chocolate PapayaWhip LavenderBlush LightSalmon SpringGreen SpringGreen PowderBlue NavajoWhite Thistle
PapayaWhip OliveDrab Fuchsia Honeydew PowderBlue Brown Khaki LightSteelBlue PaleGoldenrod LightSlateBlue
Bisque Seashell Khaki Cornsilk SlateBlue DarkRed DodgerBlue DimGray DarkCyan Yellow
DarkRed OldLace VioletRed DarkTurquoise LightSeaGreen DarkGreen Tomato Teal SteelBlue SkyBlue
SlateGray Black SeaGreen MintCream DarkFuchsia FloralWhite SandyBrown Violet Snow DarkSlateBlue
MediumSpringGreen Cornsilk LightSlateBlue MediumSlateBlue Azure DarkGoldenrod Snow Gray Red LightSeaGreen
DarkGreen DarkSlateGray LightGoldenrod MediumVioletRed DarkGray MediumTurquoise BlanchedAlmond Gold LightBlue GhostWhite
LightSeaGreen Honeydew Crimson DarkBlue DarkGoldenrod Crimson Azure LightSteelBlue SandyBrown DarkGreen
Thymus Scrotum Kidneys Ovaries Vulva Analcanal Cecum Analcanal Pons Spinalnerves
Ileum Joints Cecum Hypothalamus Ear Muscle Vulva Nerves Esophagus Cranialnerves
Outerear Lymphaticvessel Rectum Scrotum Ganglia Lens Teeth Ciliarybody Midbrain Smallintestine
Lens Kidneys Vagina Ovaries Tongue Eardrum Cranialnerves Mouth Rectum Joints
Ureter Muscle Muscle Fallopiantubes Thalamus Capillaries Pancreas Lymphaticvessel Bronchi Cerebellum
Analcanal Ileum Thalamus Vulva Ganglia Scrotum Thalamus Lymphaticvessel Ovaries Clitoris
Joints Outerear Vagina Hypothalamus Ciliarybody Esophagus Lens Ganglia Cecum Duodenum
Esophagus Ear Cecum Tendons Trachea Trachea Pons Sensoryorgans Scrotum Cervix
