MediumSeaGreen DarkOrchid Azure PaleTurquoise Chocolate Green Coral DarkGreen Cornsilk Brown
DarkSlateGray MediumTurquoise Silver PapayaWhip MediumSeaGreen LightGoldenrodYellow Cornsilk LimeGreen Indigo LightSlateGray
LawnGreen Plum Snow LightPink DarkSeaGreen VioletRed Red AliceBlue Pink Black
Silver Salmon LightCoral LavenderBlush SandyBrown Moccasin Violet Plum Blue LightSlateGray
DarkCyan Tomato PaleGreen LawnGreen DarkSalmon CornflowerBlue HotPink IndianRed VioletRed Blue
DarkSeaGreen LightYellow BlueViolet CadetBlue Chartreuse DarkOrchid Firebrick LightSalmon DarkTurquoise Tan
BlanchedAlmond White RoyalBlue VioletRed Yellow PowderBlue SlateBlue Moccasin Crimson White
Aquamarine Violet LavenderBlush MediumSlateBlue PaleTurquoise Violet MediumAquamarine DarkViolet Chocolate OliveDrab
Tan DeepSkyBlue LavenderBlush SandyBrown Burlywood IndianRed DarkOliveGreen PaleVioletRed Indigo WhiteSmoke
DarkRed AntiqueWhite DeepPink Peru Purple CornflowerBlue Khaki LightGoldenrod Purple SlateBlue
CornflowerBlue Chocolate WhiteSmoke PeachPuff SteelBlue Chocolate LightSlateBlue LightSlateGray Olive LightGoldenrod
Clitoris Eardrum Spleen Eye Thalamus Largeintestine Clitoris Ureter Outerear Fallopiantubes
Tastebuds Liver Cecum Heart Sensoryorgans Bronchi Ileum Smallintestine Trachea Lips
Lips Teeth Midbrain Fallopiantubes Lymphaticvessel Gallbladder Uterus Earlobe Kidneys Heart
Arteries Eye Kidneys Liver Tastebuds Uterus Pancreas Larynx Vagina Kidneys
Ossicles Ossicles Vagina Spinalnerves Tongue Smallintestine Iris Interstitium Vagina Cranialnerves
Trachea Spleen Rectum Thymus Sensoryorgans Heart Cerebrum Tendons Lens Pharynx
Bone  Cornea Urethra Cerebellum Thymus Lips Lips Mouth Sensoryorgans Fallopiantubes
Pharynx Lens Pons Outerear Heart Spleen Lips Tongue Ciliarybody Interstitium
Ligaments Middleear Midbrain Bronchi Pons Joints Capillaries Muscle Iris Arteries
Tongue Smallintestine Lips Teeth Analcanal Iris Bladder Brain Muscle Cerebrum
