Honeydew MediumTurquoise Firebrick LightSkyBlue LightCoral WhiteSmoke Wheat PaleGreen MediumAquamarine ForestGreen
MediumTurquoise PeachPuff RosyBrown Fuchsia PaleGoldenrod MediumPurple VioletRed Khaki Peru SandyBrown
Purple NavajoWhite Gray LightGreen MediumTurquoise DarkGray PeachPuff LightYellow MidnightBlue LightSalmon
LightGray Honeydew Gold SaddleBrown LightGoldenrodYellow DarkSlateGray GhostWhite MediumTurquoise MintCream LightGreen
Burlywood Olive LightGoldenrodYellow DarkViolet HotPink LightSteelBlue Gray Tomato Bisque Khaki
Crimson DarkCyan Feldspar DarkSlateGray Lavender SeaGreen Chartreuse FloralWhite Maroon RoyalBlue
Wheat Orchid Crimson MediumSlateBlue Silver Azure Violet Silver OrangeRed Chartreuse
LightSlateGray LightYellow Goldenrod Snow Bisque MediumBlue PapayaWhip SpringGreen Olive DeepSkyBlue
HotPink Lime Violet Bisque Olive DarkTurquoise BlueViolet Lavender LightCyan Teal
Indigo PaleGreen PeachPuff PaleGreen DarkKhaki White LightGreen Gray Turquoise Black
MediumBlue LightSeaGreen Silver MintCream MistyRose Indigo SaddleBrown Tomato LightSlateGray Tan
BinaryNumber_0010001 BinaryNumber_1000001 BinaryNumber_1010010 BinaryNumber_0000001 BinaryNumber_0101111 BinaryNumber_0100001 BinaryNumber_0011010 BinaryNumber_0111010 BinaryNumber_0010100 BinaryNumber_0110100
BinaryNumber_0101001 BinaryNumber_0101111 BinaryNumber_1011000 BinaryNumber_1100000 BinaryNumber_0110100 BinaryNumber_0011001 BinaryNumber_0101110 BinaryNumber_1011101 BinaryNumber_0011100 BinaryNumber_0111101
BinaryNumber_0010100 BinaryNumber_0110111 BinaryNumber_0101101 BinaryNumber_0101110 BinaryNumber_1000000 BinaryNumber_0100100 BinaryNumber_0111010 BinaryNumber_1000010 BinaryNumber_1011001 BinaryNumber_1001011
BinaryNumber_0011000 BinaryNumber_1000110 BinaryNumber_0100001 BinaryNumber_0011110 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0101000 BinaryNumber_0111001 BinaryNumber_0011110 BinaryNumber_1011001
