Gold LightSalmon Salmon DarkGoldenrod SeaGreen Silver LightGoldenrod Bisque Cornsilk BlueViolet
DarkOliveGreen Tan OrangeRed Crimson Lime Violet Purple GreenYellow DarkOliveGreen MidnightBlue
LawnGreen LightSkyBlue CornflowerBlue DarkSlateGray Tomato MediumOrchid Khaki DarkGray Khaki OrangeRed
MediumPurple OrangeRed PowderBlue DarkSlateGray Peru DarkGreen LemonChiffon RosyBrown LightGray Sienna
Tomato Burlywood Pink BlanchedAlmond GreenYellow Red FloralWhite GhostWhite DarkBlue IndianRed
LightBlue Blue Honeydew Linen SkyBlue Navy DarkTurquoise LightGoldenrod Navy Moccasin
LightSalmon LawnGreen RoyalBlue IndianRed PaleTurquoise Chocolate LightGray LightPink DarkRed NavajoWhite
DimGray PeachPuff Pink Peru DarkTurquoise LightGoldenrod Moccasin MediumAquamarine Cyan DarkSalmon
RosyBrown SlateBlue DarkTurquoise LightPink Linen Aquamarine RosyBrown Lavender OrangeRed Bisque
DarkSeaGreen LightSeaGreen PaleGoldenrod Ivory DeepSkyBlue DarkCyan Gold Violet Azure NavajoWhite
Aquamarine DarkSlateBlue Red DarkBlue CornflowerBlue BlanchedAlmond MediumSeaGreen CadetBlue DarkSalmon Firebrick
Plumcot Pomelo Quince Peach Blackberry Currant Persimmon Honeyberry Kiwifruit Soursop
Bilberry Prune Cranberry Nectarine Plantain Pomegranate Pineberry Huckleberry Redcurrant Orange
Kiwifruit Tamarind Cantaloupe Avocado Tangelo Kumquat Pawpaw Jackfruit Honeyberry Jujube
Passionfruit Melon Orange Raspberry Papaya Pineberry Damson Bilberry Mandarine Lychee
Salmonberry Peach Jambul Honeyberry Banana Tangerine Yuzu Ackee Pawpaw Damson
Lime Pawpaw Jackfruit Currant Honeyberry Clementine Redcurrant Cashew Apricot Lemon
Cashew Melon Plumcot Salak Prune Yuzu Pomelo Cempedak Fig Salak
Pomelo Raisin Loquat Salmonberry Cloudberry Cherimoya Pomegranate Boysenberry Sapote Raisin
