Blue DarkGoldenrod DodgerBlue DarkCyan LightYellow DimGray MintCream RoyalBlue SlateGray NavajoWhite
PaleGoldenrod Brown Peru Brown LightSalmon MediumPurple DarkGoldenrod MediumOrchid MediumTurquoise LightYellow
Aquamarine MediumSpringGreen Chocolate Tomato AliceBlue PaleTurquoise LightSlateBlue Seashell DarkSeaGreen Orange
MediumVioletRed DarkFuchsia Linen Burlywood Plum Turquoise AliceBlue Bisque LightGreen Brown
GreenYellow DarkKhaki LightYellow Burlywood Sienna PaleGreen FloralWhite PaleTurquoise Purple MidnightBlue
LightSeaGreen DeepPink OldLace DarkRed Coral GhostWhite Crimson Snow DarkOrchid Salmon
DimGray Firebrick Gainsboro Blue Cornsilk DarkViolet PaleGoldenrod DarkRed Beige Beige
DarkGreen Yellow DarkKhaki MediumSeaGreen DarkSlateGray Olive Firebrick Feldspar AliceBlue LightSteelBlue
Navy Salmon LightBlue MediumBlue LightSteelBlue Crimson Tomato Firebrick LightSlateGray PowderBlue
DarkGoldenrod LightPink Tan LemonChiffon Honeydew Black DarkViolet DarkGreen Gold OliveDrab
Red RosyBrown Coral ForestGreen DeepSkyBlue LawnGreen Olive DarkSalmon OldLace Cyan
social chip daw computing memory bit imac electrical arithmetic inputdevice
machines spyware information computation watch monitor software laptop desktoppcs computerscience
personalcomputer electromechanical antivirus von neumann machine machines smartphone electromechanical cpu proprietary arithmetic
astrolabe desktop proprietary electromechanical imac chip monitor data internet imac
daw tablet eniac computerprogramming antivirus mainframe turingmachine tablet screen bit
laptopcomputer downloader supercomputer cell xbox dataconverter compatible microprocessor arithmetic digitalcommunication
pc proprietary mainframe vacuumtube memory game camera machinecode compatible personalcomputer
incompatible processor diskette memory camera floppydisk vacuumtube cpu monitor computercide
visualdisplayunit virtualreality social processor digital camera keyboard laptop computerprogramming computercircuit
arithmetic programmer screen mobiledevice tablet cyber computerprogram screen pc ibook
cell digitalaudioplayer analogcomputer integratedcircuit digitalcomputer desktop diskette information electromechanical turingmachine
structuralism slayings shootings barratry story bloodshed transgression shoplift structuralism criminality
trial corrupt death political gangsterism slay gun supernatural prison lift
criminals bloodshed prison muggings lift victim racism racism rape investigation
barratry misdemeanor accident vandalism mutilation detective hijack homeless suspense brutality
crisis detective noir hijack offenses gang justice justice brutality murders
violence homicide drugs investigation transgression cop legislature investigation threats evidence
thriller story violence snitching police racism mutilation mob offenders gangsterism
suspense safety criminals psychological gang country arrest prison jurisdiction criminals
offenses homicide forensic human imprisonment police highjack sentence snitching rape
murder pirate death snitching unsolved abuse accident prostitution mafia offense
victim mystery offense police abuse offense structuralism detective gangster criminality
CubeNumber_226981 CubeNumber_238328 CubeNumber_27 CubeNumber_74088 CubeNumber_830584 CubeNumber_27000 CubeNumber_405224 CubeNumber_830584 CubeNumber_343000 CubeNumber_314432
CubeNumber_59319 CubeNumber_262144 CubeNumber_884736 CubeNumber_117649 CubeNumber_493039 CubeNumber_704969 CubeNumber_287496 CubeNumber_13824 CubeNumber_729 CubeNumber_912673
CubeNumber_68921 CubeNumber_175616 CubeNumber_10648 CubeNumber_314432 CubeNumber_3375 CubeNumber_421875 CubeNumber_729 CubeNumber_166375 CubeNumber_1000 CubeNumber_97336
CubeNumber_97336 CubeNumber_6859 CubeNumber_27000 CubeNumber_166375 CubeNumber_438976 CubeNumber_46656 CubeNumber_729000 CubeNumber_357911 CubeNumber_166375 CubeNumber_39304
CubeNumber_830584 CubeNumber_262144 CubeNumber_46656 CubeNumber_17576 CubeNumber_216 CubeNumber_64000 CubeNumber_175616 CubeNumber_157464 CubeNumber_64000 CubeNumber_474552
CubeNumber_3375 CubeNumber_8 CubeNumber_15625 CubeNumber_9261 CubeNumber_1728 CubeNumber_1000 CubeNumber_85184 CubeNumber_8 CubeNumber_175616 CubeNumber_658503
CubeNumber_64000 CubeNumber_27 CubeNumber_27000 CubeNumber_17576 CubeNumber_753571 CubeNumber_636056 CubeNumber_343000 CubeNumber_592704 CubeNumber_438976 CubeNumber_238328
CubeNumber_571787 CubeNumber_941192 CubeNumber_64000 CubeNumber_21952 CubeNumber_216 CubeNumber_357911 CubeNumber_551368 CubeNumber_5832 CubeNumber_39304 CubeNumber_59319
CubeNumber_10648 CubeNumber_6859 CubeNumber_205379 CubeNumber_493039 CubeNumber_2744 CubeNumber_29791 CubeNumber_85184 CubeNumber_42875 CubeNumber_238328 CubeNumber_9261
CubeNumber_85184 CubeNumber_97336 CubeNumber_830584 CubeNumber_343 CubeNumber_274625 CubeNumber_8 CubeNumber_804357 CubeNumber_21952 CubeNumber_27 CubeNumber_551368
CubeNumber_79507 CubeNumber_132651 CubeNumber_110592 CubeNumber_195112 CubeNumber_704969 CubeNumber_912673 CubeNumber_571787 CubeNumber_941192 CubeNumber_287496 CubeNumber_79507
