MediumSpringGreen DarkViolet Snow AntiqueWhite LightSlateGray MediumSlateBlue CadetBlue LightSeaGreen DeepSkyBlue Burlywood
Seashell AliceBlue SandyBrown BlanchedAlmond LemonChiffon DarkOrchid Silver Khaki Navy PaleGoldenrod
MediumTurquoise Burlywood PowderBlue PapayaWhip PeachPuff PaleVioletRed MediumVioletRed MediumAquamarine Turquoise Olive
OliveDrab Tan PowderBlue LimeGreen Lavender LightSalmon DarkOrchid Silver Salmon DarkKhaki
Tan PeachPuff DarkCyan BlueViolet LavenderBlush RoyalBlue Maroon OliveDrab Cornsilk PeachPuff
DarkGray Tomato Coral Orange SlateBlue Gold MistyRose Moccasin Linen LightPink
MediumSlateBlue DarkSlateBlue SaddleBrown DarkFuchsia SlateGray DarkGreen LightGoldenrodYellow DarkCyan PaleTurquoise DarkSalmon
Snow Teal Feldspar PaleGreen OldLace DarkTurquoise Maroon DodgerBlue MidnightBlue PaleGreen
Chocolate Snow Blue Lime Turquoise Maroon LightSlateGray PaleTurquoise MediumVioletRed AntiqueWhite
AliceBlue MediumSlateBlue LightCoral LightSalmon DarkSlateGray DarkBlue Tan Beige MediumTurquoise LimeGreen
MediumPurple Honeydew RoyalBlue LawnGreen SaddleBrown LightSteelBlue Tan Cyan BlanchedAlmond MintCream
frightened charming famous glamorous kind successful important cruel nutty grotesque
dizzy homely kind outstanding beautiful motionless elated fantastic cloudy talented
elegant clean different splendid arrogant exuberant easy average motionless unsightly
better clumsy motionless fair lonely grieving wicked grotesque perfect fragile
smoggy long fantastic grieving combative real itchy quaint alive fragile
lively embarrassed motionless nasty cautious enchanting alert wrong careful successful
zealous easy difficult nervous poor long real innocent hungry wrong
puzzled innocent proud zealous frail helpful funny delightful worried bright
disturbed motionless magnificent cloudy helpless clean fragile gorgeous arrogant ugliest
funny gorgeous horrible awful sleepy lazy relieved lovely grieving awful
odd foolish disgusted doubtful lucky combative innocent innocent shy itchy
Yuzu Loganberry Jujube Pear Mandarine Orange Açaí Mulberry Huckleberry Nance
Peach Mango Mango Akebi Kumquat Tangelo Kiwifruit Orange Blueberry Lime
Sapote Kiwano Tamarillo Melon Orange Lychee Fig Kumquat Redcurrant Blackberry
Nectarine Tamarillo Pineberry Honeydew Pineberry Pomelo Blackcurrant Nectarine Mulberry Rambutan 
Satsuma Akebi Raisin Clementine Pawpaw Salmonberry Soursop Quince Jujube Raspberry
Jackfruit Raspberry Papaya Feijoa Date Tayberry Grapefruit Plumcot Akebi Damson
Bilberry Prune Strawberry Strawberry Pomelo Nance Durian Canistel Lemon Cempedak
Passionfruit Lychee Boysenberry Kiwifruit Mulberry Guava Redcurrant Mandarine Honeyberry Plumcot
Grapefruit Damson Nance Cashew Loganberry Grape Salmonberry Gooseberry Rambutan  Salak
Salmonberry Lychee Huckleberry Tangelo Pomegranate Pear Feijoa Jackfruit Apricot Araza
