clumsy annoying nutty happy enthusiastic energetic tame clever powerful concerned
important aggressive innocent wrong nice filthy quaint encouraging zealous depressed
excited wandering anxious weary excited lazy spotless cooperative beautiful gentle
bright different delightful witty wandering curious cautious friendly helpful cautious
lovely homeless graceful eager defiant elegant talented light thoughtless rich
foolish faithful average colorful fine gentle dangerous modern envious bad
tired lovely uptight frail cute courageous muddy tired puzzled eager
black cooperative happy vivacious average combative grumpy elated obedient beautiful
repulsive repulsive friendly bewildered stupid naughty confused ill mushy pleasant
bewildered wrong easy modern clumsy brainy inexpensive misty energetic stupid
talented expensive troubled fragile sore expensive fierce zealous doubtful alert
BinaryNumber_0001000 BinaryNumber_1010110 BinaryNumber_0001110 BinaryNumber_0000100 BinaryNumber_1011111 BinaryNumber_1001001 BinaryNumber_0110110 BinaryNumber_1010110 BinaryNumber_0001001 BinaryNumber_1010000
BinaryNumber_0010111 BinaryNumber_1011111 BinaryNumber_1001001 BinaryNumber_0000001 BinaryNumber_1000110 BinaryNumber_0101000 BinaryNumber_1010111 BinaryNumber_0100101 BinaryNumber_0100001 BinaryNumber_0101111
BinaryNumber_1001010 BinaryNumber_0100101 BinaryNumber_0010001 BinaryNumber_0001010 BinaryNumber_1011111 BinaryNumber_0001110 BinaryNumber_0100100 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_1010000
BinaryNumber_1011101 BinaryNumber_0100111 BinaryNumber_0110010 BinaryNumber_0110000 BinaryNumber_0111111 BinaryNumber_1001010 BinaryNumber_1000101 BinaryNumber_0000000 BinaryNumber_0010011 BinaryNumber_1000000
BinaryNumber_0000101 BinaryNumber_0101011 BinaryNumber_0001100 BinaryNumber_0110101 BinaryNumber_0111001 BinaryNumber_0110001 BinaryNumber_0011101 BinaryNumber_0110100 BinaryNumber_0011010 BinaryNumber_0011000
BinaryNumber_0001110 BinaryNumber_0111000 BinaryNumber_0101101 BinaryNumber_0010000 BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_1010001 BinaryNumber_0110000 BinaryNumber_0001110 BinaryNumber_0110111
BinaryNumber_1010101 BinaryNumber_0011101 BinaryNumber_1001101 BinaryNumber_0011010 BinaryNumber_0101000 BinaryNumber_1000010 BinaryNumber_0011111 BinaryNumber_0001101 BinaryNumber_0011011 BinaryNumber_1100001
BinaryNumber_0111011 BinaryNumber_1011101 BinaryNumber_0000000 BinaryNumber_1010101 BinaryNumber_0100001 BinaryNumber_0011010 BinaryNumber_1001100 BinaryNumber_0010001 BinaryNumber_0111001 BinaryNumber_0000111
BinaryNumber_0000001 BinaryNumber_0000011 BinaryNumber_0010110 BinaryNumber_1001010 BinaryNumber_1011101 BinaryNumber_1011101 BinaryNumber_1011000 BinaryNumber_0101000 BinaryNumber_0001101 BinaryNumber_0000100
BinaryNumber_0011100 BinaryNumber_0110100 BinaryNumber_0100111 BinaryNumber_0000101 BinaryNumber_0001011 BinaryNumber_0001101 BinaryNumber_1001010 BinaryNumber_0110001 BinaryNumber_1011100 BinaryNumber_0010000
BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_0111110 BinaryNumber_1011111 BinaryNumber_0000100 BinaryNumber_1011001 BinaryNumber_1010011 BinaryNumber_0101010 BinaryNumber_0101010 BinaryNumber_1100000
CubeNumber_5832 CubeNumber_117649 CubeNumber_29791 CubeNumber_175616 CubeNumber_512 CubeNumber_216000 CubeNumber_474552 CubeNumber_64000 CubeNumber_373248 CubeNumber_15625
