LightBlue Blue Turquoise Bisque MediumSeaGreen OliveDrab Cornsilk Lime MediumPurple IndianRed
DarkOliveGreen OldLace VioletRed Snow LemonChiffon Orchid DarkKhaki LightSlateBlue DarkCyan Green
SeaGreen Aquamarine IndianRed NavajoWhite Brown LightGoldenrodYellow Burlywood Indigo Khaki CadetBlue
Goldenrod LemonChiffon SandyBrown AntiqueWhite Cyan Green Tomato DarkGreen MediumTurquoise Chocolate
DarkOliveGreen LightGray LightCoral Sienna SlateBlue MediumSpringGreen MediumTurquoise GhostWhite Burlywood Beige
Maroon Lavender MediumTurquoise Sienna MidnightBlue GreenYellow LemonChiffon CornflowerBlue LawnGreen ForestGreen
Seashell GreenYellow Tan MediumVioletRed Firebrick Pink Snow HotPink Brown RoyalBlue
HotPink Aquamarine PapayaWhip DarkFuchsia LightBlue MediumSlateBlue Wheat LightSalmon Goldenrod DarkGreen
Linen Honeydew MediumAquamarine Red PaleGoldenrod Lime Pink VioletRed SeaGreen DarkGoldenrod
Sienna DarkSeaGreen BlueViolet PaleGoldenrod GhostWhite DarkRed MediumOrchid Firebrick Maroon MediumPurple
Yellow Crimson DarkSlateBlue LavenderBlush DarkSlateBlue LightGoldenrodYellow NavajoWhite LightSkyBlue Black AliceBlue
sonata movie karaoke movie vocal festival musicology electronica arts subtonic
polyphony chord harp videos popular music label live monophony graphics bugle
prelude symphony bluegrass musical hyperpop harmonize atmosphere recapitulation bands sounds
compositions singing accompaniment bhangra sound carol time production sonata carol
noises clapping release silence concerto section melodic bands artist lights
cello chorus part polyphony trumpet monophony timbre song dynamics atonality
record noise art tabs sfx pizzicato talking album muses dixieland
podcast album musicians song muses rhapsody talk part video ambience
dance tempo podcast clarinet melody instrument artist streaming blues production
folk theatre silence modulate karaoke solmizate lights intonation tuba clarinet
vocal tone visual hyperpop pizzicato soul atmosphere ambient subtonic songwriter
22:16 15:44 23:54 14:39 15:43 21:29 13:23 22:27 11:24 12:50
18:59 14:35 17:20 11:51 17:13 19:57 13:56 18:55 19:58 20:43
15:12 19:38 22:22 14:19 19:18 18:29 20:43 18:34 19:17 21:37
15:22 12:27 14:39 11:50 20:39 21:17 17:14 22:47 23:20 23:53
