LightSeaGreen MediumSeaGreen SeaGreen LightBlue PaleGoldenrod LightSkyBlue Black Burlywood GreenYellow NavajoWhite
DarkSlateBlue Orange Cornsilk Chartreuse DarkGray DarkBlue DarkBlue Snow Burlywood MediumSlateBlue
Honeydew DarkSalmon Tan Firebrick Black LimeGreen White LightGoldenrod Yellow SteelBlue
OrangeRed Crimson PaleGoldenrod Sienna MediumAquamarine MediumAquamarine CadetBlue LightSlateBlue MediumPurple DarkOrchid
PapayaWhip Yellow SlateGray LightSlateBlue Plum Maroon Gray DarkGray Feldspar Coral
Green LightGray SteelBlue MintCream LavenderBlush LightSalmon DeepSkyBlue LightSeaGreen ForestGreen DarkOliveGreen
SaddleBrown Gainsboro Teal OldLace Salmon Wheat Snow Maroon DarkGray Thistle
Crimson SlateBlue Wheat PaleVioletRed LightGoldenrodYellow RoyalBlue LightGoldenrodYellow DarkTurquoise Chartreuse Red
MediumVioletRed MidnightBlue DarkSalmon Chocolate MediumPurple LightSalmon LightSalmon SkyBlue Thistle Firebrick
DarkOrchid Firebrick DarkOrchid GreenYellow Yellow MediumSpringGreen Snow Honeydew LightYellow Chocolate
LightPink CornflowerBlue DarkTurquoise Coral MediumAquamarine PaleGreen Gold MediumSlateBlue LawnGreen DarkSlateGray
BinaryNumber_0001010 BinaryNumber_0110000 BinaryNumber_1010110 BinaryNumber_0001100 BinaryNumber_1011010 BinaryNumber_1010101 BinaryNumber_0110001 BinaryNumber_1010111 BinaryNumber_1001011 BinaryNumber_1010111
BinaryNumber_1011111 BinaryNumber_0011010 BinaryNumber_1001000 BinaryNumber_1010000 BinaryNumber_1001111 BinaryNumber_0100101 BinaryNumber_1010111 BinaryNumber_0100111 BinaryNumber_1010110 BinaryNumber_1010100
BinaryNumber_1010011 BinaryNumber_0001011 BinaryNumber_0111011 BinaryNumber_1011101 BinaryNumber_0101000 BinaryNumber_1010010 BinaryNumber_0101000 BinaryNumber_1100000 BinaryNumber_1000110 BinaryNumber_1010110
BinaryNumber_1100001 BinaryNumber_1000101 BinaryNumber_1010110 BinaryNumber_0100011 BinaryNumber_1011111 BinaryNumber_0011110 BinaryNumber_0101011 BinaryNumber_0001100 BinaryNumber_1000011 BinaryNumber_0100110
BinaryNumber_0001001 BinaryNumber_0010010 BinaryNumber_0011000 BinaryNumber_1001101 BinaryNumber_0011111 BinaryNumber_0110110 BinaryNumber_0110111 BinaryNumber_1001001 BinaryNumber_0110111 BinaryNumber_0100010
BinaryNumber_0101110 BinaryNumber_1011100 BinaryNumber_0001110 BinaryNumber_1000000 BinaryNumber_0111110 BinaryNumber_0001111 BinaryNumber_1011100 BinaryNumber_0001111 BinaryNumber_0111100 BinaryNumber_0101010
