vivacious condemned jittery frantic cruel stormy tasty wrong wild puzzled
odd innocent confused disgusted hurt inexpensive shy drab excited frightened
bored crazy cruel arrogant rich odd stupid poor lazy sore
vast bad sore bright defiant average concerned distinct enchanting bright
amused doubtful frail cloudy bored blushing ugly sleepy successful doubtful
famous itchy modern doubtful good combative hurt tired clever zealous
weary fragile obnoxious gentle lazy tasty blue-eyed crazy frightened shy
good busy smiling real arrogant victorious doubtful enthusiastic gifted frantic
frightened grotesque spotless bored distinct fancy enchanting evil prickly repulsive
selfish lucky successful fancy wicked adorable frantic cloudy funny splendid
dead helpful frantic tender eager gleaming splendid lucky encouraging determined
Cyan Purple LightCoral DarkKhaki Green LawnGreen LimeGreen LemonChiffon MediumSeaGreen Red
LightYellow MediumSlateBlue DarkSlateBlue Cornsilk MediumSeaGreen DarkSalmon LightBlue Beige LightPink Fuchsia
DeepSkyBlue RoyalBlue Gray LightGray PowderBlue Aquamarine PaleGreen Peru MediumAquamarine Turquoise
MediumSpringGreen White Yellow Thistle LightYellow LemonChiffon DarkKhaki GhostWhite DeepPink Snow
DarkSlateGray LemonChiffon Beige LightSlateGray SaddleBrown White VioletRed Olive LightSeaGreen DarkFuchsia
PapayaWhip OldLace Goldenrod Lime PaleTurquoise Chocolate MintCream BlueViolet SpringGreen IndianRed
MediumBlue MediumVioletRed Orange DimGray Azure SteelBlue Red Cyan Chartreuse Chartreuse
HotPink Firebrick OliveDrab LightGreen Turquoise Honeydew Fuchsia MediumSpringGreen Ivory Black
Bisque Cornsilk Bisque VioletRed VioletRed DarkSlateBlue PaleTurquoise PaleVioletRed Tan RoyalBlue
SlateGray LightCoral Wheat ForestGreen Firebrick AntiqueWhite LightBlue DarkGray LawnGreen Maroon
Orange HotPink RoyalBlue MediumSpringGreen LightSkyBlue Feldspar LightBlue MediumVioletRed DeepPink SeaGreen
