MintCream OldLace MediumOrchid LightGoldenrodYellow MediumAquamarine Gold Silver Black ForestGreen Olive
FloralWhite Yellow DarkOliveGreen DarkOrchid LightSlateBlue DarkSlateGray SlateBlue Lavender LightGoldenrod Cornsilk
WhiteSmoke DarkOrange Cyan Honeydew PaleGoldenrod SlateBlue Black DarkFuchsia DarkFuchsia MintCream
LightGreen RosyBrown LavenderBlush Blue MediumVioletRed Aquamarine LightBlue MintCream LightPink BlueViolet
Cyan Green DarkViolet Coral LightSteelBlue VioletRed SpringGreen SkyBlue Lavender LimeGreen
MediumVioletRed Snow Black VioletRed OrangeRed PeachPuff Seashell Gray BlueViolet DarkViolet
Ivory Aquamarine PowderBlue Olive Violet Turquoise LavenderBlush Burlywood DarkOrange Snow
Gray DarkOrchid SlateGray Pink Orchid Pink LightSkyBlue PaleVioletRed Firebrick Beige
CadetBlue Lime SaddleBrown RoyalBlue DarkGreen GhostWhite Yellow DarkGreen SlateGray SlateGray
Feldspar LightGray PowderBlue DodgerBlue FloralWhite Wheat DeepPink DeepPink AliceBlue DimGray
CornflowerBlue CornflowerBlue SlateBlue Blue Navy PaleGoldenrod Sienna MediumTurquoise GreenYellow OrangeRed
CubeNumber_32768 CubeNumber_15625 CubeNumber_804357 CubeNumber_531441 CubeNumber_10648 CubeNumber_97336 CubeNumber_4913 CubeNumber_857375 CubeNumber_274625 CubeNumber_46656
CubeNumber_166375 CubeNumber_4913 CubeNumber_681472 CubeNumber_262144 CubeNumber_68921 CubeNumber_592704 CubeNumber_8000 CubeNumber_343000 CubeNumber_50653 CubeNumber_512000
CubeNumber_3375 CubeNumber_19683 CubeNumber_389017 CubeNumber_39304 CubeNumber_493039 CubeNumber_704969 CubeNumber_39304 CubeNumber_1331 CubeNumber_729000 CubeNumber_4096
CubeNumber_35937 CubeNumber_103823 CubeNumber_343000 CubeNumber_27000 CubeNumber_262144 CubeNumber_140608 CubeNumber_729000 CubeNumber_8 CubeNumber_19683 CubeNumber_17576
CubeNumber_3375 CubeNumber_405224 CubeNumber_1331 CubeNumber_614125 CubeNumber_19683 CubeNumber_314432 CubeNumber_54872 CubeNumber_13824 CubeNumber_110592 CubeNumber_13824
CubeNumber_68921 CubeNumber_24389 CubeNumber_571787 CubeNumber_830584 CubeNumber_1000 CubeNumber_4913 CubeNumber_110592 CubeNumber_2197 CubeNumber_64 CubeNumber_50653
CubeNumber_21952 CubeNumber_27 CubeNumber_3375 CubeNumber_729 CubeNumber_132651 CubeNumber_4913 CubeNumber_68921 CubeNumber_54872 CubeNumber_1728 CubeNumber_10648
CubeNumber_389017 CubeNumber_15625 CubeNumber_421875 CubeNumber_456533 CubeNumber_912673 CubeNumber_74088 CubeNumber_314432 CubeNumber_704969 CubeNumber_4913 CubeNumber_4913
