dangerous cautious black anxious innocent lonely good motionless obedient troubled
horrible depressed awful tasty proud angry gleaming nice victorious wide-eyed
comfortable clumsy difficult grieving cautious shy awful splendid bad expensive
worried bored bored dead encouraging ashamed funny tough successful itchy
repulsive tense wrong disgusted exuberant troubled kind calm annoyed unsightly
modern embarrassed precious good obnoxious witty unsightly dead bewildered innocent
handsome gleaming enthusiastic odd easy helpless annoyed talented funny arrogant
magnificent good charming fancy open dead handsome arrogant dull sleepy
friendly glamorous awful mysterious happy cloudy adventurous hungry strange magnificent
relieved vivacious wide-eyed precious tense poor talented repulsive crowded busy
frightened concerned stupid stupid cooperative poised talented lonely depressed panicky
Linen Tomato NavajoWhite RosyBrown PaleGoldenrod MidnightBlue DarkSeaGreen PeachPuff LightYellow Seashell
MediumTurquoise MediumAquamarine DarkKhaki Goldenrod Honeydew Maroon LightYellow Orange Blue Turquoise
Silver LightSalmon FloralWhite DarkSlateBlue Snow FloralWhite CornflowerBlue DarkGoldenrod DeepSkyBlue Bisque
DarkTurquoise FloralWhite Cornsilk DarkCyan SeaGreen SeaGreen Linen PaleTurquoise Red MintCream
LimeGreen Cyan DimGray RosyBrown DeepPink Red MediumOrchid DarkSeaGreen SlateBlue MediumPurple
MintCream OrangeRed DarkGreen DarkSlateGray DarkSalmon DarkGray BlanchedAlmond LightSalmon FloralWhite LightYellow
CornflowerBlue Turquoise Khaki Gray Chocolate PowderBlue HotPink DarkSalmon Bisque DeepSkyBlue
DarkCyan PapayaWhip Purple DeepPink DarkFuchsia DarkCyan DarkKhaki SpringGreen MidnightBlue LightPink
VioletRed SeaGreen ForestGreen Gray Cyan DarkOliveGreen WhiteSmoke LightGreen Pink DarkKhaki
LightSlateGray SlateBlue CadetBlue SteelBlue SaddleBrown DarkSlateBlue Salmon Linen Fuchsia Burlywood
LightYellow Firebrick PaleGoldenrod PaleVioletRed PeachPuff LawnGreen AntiqueWhite OldLace Violet Brown
Pineapple Salak Loquat Cloudberry Pear Ackee Lychee Rambutan  Yuzu Coconut
Breadfruit Tayberry Prune Lulo Akebi Acerola Mandarine Lemon Akebi Ackee
Persimmon Currant Watermelon Guava Jostaberry Cherimoya Blueberry Currant Grape Kiwano
Canistel Coconut Rambutan  Kiwifruit Lulo Redcurrant Kumquat Passionfruit Gooseberry Damson
Pineberry Loquat Fig Currant Tamarillo Cempedak Longan Kiwano Cloudberry Grapefruit
Canistel Blackberry Satsuma Grapefruit Melon Pawpaw Ximenia Blueberry Feijoa Salak
