LightCoral Cyan Crimson HotPink RosyBrown MediumAquamarine Coral DarkRed AntiqueWhite AliceBlue
Firebrick LightCoral Black DarkSlateGray DarkBlue Cyan Turquoise MediumPurple Cyan BlanchedAlmond
LightSteelBlue Wheat RosyBrown MintCream DarkTurquoise PowderBlue DarkOrange Linen Crimson SpringGreen
MediumPurple Lavender LawnGreen Moccasin Moccasin PowderBlue CadetBlue Thistle MediumTurquoise LawnGreen
DeepSkyBlue Beige Yellow PaleVioletRed MediumTurquoise FloralWhite Gainsboro WhiteSmoke CornflowerBlue Honeydew
PowderBlue PeachPuff Orchid DarkBlue Maroon MistyRose Feldspar LightSeaGreen DeepPink MediumOrchid
Sienna VioletRed CornflowerBlue Gray Honeydew DarkRed Chartreuse RoyalBlue Peru OliveDrab
GhostWhite MediumVioletRed SeaGreen Fuchsia Red DarkTurquoise OliveDrab LightSalmon DarkGreen DeepSkyBlue
Seashell Gold Blue Purple DarkSlateGray DarkSeaGreen CadetBlue PowderBlue DarkSeaGreen RoyalBlue
Tan DarkSlateGray NavajoWhite MediumSpringGreen LightYellow Red Navy Sienna DarkOrange LightYellow
LightSeaGreen DeepSkyBlue Peru MistyRose DarkBlue Wheat WhiteSmoke LightYellow DarkFuchsia SandyBrown
BinaryNumber_0001000 BinaryNumber_0101010 BinaryNumber_0000101 BinaryNumber_0000111 BinaryNumber_0101100 BinaryNumber_0000011 BinaryNumber_1000011 BinaryNumber_0111001 BinaryNumber_1011001 BinaryNumber_0010100
BinaryNumber_1001111 BinaryNumber_0011001 BinaryNumber_1010100 BinaryNumber_1011001 BinaryNumber_1001100 BinaryNumber_0011110 BinaryNumber_0111001 BinaryNumber_0010010 BinaryNumber_0000001 BinaryNumber_0010111
BinaryNumber_0010001 BinaryNumber_1010101 BinaryNumber_1001110 BinaryNumber_0110010 BinaryNumber_1011101 BinaryNumber_1011111 BinaryNumber_1010000 BinaryNumber_1000011 BinaryNumber_0000000 BinaryNumber_0100000
BinaryNumber_0011100 BinaryNumber_0010101 BinaryNumber_0101111 BinaryNumber_0001110 BinaryNumber_1000000 BinaryNumber_0111010 BinaryNumber_1001000 BinaryNumber_0001101 BinaryNumber_1010011 BinaryNumber_0101100
BinaryNumber_0000001 BinaryNumber_0110001 BinaryNumber_0101011 BinaryNumber_0101110 BinaryNumber_0111010 BinaryNumber_1000000 BinaryNumber_0000111 BinaryNumber_0011101 BinaryNumber_1010110 BinaryNumber_0000011
BinaryNumber_1000101 BinaryNumber_0000001 BinaryNumber_0111000 BinaryNumber_0001110 BinaryNumber_0101000 BinaryNumber_1011100 BinaryNumber_0001000 BinaryNumber_0100010 BinaryNumber_1100011 BinaryNumber_0001000
