Sienna DarkSlateBlue Brown DarkOrchid OrangeRed Purple DarkOliveGreen GhostWhite DarkGray Salmon
White Turquoise LightSalmon Gold Purple Firebrick Orange PeachPuff DarkKhaki AntiqueWhite
DeepPink Khaki Purple GhostWhite Chocolate RoyalBlue Tomato SlateBlue Olive Linen
DarkSeaGreen Indigo PeachPuff OliveDrab DarkTurquoise White RoyalBlue DarkCyan FloralWhite DarkTurquoise
DarkTurquoise LightSkyBlue DarkViolet Purple LightGoldenrod LightGray NavajoWhite LightSteelBlue Aquamarine Purple
Yellow Tomato Coral MediumSlateBlue PaleVioletRed VioletRed DarkOrchid LightGreen Silver LightCyan
LightGray RoyalBlue DarkSalmon Firebrick Black Ivory Chartreuse CadetBlue DarkBlue Bisque
Goldenrod SandyBrown Yellow White Olive Fuchsia DarkFuchsia LightBlue LightSlateGray LightSkyBlue
OrangeRed DarkSeaGreen MediumTurquoise Maroon DarkBlue Silver Cornsilk Salmon Crimson PeachPuff
LightGreen Turquoise LightSalmon RosyBrown OldLace OrangeRed Khaki DeepPink Crimson BlueViolet
Tomato LightSteelBlue DarkBlue Tan SeaGreen DarkOliveGreen Blue LightSlateBlue MediumOrchid Beige
BinaryNumber_0110001 BinaryNumber_0111110 BinaryNumber_0010011 BinaryNumber_0111101 BinaryNumber_1011010 BinaryNumber_0111000 BinaryNumber_0110010 BinaryNumber_0001010 BinaryNumber_0110100 BinaryNumber_1000010
BinaryNumber_0100000 BinaryNumber_0010001 BinaryNumber_0100000 BinaryNumber_0110000 BinaryNumber_1100011 BinaryNumber_0011010 BinaryNumber_0010000 BinaryNumber_1010001 BinaryNumber_0100000 BinaryNumber_1001100
BinaryNumber_1010111 BinaryNumber_0101101 BinaryNumber_1011111 BinaryNumber_0001011 BinaryNumber_0111111 BinaryNumber_0100101 BinaryNumber_0010010 BinaryNumber_0101000 BinaryNumber_1001001 BinaryNumber_0011011
BinaryNumber_1001111 BinaryNumber_1001000 BinaryNumber_0000111 BinaryNumber_0011100 BinaryNumber_1000111 BinaryNumber_0011000 BinaryNumber_0100111 BinaryNumber_0011111 BinaryNumber_0001100 BinaryNumber_1001011
BinaryNumber_0001001 BinaryNumber_0010011 BinaryNumber_1001111 BinaryNumber_1001100 BinaryNumber_0001011 BinaryNumber_1001111 BinaryNumber_0110110 BinaryNumber_0011001 BinaryNumber_0101000 BinaryNumber_1011101
BinaryNumber_1000100 BinaryNumber_0101001 BinaryNumber_0010110 BinaryNumber_0001100 BinaryNumber_0100010 BinaryNumber_1010010 BinaryNumber_1011001 BinaryNumber_0011110 BinaryNumber_0010000 BinaryNumber_1011010
BinaryNumber_0110010 BinaryNumber_1011010 BinaryNumber_1011001 BinaryNumber_0001111 BinaryNumber_0101101 BinaryNumber_1000101 BinaryNumber_0001000 BinaryNumber_0110000 BinaryNumber_1000101 BinaryNumber_1010100
BinaryNumber_0010011 BinaryNumber_1010111 BinaryNumber_1001101 BinaryNumber_1010001 BinaryNumber_0001000 BinaryNumber_1011000 BinaryNumber_0010100 BinaryNumber_0111101 BinaryNumber_0111001 BinaryNumber_0000011
BinaryNumber_0100101 BinaryNumber_0010101 BinaryNumber_0000100 BinaryNumber_1001100 BinaryNumber_0001101 BinaryNumber_0101100 BinaryNumber_0010100 BinaryNumber_0101101 BinaryNumber_1010101 BinaryNumber_0111100
BinaryNumber_0101110 BinaryNumber_0111001 BinaryNumber_0111010 BinaryNumber_0101101 BinaryNumber_0010111 BinaryNumber_0110100 BinaryNumber_1000010 BinaryNumber_0100110 BinaryNumber_0001001 BinaryNumber_0011100
BinaryNumber_1000000 BinaryNumber_0110101 BinaryNumber_0100100 BinaryNumber_0001010 BinaryNumber_1011100 BinaryNumber_0000101 BinaryNumber_1011011 BinaryNumber_1010011 BinaryNumber_0010101 BinaryNumber_0100010
Pear Watermelon Cranberry Salak Mangosteen Durian Nance Redcurrant Acerola Damson
Apricot Plantain Jambul Tamarillo Lemon Grape Pawpaw Prune Pomegranate Marionberry
