Silver MediumSlateBlue MediumSpringGreen DarkOrchid Azure Black MidnightBlue PaleGreen Snow Purple
Red Plum ForestGreen DarkGoldenrod MediumSpringGreen Ivory CornflowerBlue Seashell MediumPurple DodgerBlue
MediumPurple LightSteelBlue Gainsboro Feldspar SteelBlue MediumPurple WhiteSmoke Cyan Bisque SlateGray
LightSteelBlue MediumSpringGreen Wheat Coral AntiqueWhite Teal MediumBlue Chartreuse Bisque Silver
RosyBrown FloralWhite MediumOrchid Gray Lime Chartreuse MediumBlue DarkGreen MediumSpringGreen MidnightBlue
LimeGreen BlanchedAlmond Snow Gainsboro LavenderBlush WhiteSmoke OliveDrab DarkRed LightPink LavenderBlush
Black Orange Coral Linen MediumOrchid Sienna SandyBrown MediumTurquoise MistyRose DarkFuchsia
OrangeRed OliveDrab DeepPink DimGray MediumBlue Orange MediumVioletRed Olive RosyBrown Green
Blue Gold PaleGoldenrod DarkOrange Linen LawnGreen Cyan DeepSkyBlue Azure LightSteelBlue
Orange MediumTurquoise DarkFuchsia SandyBrown DarkViolet DarkViolet AliceBlue MidnightBlue Aquamarine DarkSlateBlue
Bisque WhiteSmoke DarkFuchsia Linen WhiteSmoke IndianRed LightCyan SpringGreen LightGray DimGray
fragile mushy wandering tough innocent lovely good poor powerful outstanding
fair annoying difficult expensive unsightly confused eager long sparkling upset
anxious clean busy uninterested average crowded sore evil fantastic lively
blue-eyed strange foolish jealous curious cautious delightful vivacious shiny lonely
ugly grotesque joyous uptight obedient puzzled clean creepy tasty rich
faithful upset elegant busy mushy fancy uptight successful zany proud
itchy creepy successful annoyed good clumsy cloudy helpful inquisitive ugly
lively depressed cheerful depressed talented eager mysterious different mushy selfish
charming impossible rich proud putrid crazy comfortable disgusted nice handsome
doubtful bewildered light hilarious thoughtless agreeable fragile drab aggressive aggressive
stormy stupid depressed defeated cloudy poor gentle victorious plain lucky
10:42 23:29 10:57 22:48 13:40 11:29 10:45 13:28 20:55 23:55
13:10 18:50 17:29 17:15 10:11 16:45 17:35 13:42 12:21 19:11
17:56 14:25 23:39 11:40 16:58 13:11 12:15 22:14 23:52 22:48
16:21 12:27 20:43 18:53 19:51 19:53 13:38 12:32 23:47 23:16
