foolish poised healthy defiant fierce cute ill combative magnificent naughty
ugly stupid different shiny tame splendid upset good clear cautious
dark foolish motionless open important uptight smoggy bright thoughtless faithful
anxious itchy elated plain precious nice alert difficult lucky drab
repulsive black inexpensive relieved frantic stupid worrisome selfish bright easy
troubled ashamed annoying rich uninterested glamorous annoyed nutty delightful putrid
encouraging fine colorful naughty silly smiling different witty zealous jealous
impossible fragile annoyed putrid mysterious uninterested bewildered elated vivacious nasty
dangerous motionless hungry helpful repulsive misty different gorgeous witty clumsy
vast cruel repulsive important helpless putrid ashamed long cooperative filthy
splendid charming important victorious homely smoggy terrible talented clumsy smoggy
temperature__118c temperature__0c temperature__105c temperature__131c temperature__139c temperature__28c temperature__2c temperature__17c temperature__131c temperature__12c
temperature__47c temperature__16c temperature__74c temperature__100c temperature__63c temperature__31c temperature__145c temperature__112c temperature__71c temperature__139c
temperature__21c temperature__98c temperature__91c temperature__141c temperature__50c temperature__12c temperature__31c temperature__52c temperature__126c temperature__57c
temperature__84c temperature__6c temperature__120c temperature__116c temperature__2c temperature__129c temperature__71c temperature__16c temperature__129c temperature__40c
temperature__7c temperature__0c temperature__56c temperature__31c temperature__93c temperature__46c temperature__41c temperature__138c temperature__61c temperature__3c
temperature__10c temperature__11c temperature__4c temperature__10c temperature__68c temperature__141c temperature__59c temperature__47c temperature__108c temperature__31c
temperature__144c temperature__88c temperature__17c temperature__57c temperature__6c temperature__78c temperature__49c temperature__14c temperature__129c temperature__34c
temperature__39c temperature__130c temperature__73c temperature__50c temperature__109c temperature__92c temperature__132c temperature__65c temperature__85c temperature__23c
temperature__77c temperature__77c temperature__70c temperature__122c temperature__40c temperature__120c temperature__54c temperature__137c temperature__0c temperature__11c
temperature__140c temperature__82c temperature__16c temperature__69c temperature__120c temperature__120c temperature__6c temperature__131c temperature__119c temperature__42c
temperature__122c temperature__109c temperature__100c temperature__46c temperature__130c temperature__39c temperature__17c temperature__46c temperature__10c temperature__95c
SpringGreen SpringGreen MediumAquamarine Orange Thistle Lime DarkOliveGreen NavajoWhite SteelBlue LightGreen
LightSkyBlue DarkSeaGreen Turquoise SaddleBrown SlateBlue DarkSalmon Yellow LightSeaGreen Blue Gainsboro
FloralWhite Azure BlanchedAlmond LightGreen NavajoWhite LightGoldenrod Blue PowderBlue LightSlateGray LightSteelBlue
RosyBrown LightSlateBlue Teal Chocolate MediumBlue LemonChiffon LightPink Salmon Honeydew OrangeRed
Lime MintCream DarkViolet HotPink MidnightBlue BlanchedAlmond DarkOliveGreen LightGray Black Purple
SpringGreen Gainsboro BlueViolet LightCoral SkyBlue DarkSlateBlue DarkSlateBlue LightSeaGreen GhostWhite LightSteelBlue
LemonChiffon DarkRed Violet GhostWhite PapayaWhip DarkRed SeaGreen DarkTurquoise Plum SkyBlue
Lavender LightSeaGreen Tan Goldenrod LightGoldenrodYellow SpringGreen CornflowerBlue GhostWhite DarkOrange PowderBlue
SkyBlue DodgerBlue Seashell ForestGreen CadetBlue LightSkyBlue MediumVioletRed PowderBlue RosyBrown OrangeRed
Feldspar Gainsboro Lime NavajoWhite MediumVioletRed Crimson Indigo Cyan MediumOrchid Orchid
Orchid DarkSalmon Black DarkRed LightSeaGreen DodgerBlue MediumSlateBlue MediumSpringGreen PowderBlue Blue
turingmachine diskette mobile machines proprietary escapekey supercomputer browser monitor floppydisk
pornographicimages digitalaudioplayer device cybertechnology data mobiledevice android computercide internet electronics
spyware game vacuumtube screen computerscience compatible algorithm social daw computerprogramming
antivirus machinecode computerprogramming electromechanical floppydisk processor abacus inputdevice machinecode ibook
server diskette smartphone software computerhardware compatible computerprogramming arithmetic data android
