glamorous ugliest attractive unusual helpless lively sleepy obnoxious sore hilarious
tired gentle blue gleaming frightened precious clean delightful careful grieving
sore impossible poised fragile tough mysterious embarrassed anxious clear concerned
calm shiny nervous bright sparkling attractive annoying anxious silly thankful
filthy real jolly dull black gorgeous innocent upset panicky relieved
creepy frail grotesque open cloudy easy talented putrid colorful drab
jittery outrageous worrisome doubtful tough lazy silly lovely envious thoughtful
combative funny unusual defeated cheerful outstanding handsome tasty frightened old-fashioned
naughty blue-eyed puzzled amused envious scary elegant quaint beautiful healthy
mushy poor elated lonely shy frightened motionless sparkling determined dead
gentle sparkling bad jittery determined curious mysterious adorable curious energetic
Pink Olive AliceBlue Maroon Chartreuse Orchid LightGoldenrod DarkSlateBlue Moccasin Bisque
Peru PaleGreen DarkCyan GhostWhite PaleGoldenrod PeachPuff Yellow Snow LightSalmon Navy
Brown LightCyan Turquoise PeachPuff VioletRed Crimson DodgerBlue LightSkyBlue Yellow DarkOrange
Turquoise DarkOrchid BlueViolet Honeydew DarkGoldenrod DarkKhaki SandyBrown ForestGreen DarkOrchid IndianRed
LightSlateBlue Honeydew MistyRose SlateBlue DarkSalmon MediumAquamarine Pink LightCyan White HotPink
ForestGreen DarkGray DarkBlue RosyBrown PaleGoldenrod DeepPink LightGray Cyan Fuchsia DeepPink
RosyBrown DodgerBlue PaleVioletRed AliceBlue LightGreen MediumPurple MediumSlateBlue DimGray DeepSkyBlue Salmon
DarkViolet LightSeaGreen LightPink SaddleBrown Wheat SaddleBrown DarkViolet LightCyan Teal Firebrick
MediumOrchid IndianRed Green Tomato Gold MediumTurquoise LightSteelBlue LightGoldenrod IndianRed PaleTurquoise
Aquamarine Honeydew Tomato SeaGreen VioletRed Blue Khaki Plum Sienna LemonChiffon
ForestGreen Moccasin CadetBlue OrangeRed Yellow ForestGreen Sienna DarkOrange Blue LightGoldenrodYellow
BinaryNumber_1000111 BinaryNumber_0110011 BinaryNumber_0000110 BinaryNumber_0000001 BinaryNumber_1011101 BinaryNumber_1001111 BinaryNumber_1011101 BinaryNumber_1001101 BinaryNumber_0111001 BinaryNumber_1001010
BinaryNumber_1100010 BinaryNumber_0110010 BinaryNumber_0010010 BinaryNumber_0010000 BinaryNumber_1000101 BinaryNumber_0111110 BinaryNumber_0101001 BinaryNumber_0011001 BinaryNumber_0100100 BinaryNumber_0011001
BinaryNumber_0001001 BinaryNumber_0100111 BinaryNumber_0101001 BinaryNumber_1010011 BinaryNumber_1100001 BinaryNumber_1100010 BinaryNumber_0000111 BinaryNumber_0100100 BinaryNumber_0000100 BinaryNumber_0110100
