Teal IndianRed LightYellow Chartreuse BlueViolet RoyalBlue Bisque Salmon Sienna LimeGreen
SlateBlue Tan MediumPurple DarkOrchid LightSteelBlue Olive Navy BlanchedAlmond Violet DarkSeaGreen
LightSeaGreen DarkOliveGreen DarkTurquoise MediumVioletRed WhiteSmoke PapayaWhip LemonChiffon DarkOrchid Plum PaleTurquoise
Peru DarkGray DeepPink LightSteelBlue Goldenrod Bisque Teal Burlywood Coral Silver
Bisque RoyalBlue Purple LightGoldenrodYellow Lime Seashell ForestGreen Azure DarkSeaGreen SteelBlue
PowderBlue Firebrick OliveDrab ForestGreen AliceBlue LavenderBlush PapayaWhip SlateBlue DarkSlateGray DarkGoldenrod
Indigo Maroon LightSlateGray Thistle LightGoldenrodYellow Lime LightCyan DarkBlue MintCream Burlywood
MediumPurple Salmon DarkViolet Snow Gainsboro Tan LightSeaGreen DarkRed DarkBlue MediumOrchid
PapayaWhip DarkFuchsia MistyRose SaddleBrown Violet DarkOrange Wheat DarkGreen SlateBlue SpringGreen
Bisque LightGreen Blue DarkSlateBlue DarkSlateGray Orchid DarkViolet MintCream Coral Aquamarine
DarkGoldenrod Cornsilk Linen Feldspar Orange Seashell LightSlateGray Crimson Pink LightGoldenrodYellow
10:56 19:39 19:29 16:13 15:18 16:28 14:20 22:56 19:32 12:36
14:18 13:54 23:21 18:14 13:30 12:32 17:27 16:52 14:38 22:39
11:26 11:28 18:55 16:42 11:49 13:50 10:56 22:38 13:58 17:11
12:57 18:35 23:37 15:45 20:18 11:39 18:53 21:18 14:46 19:16
11:17 11:15 12:46 17:46 13:59 22:44 22:43 14:28 14:38 23:45
10:59 19:37 19:38 11:10 20:13 16:20 16:12 17:40 18:40 14:27
12:10 14:37 11:19 18:17 12:19 15:55 16:32 17:25 20:11 20:28
12:17 10:44 16:35 13:12 10:53 14:32 19:51 16:37 23:39 10:50
12:59 22:14 19:20 18:13 10:38 16:53 17:21 22:42 20:16 16:50
11:16 21:42 16:31 22:29 17:20 23:29 22:39 16:14 10:29 12:35
16:18 23:28 19:44 15:13 21:45 16:42 14:17 11:15 12:53 20:41
vivacious fair silly charming wrong important super determined grotesque envious
disturbed determined cute frightened dead successful proud glorious encouraging busy
cute precious ugly cute stormy spotless average vast busy homely
defeated beautiful crazy doubtful precious gentle inexpensive dull determined envious
precious fine powerful annoying stupid hungry beautiful weary ugly blue-eyed
troubled different magnificent beautiful hilarious exuberant fantastic breakable kind wrong
worrisome black awful selfish quaint inexpensive beautiful long crowded dizzy
bewildered hilarious wide-eyed rich depressed faithful light awful relieved average
itchy bright troubled jolly cooperative uninterested awful eager innocent scary
gleaming defiant stupid colorful careful innocent impossible easy calm condemned
zany black puzzled distinct attractive delightful difficult average cute elated
Rectum Nerves Analcanal Spinalnerves Cerebrum Ganglia Middleear Arteries Duodenum Ovaries
Fallopiantubes Cornea Smallintestine Duodenum Cerebellum Cochlea Rectum Vulva Brain Ureter
Larynx Mouth Cranialnerves Cerebrum Tonsils Jejunum Stomach Bone  Ovaries Mouth
Nerves Pharynx Bone  Pharynx Duodenum Retina Bladder Placenta Pharynx Pharynx
Gallbladder Larynx Ossicles Mesentery Stomach Middleear Earlobe Cerebrum Cochlea Spleen
Cerebellum Mouth Nerves Lungs Ciliarybody Kidneys Bronchi Lens Cerebrum Mouth
Penis Pons Kidneys Esophagus Ossicles Thymus Tonsils Lungs Iris Veins
Gallbladder Cervix Cranialnerves Eye Ileum Ileum Vagina Thalamus Vulva Joints
Heart Mouth Urethra Cochlea Esophagus Esophagus Cecum Brain Spinalnerves Tonsils
Pharynx Ganglia Cornea Lungs Largeintestine Brain Joints Nerves Ear Trachea
Lungs Heart Lymphaticvessel Cranialnerves Tonsils Joints Pharynx Cerebrum Innerear Pharynx
temperature__137c temperature__130c temperature__63c temperature__131c temperature__116c temperature__82c temperature__124c temperature__87c temperature__46c temperature__35c
temperature__33c temperature__82c temperature__40c temperature__46c temperature__139c temperature__120c temperature__59c temperature__56c temperature__2c temperature__141c
